starter,seed,site,lesson,won,seconds,casts,energy_spent,own_rank,foe_rank,locked_casts,reason,own_hp,foe_hp,own_control,foe_control
0,24000000,3,1,1,5.53333,3,360,1,1,0,1,99,0,0,0
0,24000000,3,2,1,9.43333,3,360,1,1,0,1,97,0,0,0
0,24000000,3,3,1,5.53333,3,360,1,1,0,1,99,0,0,0
0,24000000,3,4,1,9.43333,3,360,1,1,0,1,97,0,0,0
0,24000000,6,1,1,5.53333,3,360,1,1,0,1,99,0,0,0
0,24000000,6,2,1,12.4333,4,480,1,1,0,1,113,0,0,0
0,24000000,6,3,1,5.53333,3,360,1,1,0,1,99,0,0,0
0,24000000,6,4,1,12.4333,4,480,1,1,0,1,113,0,0,0
0,24000000,9,1,1,17.9333,5,600,2,2,0,1,97,0,30,0
0,24000000,9,2,1,5.63333,3,360,2,2,0,1,113,0,22,0
0,24000000,9,3,1,5.63333,3,360,2,2,0,1,97,0,37,0
0,24000000,12,1,1,5.63333,3,360,2,2,0,1,97,0,37,0
0,24000000,12,2,1,5.63333,3,360,2,2,0,1,113,0,22,0
0,24000000,12,3,1,9.13333,5,730,2,2,0,1,71,0,44,0
0,24000100,3,1,1,4.73333,3,360,1,1,0,1,113,0,0,0
0,24000100,3,2,1,5.43333,3,360,1,1,0,1,97,0,0,0
0,24000100,3,3,1,4.73333,3,360,1,1,0,1,113,0,0,0
0,24000100,3,4,1,5.43333,3,360,1,1,0,1,97,0,0,0
0,24000100,6,1,1,4.83333,3,360,1,1,0,1,113,0,0,0
0,24000100,6,2,1,6.83333,4,480,1,1,0,1,81,0,0,0
0,24000100,6,3,1,4.83333,3,360,1,1,0,1,113,0,0,0
0,24000100,6,4,1,6.83333,4,480,1,1,0,1,81,0,0,0
0,24000100,9,1,1,7.73333,6,800,2,2,0,1,113,0,27,0
0,24000100,9,2,1,5.13333,4,480,2,2,0,1,113,0,10,0
0,24000100,9,3,1,5.13333,4,480,2,2,0,1,113,0,24,0
0,24000100,12,1,1,5.13333,4,480,2,2,0,1,113,0,24,0
0,24000100,12,2,1,5.13333,4,480,2,2,0,1,113,0,10,0
0,24000100,12,3,1,11.6333,7,1010,2,2,0,1,92,0,44,0
0,24000200,3,1,1,5.73333,3,360,1,1,0,1,99,0,0,0
