starter,seed,site,lesson,won,seconds,casts,energy_spent,own_rank,foe_rank,locked_casts,reason,own_hp,foe_hp,own_control,foe_control
0,24000000,3,1,1,15.4333,5,600,1,1,0,1,113,0,0,0
0,24000000,3,2,1,15.4333,5,607,1,1,0,1,113,0,0,0
0,24000000,3,3,1,15.4333,5,600,1,1,0,1,113,0,0,0
0,24000000,3,4,1,15.4333,5,607,1,1,0,1,113,0,0,0
0,24000000,6,1,1,33.9333,6,783,1,1,0,1,54,0,0,0
0,24000000,6,2,1,33.9333,6,783,1,1,0,1,54,0,0,0
0,24000000,6,3,1,33.9333,6,783,1,1,0,1,54,0,0,0
0,24000000,6,4,1,33.9333,6,783,1,1,0,1,54,0,0,0
0,24000000,9,1,1,9.23333,6,850,2,2,0,1,97,0,9,0
0,24000000,9,2,1,9.03333,6,850,2,2,0,1,97,0,0,0
0,24000000,9,3,1,9.23333,6,850,2,2,0,1,97,0,9,0
0,24000000,12,1,1,21.4333,10,1549,2,2,0,1,86,0,0,0
0,24000000,12,2,1,21.4333,10,1549,2,2,0,1,86,0,0,0
0,24000000,12,3,1,21.4333,10,1549,2,2,0,1,86,0,0,0
0,24000100,3,1,1,12.4333,5,600,1,1,0,1,99,0,0,0
0,24000100,3,2,1,12.4333,5,600,1,1,0,1,113,0,0,0
0,24000100,3,3,1,12.4333,5,600,1,1,0,1,99,0,0,0
0,24000100,3,4,1,12.4333,5,600,1,1,0,1,113,0,0,0
0,24000100,6,1,1,14.6333,6,720,1,1,0,1,81,0,0,0
0,24000100,6,2,1,14.6333,6,720,1,1,0,1,81,0,0,0
0,24000100,6,3,1,14.6333,6,720,1,1,0,1,81,0,0,0
0,24000100,6,4,1,14.6333,6,720,1,1,0,1,81,0,0,0
0,24000100,9,1,1,9.23333,6,800,2,2,0,1,113,0,3,0
0,24000100,9,2,1,9.53333,6,800,2,2,0,1,113,0,0,0
0,24000100,9,3,1,9.23333,6,800,2,2,0,1,113,0,3,0
0,24000100,12,1,1,13.6333,8,1129,2,2,0,1,81,0,0,4
0,24000100,12,2,1,13.6333,8,1129,2,2,0,1,81,0,0,4
0,24000100,12,3,1,13.6333,8,1129,2,2,0,1,81,0,0,4
0,24000200,3,1,1,15.4333,5,600,1,1,0,1,113,0,0,0
0,24000200,3,2,1,15.4333,5,601,1,1,0,1,113,0,0,0
0,24000200,3,3,1,15.4333,5,600,1,1,0,1,113,0,0,0
0,24000200,3,4,1,15.4333,5,601,1,1,0,1,113,0,0,0
0,24000200,6,1,1,34.1333,7,890,1,1,0,1,54,0,0,0
0,24000200,6,2,1,34.1333,7,890,1,1,0,1,54,0,0,0
0,24000200,6,3,1,34.1333,7,890,1,1,0,1,54,0,0,0
0,24000200,6,4,1,34.1333,7,890,1,1,0,1,54,0,0,0
0,24000200,9,1,1,11.1333,6,800,2,2,0,1,97,0,6,0
0,24000200,9,2,1,8.73333,6,800,2,2,0,1,81,0,0,0
0,24000200,9,3,1,11.1333,6,800,2,2,0,1,97,0,6,0
0,24000200,12,1,1,15.6333,9,1320,2,2,0,1,65,0,0,0
0,24000200,12,2,1,15.6333,9,1320,2,2,0,1,65,0,0,0
0,24000200,12,3,1,15.6333,9,1320,2,2,0,1,65,0,0,0
0,24000300,3,1,1,8.73333,5,600,1,1,0,1,85,0,0,0
0,24000300,3,2,1,12.4333,5,626,1,1,0,1,113,0,0,0
0,24000300,3,3,1,8.73333,5,600,1,1,0,1,85,0,0,0
0,24000300,3,4,1,12.4333,5,626,1,1,0,1,113,0,0,0
0,24000300,6,1,1,15.8333,6,724,1,1,0,1,65,0,0,0
0,24000300,6,2,1,15.8333,6,724,1,1,0,1,65,0,0,0
0,24000300,6,3,1,15.8333,6,724,1,1,0,1,65,0,0,0
0,24000300,6,4,1,15.8333,6,724,1,1,0,1,65,0,0,0
0,24000300,9,1,1,8.16667,6,900,2,2,0,1,81,0,6,0
0,24000300,9,2,1,7.33333,6,800,2,2,0,1,81,0,4,0
0,24000300,9,3,1,8.16667,6,900,2,2,0,1,81,0,6,0
0,24000300,12,1,1,9.23333,7,970,2,2,0,1,81,0,2,0
0,24000300,12,2,1,9.23333,7,970,2,2,0,1,81,0,2,0
0,24000300,12,3,1,9.23333,7,970,2,2,0,1,81,0,2,0
0,24000400,3,1,1,9.43333,5,600,1,1,0,1,99,0,0,0
0,24000400,3,2,1,12.4333,5,600,1,1,0,1,99,0,0,0
0,24000400,3,3,1,9.43333,5,600,1,1,0,1,99,0,0,0
0,24000400,3,4,1,12.4333,5,600,1,1,0,1,99,0,0,0
0,24000400,6,1,1,13.4333,6,732,1,1,0,1,81,0,0,0
0,24000400,6,2,1,13.4333,6,732,1,1,0,1,81,0,0,0
0,24000400,6,3,1,13.4333,6,732,1,1,0,1,81,0,0,0
0,24000400,6,4,1,13.4333,6,732,1,1,0,1,81,0,0,0
0,24000400,9,1,1,8.16667,6,900,2,2,0,1,81,0,6,0
0,24000400,9,2,1,7.33333,6,800,2,2,0,1,81,0,4,0
0,24000400,9,3,1,8.16667,6,900,2,2,0,1,81,0,6,0
0,24000400,12,1,1,9.23333,7,970,2,2,0,1,81,0,3,0
0,24000400,12,2,1,9.23333,7,970,2,2,0,1,81,0,3,0
0,24000400,12,3,1,9.23333,7,970,2,2,0,1,81,0,3,0
0,24000500,3,1,1,13.7333,5,603,1,1,0,1,113,0,0,0
0,24000500,3,2,1,9.13333,5,600,1,1,0,1,99,0,0,0
0,24000500,3,3,1,13.7333,5,603,1,1,0,1,113,0,0,0
0,24000500,3,4,1,9.13333,5,600,1,1,0,1,99,0,0,0
0,24000500,6,1,1,9.83333,6,720,1,1,0,1,81,0,0,0
0,24000500,6,2,1,9.83333,6,720,1,1,0,1,81,0,0,0
0,24000500,6,3,1,9.83333,6,720,1,1,0,1,81,0,0,0
0,24000500,6,4,1,9.83333,6,720,1,1,0,1,81,0,0,0
0,24000500,9,1,1,10.4333,6,800,2,2,0,1,97,0,3,0
0,24000500,9,2,1,9.23333,6,800,2,2,0,1,113,0,0,0
0,24000500,9,3,1,10.4333,6,800,2,2,0,1,97,0,3,0
0,24000500,12,1,1,13.3333,8,1120,2,2,0,1,81,0,0,0
0,24000500,12,2,1,13.3333,8,1120,2,2,0,1,81,0,0,0
0,24000500,12,3,1,13.3333,8,1120,2,2,0,1,81,0,0,0
0,24000600,3,1,1,8.73333,5,600,1,1,0,1,85,0,0,0
0,24000600,3,2,1,12.1333,5,604,1,1,0,1,113,0,0,0
0,24000600,3,3,1,8.73333,5,600,1,1,0,1,85,0,0,0
0,24000600,3,4,1,12.1333,5,604,1,1,0,1,113,0,0,0
0,24000600,6,1,1,15.8333,6,725,1,1,0,1,65,0,0,0
0,24000600,6,2,1,15.8333,6,725,1,1,0,1,65,0,0,0
0,24000600,6,3,1,15.8333,6,725,1,1,0,1,65,0,0,0
0,24000600,6,4,1,15.8333,6,725,1,1,0,1,65,0,0,0
0,24000600,9,1,1,8.16667,6,900,2,2,0,1,81,0,7,0
0,24000600,9,2,1,7.33333,6,800,2,2,0,1,81,0,5,0
0,24000600,9,3,1,8.16667,6,900,2,2,0,1,81,0,7,0
0,24000600,12,1,1,9.23333,7,970,2,2,0,1,81,0,1,0
0,24000600,12,2,1,9.23333,7,970,2,2,0,1,81,0,1,0
0,24000600,12,3,1,9.23333,7,970,2,2,0,1,81,0,1,0
0,24000700,3,1,1,8.73333,5,600,1,1,0,1,85,0,0,0
0,24000700,3,2,1,14.2333,5,600,1,1,0,1,113,0,0,0
0,24000700,3,3,1,8.73333,5,600,1,1,0,1,85,0,0,0
0,24000700,3,4,1,14.2333,5,600,1,1,0,1,113,0,0,0
0,24000700,6,1,1,19.9333,7,852,1,1,0,1,65,0,0,0
0,24000700,6,2,1,19.9333,7,852,1,1,0,1,65,0,0,0
0,24000700,6,3,1,19.9333,7,852,1,1,0,1,65,0,0,0
0,24000700,6,4,1,19.9333,7,852,1,1,0,1,65,0,0,0
0,24000700,9,1,1,8.16667,6,900,2,2,0,1,81,0,6,0
0,24000700,9,2,1,8.16667,6,900,2,2,0,1,81,0,1,0
0,24000700,9,3,1,8.16667,6,900,2,2,0,1,81,0,6,0
0,24000700,12,1,1,9.23333,7,970,2,2,0,1,81,0,0,0
0,24000700,12,2,1,9.23333,7,970,2,2,0,1,81,0,0,0
0,24000700,12,3,1,9.23333,7,970,2,2,0,1,81,0,0,0
0,24000800,3,1,1,8.13333,5,600,1,1,0,1,85,0,0,0
0,24000800,3,2,1,15.4333,5,600,1,1,0,1,113,0,0,0
0,24000800,3,3,1,8.13333,5,600,1,1,0,1,85,0,0,0
0,24000800,3,4,1,15.4333,5,600,1,1,0,1,113,0,0,0
0,24000800,6,1,1,14.9333,6,723,1,1,0,1,65,0,0,0
0,24000800,6,2,1,14.9333,6,723,1,1,0,1,65,0,0,0
0,24000800,6,3,1,14.9333,6,723,1,1,0,1,65,0,0,0
0,24000800,6,4,1,14.9333,6,723,1,1,0,1,65,0,0,0
0,24000800,9,1,1,8.16667,6,900,2,2,0,1,81,0,4,0
0,24000800,9,2,1,8.16667,6,900,2,2,0,1,81,0,0,0
0,24000800,9,3,1,8.16667,6,900,2,2,0,1,81,0,4,0
0,24000800,12,1,1,8.73333,7,920,2,2,0,1,97,0,5,0
0,24000800,12,2,1,8.73333,7,920,2,2,0,1,97,0,5,0
0,24000800,12,3,1,8.73333,7,920,2,2,0,1,97,0,5,0
0,24000900,3,1,1,11.4333,5,603,1,1,0,1,85,0,0,0
0,24000900,3,2,1,11.2333,5,604,1,1,0,1,85,0,0,0
