starter,seed,site,lesson,won,seconds,casts,energy_spent,own_rank,foe_rank,locked_casts,reason,own_hp,foe_hp,own_control,foe_control,keeper_calls,damage_taken
0,24000000,3,1,1,14.2333,9,1080,1,1,0,1,80,0,0,0,0,70
0,24000000,3,2,1,7.93333,5,600,1,1,0,1,85,0,0,0,0,28
0,24000000,3,3,1,14.2333,9,1080,1,1,0,1,57,0,0,0,0,56
0,24000000,3,4,1,10.9333,7,840,1,1,0,1,57,0,0,0,0,56
0,24000000,6,1,1,9.53333,7,840,1,1,0,1,81,0,0,0,0,32
0,24000000,6,2,1,9.73333,7,840,1,1,0,1,81,0,0,0,0,32
0,24000000,6,3,1,9.73333,7,840,1,1,0,1,81,0,0,0,0,32
0,24000000,6,4,1,9.53333,7,840,1,1,0,1,81,0,0,0,0,32
0,24000000,9,1,1,7.1,5,850,2,2,0,1,85,0,0,11,0,28
0,24000000,9,2,1,7.23333,5,850,2,2,0,1,85,0,0,22,0,28
0,24000000,9,3,1,7.23333,5,850,2,2,0,1,85,0,0,22,0,28
0,24000000,12,1,1,8.66667,6,1020,2,2,0,1,113,0,0,0,0,0
0,24000000,12,2,1,8.8,6,1020,2,2,0,1,113,0,0,0,0,0
0,24000000,12,3,1,8.8,6,1020,2,2,0,1,113,0,0,0,0,0
0,24000000,16,0,1,8.3,6,1020,2,2,0,1,97,0,0,0,0,16
0,24000100,3,1,1,14.2333,9,1080,1,1,0,1,80,0,0,0,0,70
0,24000100,3,2,1,7.93333,5,600,1,1,0,1,85,0,0,0,0,28
0,24000100,3,3,1,14.2333,9,1080,1,1,0,1,57,0,0,0,0,56
0,24000100,3,4,1,10.9333,7,840,1,1,0,1,57,0,0,0,0,56
0,24000100,6,1,1,9.53333,7,840,1,1,0,1,81,0,0,0,0,32
0,24000100,6,2,1,9.73333,7,840,1,1,0,1,81,0,0,0,0,32
0,24000100,6,3,1,9.73333,7,840,1,1,0,1,81,0,0,0,0,32
0,24000100,6,4,1,9.53333,7,840,1,1,0,1,81,0,0,0,0,32
0,24000100,9,1,1,7.1,5,850,2,2,0,1,85,0,0,11,0,28
0,24000100,9,2,1,7.23333,5,850,2,2,0,1,85,0,0,22,0,28
0,24000100,9,3,1,7.23333,5,850,2,2,0,1,85,0,0,22,0,28
0,24000100,12,1,1,8.66667,6,1020,2,2,0,1,113,0,0,0,0,0
0,24000100,12,2,1,8.8,6,1020,2,2,0,1,113,0,0,0,0,0
0,24000100,12,3,1,8.8,6,1020,2,2,0,1,113,0,0,0,0,0
0,24000100,16,0,1,8.3,6,1020,2,2,0,1,97,0,0,0,0,16
0,24000200,3,1,1,14.2333,9,1080,1,1,0,1,80,0,0,0,0,70
0,24000200,3,2,1,7.93333,5,600,1,1,0,1,85,0,0,0,0,28
0,24000200,3,3,1,14.2333,9,1080,1,1,0,1,57,0,0,0,0,56
0,24000200,3,4,1,10.9333,7,840,1,1,0,1,57,0,0,0,0,56
0,24000200,6,1,1,9.53333,7,840,1,1,0,1,81,0,0,0,0,32
0,24000200,6,2,1,9.73333,7,840,1,1,0,1,81,0,0,0,0,32
0,24000200,6,3,1,9.73333,7,840,1,1,0,1,81,0,0,0,0,32
0,24000200,6,4,1,9.53333,7,840,1,1,0,1,81,0,0,0,0,32
0,24000200,9,1,1,7.1,5,850,2,2,0,1,85,0,0,11,0,28
0,24000200,9,2,1,7.23333,5,850,2,2,0,1,85,0,0,22,0,28
0,24000200,9,3,1,7.23333,5,850,2,2,0,1,85,0,0,22,0,28
0,24000200,12,1,1,8.66667,6,1020,2,2,0,1,113,0,0,0,0,0
0,24000200,12,2,1,8.8,6,1020,2,2,0,1,113,0,0,0,0,0
0,24000200,12,3,1,8.8,6,1020,2,2,0,1,113,0,0,0,0,0
0,24000200,16,0,1,8.3,6,1020,2,2,0,1,97,0,0,0,0,16
0,24000300,3,1,1,14.2333,9,1080,1,1,0,1,80,0,0,0,0,70
0,24000300,3,2,1,7.93333,5,600,1,1,0,1,85,0,0,0,0,28
0,24000300,3,3,1,14.2333,9,1080,1,1,0,1,57,0,0,0,0,56
0,24000300,3,4,1,10.9333,7,840,1,1,0,1,57,0,0,0,0,56
0,24000300,6,1,1,9.53333,7,840,1,1,0,1,81,0,0,0,0,32
0,24000300,6,2,1,9.73333,7,840,1,1,0,1,81,0,0,0,0,32
0,24000300,6,3,1,9.73333,7,840,1,1,0,1,81,0,0,0,0,32
0,24000300,6,4,1,9.53333,7,840,1,1,0,1,81,0,0,0,0,32
0,24000300,9,1,1,7.1,5,850,2,2,0,1,85,0,0,11,0,28
0,24000300,9,2,1,7.23333,5,850,2,2,0,1,85,0,0,22,0,28
0,24000300,9,3,1,7.23333,5,850,2,2,0,1,85,0,0,22,0,28
0,24000300,12,1,1,8.66667,6,1020,2,2,0,1,113,0,0,0,0,0
0,24000300,12,2,1,8.8,6,1020,2,2,0,1,113,0,0,0,0,0
0,24000300,12,3,1,8.8,6,1020,2,2,0,1,113,0,0,0,0,0
0,24000300,16,0,1,8.3,6,1020,2,2,0,1,97,0,0,0,0,16
0,24000400,3,1,1,14.2333,9,1080,1,1,0,1,80,0,0,0,0,70
0,24000400,3,2,1,7.93333,5,600,1,1,0,1,85,0,0,0,0,28
0,24000400,3,3,1,14.2333,9,1080,1,1,0,1,57,0,0,0,0,56
0,24000400,3,4,1,10.9333,7,840,1,1,0,1,57,0,0,0,0,56
0,24000400,6,1,1,9.53333,7,840,1,1,0,1,81,0,0,0,0,32
0,24000400,6,2,1,9.73333,7,840,1,1,0,1,81,0,0,0,0,32
0,24000400,6,3,1,9.73333,7,840,1,1,0,1,81,0,0,0,0,32
0,24000400,6,4,1,9.53333,7,840,1,1,0,1,81,0,0,0,0,32
0,24000400,9,1,1,7.1,5,850,2,2,0,1,85,0,0,11,0,28
0,24000400,9,2,1,7.23333,5,850,2,2,0,1,85,0,0,22,0,28
0,24000400,9,3,1,7.23333,5,850,2,2,0,1,85,0,0,22,0,28
0,24000400,12,1,1,8.66667,6,1020,2,2,0,1,113,0,0,0,0,0
0,24000400,12,2,1,8.8,6,1020,2,2,0,1,113,0,0,0,0,0
0,24000400,12,3,1,8.8,6,1020,2,2,0,1,113,0,0,0,0,0
0,24000400,16,0,1,8.3,6,1020,2,2,0,1,97,0,0,0,0,16
0,24000500,3,1,1,14.2333,9,1080,1,1,0,1,80,0,0,0,0,70
0,24000500,3,2,1,7.93333,5,600,1,1,0,1,85,0,0,0,0,28
0,24000500,3,3,1,14.2333,9,1080,1,1,0,1,57,0,0,0,0,56
0,24000500,3,4,1,10.9333,7,840,1,1,0,1,57,0,0,0,0,56
0,24000500,6,1,1,9.53333,7,840,1,1,0,1,81,0,0,0,0,32
0,24000500,6,2,1,9.73333,7,840,1,1,0,1,81,0,0,0,0,32
0,24000500,6,3,1,9.73333,7,840,1,1,0,1,81,0,0,0,0,32
0,24000500,6,4,1,9.53333,7,840,1,1,0,1,81,0,0,0,0,32
0,24000500,9,1,1,7.1,5,850,2,2,0,1,85,0,0,11,0,28
0,24000500,9,2,1,7.23333,5,850,2,2,0,1,85,0,0,22,0,28
0,24000500,9,3,1,7.23333,5,850,2,2,0,1,85,0,0,22,0,28
0,24000500,12,1,1,8.66667,6,1020,2,2,0,1,113,0,0,0,0,0
0,24000500,12,2,1,8.8,6,1020,2,2,0,1,113,0,0,0,0,0
0,24000500,12,3,1,8.8,6,1020,2,2,0,1,113,0,0,0,0,0
0,24000500,16,0,1,8.3,6,1020,2,2,0,1,97,0,0,0,0,16
0,24000600,3,1,1,14.2333,9,1080,1,1,0,1,80,0,0,0,0,70
0,24000600,3,2,1,7.93333,5,600,1,1,0,1,85,0,0,0,0,28
0,24000600,3,3,1,14.2333,9,1080,1,1,0,1,57,0,0,0,0,56
0,24000600,3,4,1,10.9333,7,840,1,1,0,1,57,0,0,0,0,56
0,24000600,6,1,1,9.53333,7,840,1,1,0,1,81,0,0,0,0,32
0,24000600,6,2,1,9.73333,7,840,1,1,0,1,81,0,0,0,0,32
0,24000600,6,3,1,9.73333,7,840,1,1,0,1,81,0,0,0,0,32
0,24000600,6,4,1,9.53333,7,840,1,1,0,1,81,0,0,0,0,32
0,24000600,9,1,1,7.1,5,850,2,2,0,1,85,0,0,11,0,28
0,24000600,9,2,1,7.23333,5,850,2,2,0,1,85,0,0,22,0,28
0,24000600,9,3,1,7.23333,5,850,2,2,0,1,85,0,0,22,0,28
0,24000600,12,1,1,8.66667,6,1020,2,2,0,1,113,0,0,0,0,0
0,24000600,12,2,1,8.8,6,1020,2,2,0,1,113,0,0,0,0,0
0,24000600,12,3,1,8.8,6,1020,2,2,0,1,113,0,0,0,0,0
0,24000600,16,0,1,8.3,6,1020,2,2,0,1,97,0,0,0,0,16
0,24000700,3,1,1,14.2333,9,1080,1,1,0,1,80,0,0,0,0,70
0,24000700,3,2,1,7.93333,5,600,1,1,0,1,85,0,0,0,0,28
0,24000700,3,3,1,14.2333,9,1080,1,1,0,1,57,0,0,0,0,56
0,24000700,3,4,1,10.9333,7,840,1,1,0,1,57,0,0,0,0,56
0,24000700,6,1,1,9.53333,7,840,1,1,0,1,81,0,0,0,0,32
0,24000700,6,2,1,9.73333,7,840,1,1,0,1,81,0,0,0,0,32
0,24000700,6,3,1,9.73333,7,840,1,1,0,1,81,0,0,0,0,32
0,24000700,6,4,1,9.53333,7,840,1,1,0,1,81,0,0,0,0,32
0,24000700,9,1,1,7.1,5,850,2,2,0,1,85,0,0,11,0,28
0,24000700,9,2,1,7.23333,5,850,2,2,0,1,85,0,0,22,0,28
0,24000700,9,3,1,7.23333,5,850,2,2,0,1,85,0,0,22,0,28
0,24000700,12,1,1,8.66667,6,1020,2,2,0,1,113,0,0,0,0,0
0,24000700,12,2,1,8.8,6,1020,2,2,0,1,113,0,0,0,0,0
0,24000700,12,3,1,8.8,6,1020,2,2,0,1,113,0,0,0,0,0
0,24000700,16,0,1,8.3,6,1020,2,2,0,1,97,0,0,0,0,16
0,24000800,3,1,1,14.2333,9,1080,1,1,0,1,80,0,0,0,0,70
0,24000800,3,2,1,7.93333,5,600,1,1,0,1,85,0,0,0,0,28
0,24000800,3,3,1,14.2333,9,1080,1,1,0,1,57,0,0,0,0,56
0,24000800,3,4,1,10.9333,7,840,1,1,0,1,57,0,0,0,0,56
0,24000800,6,1,1,9.53333,7,840,1,1,0,1,81,0,0,0,0,32
0,24000800,6,2,1,9.73333,7,840,1,1,0,1,81,0,0,0,0,32
0,24000800,6,3,1,9.73333,7,840,1,1,0,1,81,0,0,0,0,32
0,24000800,6,4,1,9.53333,7,840,1,1,0,1,81,0,0,0,0,32
