a,b,seed,weather,arena,style_a,style_b,winner,ticks,reason,hp_a,hp_b,control_a,control_b,overflow
0,1,1000,0,0,0,1,0,750,1,90,0,11,7,0
1,0,1000,0,0,1,0,1,750,1,0,90,7,11,0
0,1,1001,1,0,0,1,0,807,1,58,0,0,3,0
1,0,1001,1,0,1,0,1,630,1,0,24,18,0,0
0,1,1002,2,0,0,1,1,784,1,0,35,6,0,0
1,0,1002,2,0,1,0,1,858,1,0,39,46,1,0
0,1,1003,0,1,0,1,1,733,1,0,20,0,11,0
1,0,1003,0,1,1,0,0,733,1,20,0,11,0,0
0,1,1004,1,1,0,1,-1,600,1,0,0,0,1,0
1,0,1004,1,1,1,0,0,652,1,17,0,11,1,0
0,1,1005,2,1,0,1,1,628,1,0,38,0,9,0
1,0,1005,2,1,1,0,1,633,1,0,65,22,0,0
0,1,1006,0,2,0,1,1,595,1,0,40,5,0,0
1,0,1006,0,2,1,0,0,595,1,40,0,0,5,0
0,1,1007,1,2,0,1,0,877,1,45,0,0,3,0
1,0,1007,1,2,1,0,1,556,1,0,15,11,7,0
0,1,1008,2,2,0,1,1,637,1,0,24,0,3,0
1,0,1008,2,2,1,0,1,838,1,0,3,11,0,0
0,1,1009,0,0,1,2,0,1118,1,11,0,105,161,0
1,0,1009,0,0,2,1,1,1118,1,0,11,161,105,0
0,1,1010,1,0,1,2,1,943,1,0,24,7,328,0
1,0,1010,1,0,2,1,0,802,1,80,0,61,50,0
0,1,1011,2,0,1,2,1,645,1,0,62,6,108,0
1,0,1011,2,0,2,1,0,1069,1,49,0,16,36,0
0,1,1012,0,1,1,2,1,836,1,0,62,0,16,0
1,0,1012,0,1,2,1,0,836,1,62,0,16,0,0
0,1,1013,1,1,1,2,1,1038,1,0,59,9,18,0
1,0,1013,1,1,2,1,1,1080,1,0,26,51,0,0
0,1,1014,2,1,1,2,1,1055,1,0,10,73,200,0
1,0,1014,2,1,2,1,0,568,1,104,0,141,7,0
0,1,1015,0,2,1,2,1,976,1,0,7,60,97,0
1,0,1015,0,2,2,1,0,976,1,7,0,97,60,0
0,1,1016,1,2,1,2,1,959,1,0,25,88,49,0
1,0,1016,1,2,2,1,0,890,1,13,0,83,45,0
0,1,1017,2,2,1,2,1,955,1,0,25,30,82,0
1,0,1017,2,2,2,1,0,751,1,95,0,47,44,0
0,1,1018,0,0,2,3,1,1117,1,0,44,5,104,0
1,0,1018,0,0,3,2,0,1117,1,44,0,104,5,0
0,1,1019,1,0,2,3,0,660,1,13,0,0,74,0
1,0,1019,1,0,3,2,1,886,1,0,6,199,71,0
0,1,1020,2,0,2,3,1,653,1,0,57,0,143,0
1,0,1020,2,0,3,2,0,814,1,27,0,150,18,0
0,1,1021,0,1,2,3,0,683,1,10,0,0,83,0
1,0,1021,0,1,3,2,1,683,1,0,10,83,0,0
0,1,1022,1,1,2,3,1,612,1,0,33,0,100,0
1,0,1022,1,1,3,2,1,1156,1,0,21,273,170,0
0,1,1023,2,1,2,3,1,734,1,0,20,0,212,0
1,0,1023,2,1,3,2,1,724,1,0,9,193,0,0
0,1,1024,0,2,2,3,1,886,1,0,25,33,113,0
1,0,1024,0,2,3,2,0,886,1,25,0,113,33,0
0,1,1025,1,2,2,3,0,534,1,51,0,0,67,0
1,0,1025,1,2,3,2,0,514,1,41,0,82,0,0
0,1,1026,2,2,2,3,1,589,1,0,50,2,76,0
1,0,1026,2,2,3,2,0,735,1,65,0,144,1,0
0,1,1027,0,0,3,0,1,605,1,0,17,30,23,0
1,0,1027,0,0,0,3,0,605,1,17,0,23,30,0
0,1,1028,1,0,3,0,1,652,1,0,97,72,7,0
1,0,1028,1,0,0,3,1,601,1,0,71,51,0,0
0,1,1029,2,0,3,0,1,679,1,0,16,70,7,0
1,0,1029,2,0,0,3,0,646,1,62,0,23,14,0
0,1,1030,0,1,3,0,1,553,1,0,76,4,0,0
1,0,1030,0,1,0,3,0,553,1,76,0,0,4,0
0,1,1031,1,1,3,0,0,720,1,32,0,6,81,0
1,0,1031,1,1,0,3,1,734,1,0,7,0,17,0
0,1,1032,2,1,3,0,1,238,1,0,17,0,131,0
1,0,1032,2,1,0,3,0,748,1,42,0,64,0,0
0,1,1033,0,2,3,0,0,545,1,39,0,0,153,0
1,0,1033,0,2,0,3,1,545,1,0,39,153,0,0
0,1,1034,1,2,3,0,0,652,1,13,0,40,6,0
1,0,1034,1,2,0,3,0,615,1,15,0,22,0,0
0,1,1035,2,2,3,0,1,579,1,0,14,9,6,0
1,0,1035,2,2,0,3,1,505,1,0,29,13,0,0
0,2,1000,0,0,0,1,1,304,1,0,4,4,0,0
2,0,1000,0,0,1,0,0,304,1,4,0,0,4,0
0,2,1001,1,0,0,1,1,238,1,0,46,4,0,0
2,0,1001,1,0,1,0,0,227,1,49,0,0,4,0
0,2,1002,2,0,0,1,1,304,1,0,20,4,0,0
2,0,1002,2,0,1,0,0,338,1,15,0,0,4,0
0,2,1003,0,1,0,1,1,274,1,0,9,4,0,0
2,0,1003,0,1,1,0,0,274,1,9,0,0,4,0
0,2,1004,1,1,0,1,0,510,1,15,0,8,4,0
2,0,1004,1,1,1,0,0,466,1,9,0,0,9,0
0,2,1005,2,1,0,1,1,493,1,0,44,4,0,0
2,0,1005,2,1,1,0,0,310,1,30,0,0,4,0
0,2,1006,0,2,0,1,1,400,1,0,18,4,0,0
2,0,1006,0,2,1,0,0,400,1,18,0,0,4,0
0,2,1007,1,2,0,1,0,384,1,10,0,4,0,0
2,0,1007,1,2,1,0,0,502,1,43,0,16,4,0
0,2,1008,2,2,0,1,1,337,1,0,31,4,0,0
2,0,1008,2,2,1,0,0,519,1,29,0,0,4,0
0,2,1009,0,0,1,2,0,189,1,76,0,4,0,0
2,0,1009,0,0,2,1,1,189,1,0,76,0,4,0
0,2,1010,1,0,1,2,0,270,1,31,0,5,0,0
2,0,1010,1,0,2,1,1,308,1,0,76,0,5,0
0,2,1011,2,0,1,2,0,360,1,10,0,5,0,0
2,0,1011,2,0,2,1,1,622,1,0,23,0,5,0
0,2,1012,0,1,1,2,0,392,1,38,0,4,0,0
2,0,1012,0,1,2,1,1,392,1,0,38,0,4,0
0,2,1013,1,1,1,2,0,428,1,39,0,13,0,0
2,0,1013,1,1,2,1,0,633,1,52,0,5,6,0
0,2,1014,2,1,1,2,1,574,1,0,39,4,0,0
2,0,1014,2,1,2,1,0,418,1,16,0,0,4,0
0,2,1015,0,2,1,2,0,246,1,68,0,4,0,0
2,0,1015,0,2,2,1,1,246,1,0,68,0,4,0
0,2,1016,1,2,1,2,1,231,1,0,29,4,0,0
2,0,1016,1,2,2,1,0,490,1,24,0,0,4,0
0,2,1017,2,2,1,2,1,322,1,0,26,5,0,0
2,0,1017,2,2,2,1,0,294,1,52,0,0,5,0
0,2,1018,0,0,2,3,0,570,1,16,0,0,109,0
2,0,1018,0,0,3,2,1,570,1,0,16,109,0,0
0,2,1019,1,0,2,3,0,420,1,38,0,0,68,0
2,0,1019,1,0,3,2,1,587,1,0,38,111,0,0
0,2,1020,2,0,2,3,0,377,1,56,0,0,28,0
2,0,1020,2,0,3,2,1,540,1,0,35,115,0,0
0,2,1021,0,1,2,3,0,480,1,25,0,0,87,0
2,0,1021,0,1,3,2,1,480,1,0,25,87,0,0
0,2,1022,1,1,2,3,0,337,1,76,0,0,6,0
2,0,1022,1,1,3,2,1,409,1,0,68,26,0,0
0,2,1023,2,1,2,3,0,540,1,60,0,22,104,0
2,0,1023,2,1,3,2,1,395,1,0,48,104,0,0
0,2,1024,0,2,2,3,0,445,1,51,0,0,77,0
2,0,1024,0,2,3,2,1,445,1,0,51,77,0,0
0,2,1025,1,2,2,3,0,201,1,50,0,0,82,0
2,0,1025,1,2,3,2,1,540,1,0,41,77,12,0
0,2,1026,2,2,2,3,0,420,1,36,0,0,66,0
2,0,1026,2,2,3,2,1,440,1,0,36,66,0,0
0,2,1027,0,0,3,0,1,678,1,0,3,255,0,0
2,0,1027,0,0,0,3,0,678,1,3,0,0,255,0
0,2,1028,1,0,3,0,0,468,1,11,0,96,0,0
2,0,1028,1,0,0,3,0,531,1,9,0,0,82,0
0,2,1029,2,0,3,0,0,181,1,47,0,77,0,0
2,0,1029,2,0,0,3,1,505,1,0,19,0,70,0
0,2,1030,0,1,3,0,0,228,1,10,0,138,0,0
2,0,1030,0,1,0,3,1,228,1,0,10,0,138,0
0,2,1031,1,1,3,0,1,295,1,0,2,188,0,0
2,0,1031,1,1,0,3,1,338,1,0,27,0,106,0
0,2,1032,2,1,3,0,0,501,1,27,0,75,0,0
2,0,1032,2,1,0,3,1,330,1,0,31,0,108,0
0,2,1033,0,2,3,0,0,340,1,10,0,105,0,0
2,0,1033,0,2,0,3,1,340,1,0,10,0,105,0
0,2,1034,1,2,3,0,0,360,1,11,0,104,0,0
2,0,1034,1,2,0,3,1,216,1,0,30,0,108,0
0,2,1035,2,2,3,0,0,310,1,39,0,74,0,0
2,0,1035,2,2,0,3,0,594,1,1,0,0,122,0
0,3,1000,0,0,0,1,0,450,1,58,0,0,0,0
3,0,1000,0,0,1,0,1,450,1,0,58,0,0,0
0,3,1001,1,0,0,1,0,848,1,34,0,0,0,0
3,0,1001,1,0,1,0,1,637,1,0,8,14,0,0
0,3,1002,2,0,0,1,0,726,1,54,0,0,0,0
3,0,1002,2,0,1,0,1,840,1,0,25,13,1,0
0,3,1003,0,1,0,1,0,300,1,58,0,1,4,0
3,0,1003,0,1,1,0,1,300,1,0,58,4,1,0
0,3,1004,1,1,0,1,0,750,1,3,0,0,2,0
3,0,1004,1,1,1,0,1,660,1,0,32,0,0,0
0,3,1005,2,1,0,1,0,462,1,54,0,0,0,0
3,0,1005,2,1,1,0,0,590,1,4,0,0,5,0
0,3,1006,0,2,0,1,0,372,1,46,0,0,0,0
3,0,1006,0,2,1,0,1,372,1,0,46,0,0,0
0,3,1007,1,2,0,1,0,570,1,63,0,13,0,0
3,0,1007,1,2,1,0,1,552,1,0,2,0,6,0
0,3,1008,2,2,0,1,0,600,1,29,0,0,0,0
3,0,1008,2,2,1,0,0,501,1,76,0,9,9,0
0,3,1009,0,0,1,2,1,352,1,0,71,1,0,0
3,0,1009,0,0,2,1,0,352,1,71,0,0,1,0
0,3,1010,1,0,1,2,1,467,1,0,50,30,0,0
3,0,1010,1,0,2,1,0,467,1,50,0,0,30,0
0,3,1011,2,0,1,2,1,768,1,0,24,21,0,0
3,0,1011,2,0,2,1,0,768,1,20,0,0,21,0
0,3,1012,0,1,1,2,1,467,1,0,64,7,7,0
3,0,1012,0,1,2,1,0,467,1,64,0,7,7,0
0,3,1013,1,1,1,2,1,672,1,0,79,0,0,0
3,0,1013,1,1,2,1,1,1031,1,0,39,0,0,0
0,3,1014,2,1,1,2,0,783,1,27,0,58,9,0
3,0,1014,2,1,2,1,0,814,1,36,0,42,42,0
0,3,1015,0,2,1,2,1,446,1,0,75,7,20,0
3,0,1015,0,2,2,1,0,446,1,75,0,20,7,0
0,3,1016,1,2,1,2,1,529,1,0,43,0,0,0
3,0,1016,1,2,2,1,0,538,1,55,0,0,0,0
0,3,1017,2,2,1,2,1,429,1,0,63,0,23,0
3,0,1017,2,2,2,1,0,746,1,72,0,0,0,0
0,3,1018,0,0,2,3,0,636,1,20,0,0,65,0
3,0,1018,0,0,3,2,1,636,1,0,20,65,0,0
0,3,1019,1,0,2,3,0,545,1,27,0,0,64,0
3,0,1019,1,0,3,2,-1,630,1,0,0,61,0,0
0,3,1020,2,0,2,3,1,769,1,0,25,11,72,0
3,0,1020,2,0,3,2,0,476,1,48,0,65,1,0
0,3,1021,0,1,2,3,0,464,1,46,0,0,90,0
3,0,1021,0,1,3,2,1,464,1,0,46,90,0,0
0,3,1022,1,1,2,3,0,660,1,21,0,0,67,0
3,0,1022,1,1,3,2,1,642,1,0,22,70,0,0
0,3,1023,2,1,2,3,1,606,1,0,20,0,107,0
3,0,1023,2,1,3,2,0,612,1,12,0,90,3,0
0,3,1024,0,2,2,3,0,406,1,58,0,0,50,0
3,0,1024,0,2,3,2,1,406,1,0,58,50,0,0
0,3,1025,1,2,2,3,1,680,1,0,68,1,69,0
3,0,1025,1,2,3,2,0,600,1,13,0,65,0,0
0,3,1026,2,2,2,3,1,615,1,0,43,0,72,0
3,0,1026,2,2,3,2,0,526,1,35,0,61,0,0
0,3,1027,0,0,3,0,0,481,1,51,0,51,0,0
3,0,1027,0,0,0,3,1,481,1,0,51,0,51,0
0,3,1028,1,0,3,0,1,534,1,0,24,69,0,0
3,0,1028,1,0,0,3,0,414,1,101,0,0,16,0
0,3,1029,2,0,3,0,0,710,1,7,0,70,0,0
3,0,1029,2,0,0,3,0,359,1,76,0,0,103,0
0,3,1030,0,1,3,0,0,288,1,70,0,26,0,0
3,0,1030,0,1,0,3,1,288,1,0,70,0,26,0
0,3,1031,1,1,3,0,0,268,1,27,0,38,0,0
3,0,1031,1,1,0,3,1,700,1,0,3,0,61,0
0,3,1032,2,1,3,0,1,703,1,0,8,100,0,0
3,0,1032,2,1,0,3,0,656,1,71,0,0,55,0
0,3,1033,0,2,3,0,-1,436,1,0,0,63,0,0
3,0,1033,0,2,0,3,-1,436,1,0,0,0,63,0
0,3,1034,1,2,3,0,1,408,1,0,55,11,0,0
3,0,1034,1,2,0,3,0,562,1,35,0,0,46,0
0,3,1035,2,2,3,0,1,616,1,0,54,77,0,0
3,0,1035,2,2,0,3,0,527,1,68,0,0,30,0
0,4,1000,0,0,0,1,1,672,1,0,16,0,22,0
4,0,1000,0,0,1,0,0,672,1,16,0,22,0,0
0,4,1001,1,0,0,1,0,611,1,41,0,29,4,0
4,0,1001,1,0,1,0,0,600,1,97,0,5,6,0
0,4,1002,2,0,0,1,1,730,1,0,26,40,60,0
4,0,1002,2,0,1,0,0,750,1,60,0,35,19,0
0,4,1003,0,1,0,1,1,771,1,0,17,32,22,0
4,0,1003,0,1,1,0,0,771,1,17,0,22,32,0
0,4,1004,1,1,0,1,0,584,1,49,0,40,32,0
4,0,1004,1,1,1,0,1,575,1,0,53,21,25,0
0,4,1005,2,1,0,1,1,540,1,0,34,4,28,0
4,0,1005,2,1,1,0,1,793,1,0,9,11,15,0
0,4,1006,0,2,0,1,1,572,1,0,71,22,55,0
4,0,1006,0,2,1,0,0,572,1,71,0,55,22,0
0,4,1007,1,2,0,1,0,1170,1,32,0,31,57,0
4,0,1007,1,2,1,0,0,590,1,56,0,0,5,0
0,4,1008,2,2,0,1,1,840,1,0,17,22,58,0
4,0,1008,2,2,1,0,1,1126,1,0,4,37,25,0
0,4,1009,0,0,1,2,1,715,1,0,56,10,0,0
4,0,1009,0,0,2,1,0,715,1,56,0,0,10,0
0,4,1010,1,0,1,2,1,630,1,0,123,68,0,0
4,0,1010,1,0,2,1,0,1320,1,53,0,12,48,0
0,4,1011,2,0,1,2,1,630,1,0,6,36,0,0
4,0,1011,2,0,2,1,0,622,1,34,0,0,15,0
0,4,1012,0,1,1,2,1,780,1,0,23,29,0,0
4,0,1012,0,1,2,1,0,780,1,23,0,0,29,0
0,4,1013,1,1,1,2,0,433,1,15,0,3,0,0
4,0,1013,1,1,2,1,1,743,1,0,64,0,9,0
0,4,1014,2,1,1,2,0,540,1,70,0,4,0,0
4,0,1014,2,1,2,1,0,480,1,75,0,0,0,0
0,4,1015,0,2,1,2,1,574,1,0,30,2,0,0
4,0,1015,0,2,2,1,0,574,1,30,0,0,2,0
0,4,1016,1,2,1,2,0,370,1,29,0,3,0,0
4,0,1016,1,2,2,1,0,900,1,40,0,0,10,0
0,4,1017,2,2,1,2,1,660,1,0,19,3,0,0
4,0,1017,2,2,2,1,0,1105,1,16,0,12,7,0
0,4,1018,0,0,2,3,1,720,1,0,41,34,113,0
4,0,1018,0,0,3,2,0,720,1,41,0,113,34,0
0,4,1019,1,0,2,3,1,540,1,0,32,86,53,0
4,0,1019,1,0,3,2,0,1087,1,44,0,253,0,0
0,4,1020,2,0,2,3,1,540,1,0,46,0,221,0
4,0,1020,2,0,3,2,1,656,1,0,22,77,0,0
0,4,1021,0,1,2,3,0,595,1,13,0,0,62,0
4,0,1021,0,1,3,2,1,595,1,0,13,62,0,0
0,4,1022,1,1,2,3,0,653,1,8,0,11,98,0
4,0,1022,1,1,3,2,0,733,1,28,0,66,19,0
0,4,1023,2,1,2,3,1,720,1,0,104,37,115,0
4,0,1023,2,1,3,2,0,640,1,2,0,70,1,0
0,4,1024,0,2,2,3,1,690,1,0,12,20,76,0
4,0,1024,0,2,3,2,0,690,1,12,0,76,20,0
0,4,1025,1,2,2,3,0,616,1,27,0,0,97,0
4,0,1025,1,2,3,2,0,660,1,8,0,82,0,0
0,4,1026,2,2,2,3,1,780,1,0,24,4,76,0
4,0,1026,2,2,3,2,0,660,1,15,0,76,7,0
0,4,1027,0,0,3,0,0,570,1,31,0,102,12,0
4,0,1027,0,0,0,3,1,570,1,0,31,12,102,0
0,4,1028,1,0,3,0,0,476,1,41,0,114,0,0
4,0,1028,1,0,0,3,0,570,1,77,0,0,78,0
0,4,1029,2,0,3,0,1,570,1,0,24,115,0,0
4,0,1029,2,0,0,3,0,450,1,69,0,8,39,0
0,4,1030,0,1,3,0,1,529,1,0,36,92,0,0
4,0,1030,0,1,0,3,0,529,1,36,0,0,92,0
0,4,1031,1,1,3,0,1,510,1,0,80,90,7,0
4,0,1031,1,1,0,3,0,810,1,28,0,0,223,0
0,4,1032,2,1,3,0,1,626,1,0,61,69,0,0
4,0,1032,2,1,0,3,0,904,1,45,0,0,195,0
0,4,1033,0,2,3,0,1,450,1,0,87,67,27,0
4,0,1033,0,2,0,3,0,450,1,87,0,27,67,0
0,4,1034,1,2,3,0,0,630,1,40,0,97,0,0
4,0,1034,1,2,0,3,1,540,1,0,10,0,89,0
0,4,1035,2,2,3,0,1,510,1,0,87,79,13,0
4,0,1035,2,2,0,3,1,704,1,0,51,76,174,0
0,5,1000,0,0,0,1,0,1079,1,33,0,0,25,0
5,0,1000,0,0,1,0,1,1079,1,0,33,25,0,0
0,5,1001,1,0,0,1,0,893,1,39,0,0,1,0
5,0,1001,1,0,1,0,1,959,1,0,32,1,0,0
0,5,1002,2,0,0,1,1,658,1,0,62,0,1,0
5,0,1002,2,0,1,0,0,658,1,59,0,1,0,0
0,5,1003,0,1,0,1,0,665,1,53,0,0,0,0
5,0,1003,0,1,1,0,1,665,1,0,53,0,0,0
0,5,1004,1,1,0,1,1,883,1,0,46,0,44,0
5,0,1004,1,1,1,0,0,1083,1,1,0,5,0,0
0,5,1005,2,1,0,1,1,897,1,0,7,0,5,0
5,0,1005,2,1,1,0,0,880,1,15,0,0,11,0
0,5,1006,0,2,0,1,1,703,1,0,27,0,1,0
5,0,1006,0,2,1,0,0,703,1,27,0,1,0,0
0,5,1007,1,2,0,1,1,835,1,0,53,6,4,0
5,0,1007,1,2,1,0,0,835,1,23,0,4,6,0
0,5,1008,2,2,0,1,1,760,1,0,86,0,1,0
5,0,1008,2,2,1,0,0,1009,1,41,0,1,0,0
0,5,1009,0,0,1,2,1,1228,1,0,29,7,9,0
5,0,1009,0,0,2,1,0,1228,1,29,0,9,7,0
0,5,1010,1,0,1,2,1,1060,1,0,70,0,0,0
5,0,1010,1,0,2,1,0,879,1,102,0,0,0,0
0,5,1011,2,0,1,2,1,998,1,0,65,0,0,0
5,0,1011,2,0,2,1,0,998,1,51,0,0,0,0
0,5,1012,0,1,1,2,1,1100,1,0,49,9,0,0
5,0,1012,0,1,2,1,0,1100,1,49,0,0,9,0
0,5,1013,1,1,1,2,1,1500,1,0,26,38,18,0
5,0,1013,1,1,2,1,0,1078,1,22,0,1,24,0
0,5,1014,2,1,1,2,1,1248,1,0,31,9,6,0
5,0,1014,2,1,2,1,0,934,1,68,0,0,9,0
0,5,1015,0,2,1,2,1,1273,1,0,87,14,12,0
5,0,1015,0,2,2,1,0,1273,1,87,0,12,14,0
0,5,1016,1,2,1,2,1,1337,1,0,66,0,8,0
5,0,1016,1,2,2,1,0,1355,1,9,0,8,0,0
0,5,1017,2,2,1,2,1,769,1,0,61,0,17,0
5,0,1017,2,2,2,1,0,1307,1,46,0,24,0,0
0,5,1018,0,0,2,3,1,901,1,0,51,4,84,0
5,0,1018,0,0,3,2,0,901,1,51,0,84,4,0
0,5,1019,1,0,2,3,0,720,1,34,0,0,82,0
5,0,1019,1,0,3,2,0,1239,1,10,0,84,11,0
0,5,1020,2,0,2,3,1,1006,1,0,55,2,65,0
5,0,1020,2,0,3,2,0,1030,1,96,0,54,13,0
0,5,1021,0,1,2,3,1,909,1,0,31,0,68,0
5,0,1021,0,1,3,2,0,909,1,31,0,68,0,0
0,5,1022,1,1,2,3,1,932,1,0,40,4,89,0
5,0,1022,1,1,3,2,1,1020,1,0,38,89,4,0
0,5,1023,2,1,2,3,1,880,1,0,15,0,66,0
5,0,1023,2,1,3,2,0,801,1,81,0,87,15,0
0,5,1024,0,2,2,3,1,904,1,0,5,4,66,0
5,0,1024,0,2,3,2,0,904,1,5,0,66,4,0
0,5,1025,1,2,2,3,0,1325,1,52,0,0,62,0
5,0,1025,1,2,3,2,0,1012,1,2,0,81,13,0
0,5,1026,2,2,2,3,1,760,1,0,75,0,80,0
5,0,1026,2,2,3,2,0,1024,1,77,0,58,0,0
0,5,1027,0,0,3,0,0,1020,1,41,0,83,0,0
5,0,1027,0,0,0,3,1,1020,1,0,41,0,83,0
0,5,1028,1,0,3,0,0,930,1,20,0,69,0,0
5,0,1028,1,0,0,3,0,808,1,32,0,0,65,0
0,5,1029,2,0,3,0,1,706,1,0,34,49,0,0
5,0,1029,2,0,0,3,0,706,1,34,0,0,49,0
0,5,1030,0,1,3,0,1,748,1,0,38,71,0,0
5,0,1030,0,1,0,3,0,748,1,38,0,0,71,0
0,5,1031,1,1,3,0,1,772,1,0,35,66,0,0
5,0,1031,1,1,0,3,0,771,1,19,0,0,66,0
0,5,1032,2,1,3,0,1,664,1,0,28,81,0,0
5,0,1032,2,1,0,3,0,664,1,32,0,0,81,0
0,5,1033,0,2,3,0,0,796,1,24,0,73,0,0
5,0,1033,0,2,0,3,1,796,1,0,24,0,73,0
0,5,1034,1,2,3,0,1,984,1,0,55,71,0,0
5,0,1034,1,2,0,3,0,984,1,71,0,0,71,0
0,5,1035,2,2,3,0,1,598,1,0,36,61,0,0
5,0,1035,2,2,0,3,0,694,1,43,0,0,66,0
0,6,1000,0,0,0,1,0,718,1,27,0,1,34,0
6,0,1000,0,0,1,0,1,718,1,0,27,34,1,0
0,6,1001,1,0,0,1,0,460,1,43,0,29,30,0
6,0,1001,1,0,1,0,1,803,1,0,45,0,21,0
0,6,1002,2,0,0,1,1,1011,1,0,22,160,126,0
6,0,1002,2,0,1,0,0,783,1,1,0,0,40,0
0,6,1003,0,1,0,1,0,505,1,16,0,71,27,0
6,0,1003,0,1,1,0,1,505,1,0,16,27,71,0
0,6,1004,1,1,0,1,0,677,1,71,0,0,11,0
6,0,1004,1,1,1,0,1,960,1,0,41,0,12,0
0,6,1005,2,1,0,1,0,828,1,24,0,12,13,0
6,0,1005,2,1,1,0,-1,689,1,0,0,0,20,0
0,6,1006,0,2,0,1,0,832,1,41,0,41,38,0
6,0,1006,0,2,1,0,1,832,1,0,41,38,41,0
0,6,1007,1,2,0,1,0,525,1,25,0,5,35,0
6,0,1007,1,2,1,0,0,770,1,26,0,16,23,0
0,6,1008,2,2,0,1,0,556,1,33,0,8,25,0
6,0,1008,2,2,1,0,1,878,1,0,3,6,17,0
0,6,1009,0,0,1,2,1,747,1,0,31,24,5,0
6,0,1009,0,0,2,1,0,747,1,31,0,5,24,0
0,6,1010,1,0,1,2,0,1198,1,45,0,156,234,0
6,0,1010,1,0,2,1,0,876,1,43,0,44,89,0
0,6,1011,2,0,1,2,1,756,1,0,78,89,49,0
6,0,1011,2,0,2,1,0,1199,1,7,0,3,28,0
0,6,1012,0,1,1,2,1,898,1,0,25,31,10,0
6,0,1012,0,1,2,1,0,712,1,27,0,65,93,0
0,6,1013,1,1,1,2,1,1036,1,0,1,101,5,0
6,0,1013,1,1,2,1,1,567,1,0,4,15,88,0
0,6,1014,2,1,1,2,0,716,1,65,0,94,0,0
6,0,1014,2,1,2,1,0,870,1,6,0,65,146,0
0,6,1015,0,2,1,2,0,540,1,19,0,16,0,0
6,0,1015,0,2,2,1,1,540,1,0,19,0,16,0
0,6,1016,1,2,1,2,1,750,1,0,19,80,13,0
6,0,1016,1,2,2,1,0,696,1,13,0,21,106,0
0,6,1017,2,2,1,2,1,658,1,0,51,79,36,0
6,0,1017,2,2,2,1,0,681,1,17,0,34,75,0
0,6,1018,0,0,2,3,0,330,1,56,0,0,87,0
6,0,1018,0,0,3,2,1,330,1,0,56,87,0,0
0,6,1019,1,0,2,3,0,664,1,12,0,0,124,0
6,0,1019,1,0,3,2,1,816,1,0,20,119,48,0
0,6,1020,2,0,2,3,0,589,1,11,0,0,111,0
6,0,1020,2,0,3,2,1,577,1,0,71,37,0,0
0,6,1021,0,1,2,3,0,542,1,38,0,0,95,0
6,0,1021,0,1,3,2,1,542,1,0,38,95,0,0
0,6,1022,1,1,2,3,0,492,1,7,0,13,74,0
6,0,1022,1,1,3,2,1,316,1,0,73,64,0,0
0,6,1023,2,1,2,3,0,629,1,46,0,0,58,0
6,0,1023,2,1,3,2,1,434,1,0,67,57,0,0
0,6,1024,0,2,2,3,1,513,1,0,32,0,73,0
6,0,1024,0,2,3,2,0,513,1,32,0,73,0,0
0,6,1025,1,2,2,3,0,457,1,65,0,0,80,0
6,0,1025,1,2,3,2,0,513,1,16,0,75,3,0
