a,b,seed,weather,arena,style_a,style_b,winner,ticks,reason,hp_a,hp_b,control_a,control_b,overflow
0,1,1000,0,0,0,1,0,750,1,90,0,11,7,0
1,0,1000,0,0,1,0,1,750,1,0,90,7,11,0
0,1,1001,1,0,0,1,0,807,1,58,0,0,3,0
1,0,1001,1,0,1,0,1,630,1,0,24,18,0,0
0,1,1002,2,0,0,1,1,784,1,0,35,6,0,0
1,0,1002,2,0,1,0,1,858,1,0,39,46,1,0
0,1,1003,0,1,0,1,1,733,1,0,20,0,11,0
1,0,1003,0,1,1,0,0,733,1,20,0,11,0,0
0,1,1004,1,1,0,1,-1,600,1,0,0,0,1,0
1,0,1004,1,1,1,0,0,652,1,17,0,11,1,0
0,1,1005,2,1,0,1,1,628,1,0,38,0,9,0
1,0,1005,2,1,1,0,1,633,1,0,65,22,0,0
0,1,1006,0,2,0,1,1,595,1,0,40,5,0,0
1,0,1006,0,2,1,0,0,595,1,40,0,0,5,0
0,1,1007,1,2,0,1,0,877,1,45,0,0,3,0
1,0,1007,1,2,1,0,1,556,1,0,15,11,7,0
0,1,1008,2,2,0,1,1,637,1,0,24,0,3,0
1,0,1008,2,2,1,0,1,838,1,0,3,11,0,0
0,2,1000,0,0,0,1,1,304,1,0,4,4,0,0
2,0,1000,0,0,1,0,0,304,1,4,0,0,4,0
0,2,1001,1,0,0,1,1,238,1,0,46,4,0,0
2,0,1001,1,0,1,0,0,227,1,49,0,0,4,0
0,2,1002,2,0,0,1,1,304,1,0,20,4,0,0
2,0,1002,2,0,1,0,0,338,1,15,0,0,4,0
0,2,1003,0,1,0,1,1,274,1,0,9,4,0,0
2,0,1003,0,1,1,0,0,274,1,9,0,0,4,0
0,2,1004,1,1,0,1,0,510,1,15,0,8,4,0
2,0,1004,1,1,1,0,0,466,1,9,0,0,9,0
0,2,1005,2,1,0,1,1,493,1,0,44,4,0,0
2,0,1005,2,1,1,0,0,310,1,30,0,0,4,0
0,2,1006,0,2,0,1,1,400,1,0,18,4,0,0
2,0,1006,0,2,1,0,0,400,1,18,0,0,4,0
0,2,1007,1,2,0,1,0,384,1,10,0,4,0,0
2,0,1007,1,2,1,0,0,502,1,43,0,16,4,0
0,2,1008,2,2,0,1,1,337,1,0,31,4,0,0
2,0,1008,2,2,1,0,0,519,1,29,0,0,4,0
0,3,1000,0,0,0,1,0,450,1,58,0,0,0,0
3,0,1000,0,0,1,0,1,450,1,0,58,0,0,0
0,3,1001,1,0,0,1,0,848,1,34,0,0,0,0
3,0,1001,1,0,1,0,1,637,1,0,8,14,0,0
0,3,1002,2,0,0,1,0,726,1,54,0,0,0,0
3,0,1002,2,0,1,0,1,840,1,0,25,13,1,0
0,3,1003,0,1,0,1,0,300,1,58,0,1,4,0
3,0,1003,0,1,1,0,1,300,1,0,58,4,1,0
0,3,1004,1,1,0,1,0,750,1,3,0,0,2,0
3,0,1004,1,1,1,0,1,660,1,0,32,0,0,0
0,3,1005,2,1,0,1,0,462,1,54,0,0,0,0
3,0,1005,2,1,1,0,0,590,1,4,0,0,5,0
0,3,1006,0,2,0,1,0,372,1,46,0,0,0,0
3,0,1006,0,2,1,0,1,372,1,0,46,0,0,0
0,3,1007,1,2,0,1,0,570,1,63,0,13,0,0
3,0,1007,1,2,1,0,1,552,1,0,2,0,6,0
0,3,1008,2,2,0,1,0,600,1,29,0,0,0,0
3,0,1008,2,2,1,0,0,501,1,76,0,9,9,0
0,4,1000,0,0,0,1,1,672,1,0,16,0,22,0
4,0,1000,0,0,1,0,0,672,1,16,0,22,0,0
0,4,1001,1,0,0,1,0,611,1,41,0,29,4,0
4,0,1001,1,0,1,0,0,600,1,97,0,5,6,0
0,4,1002,2,0,0,1,1,730,1,0,26,40,60,0
4,0,1002,2,0,1,0,0,750,1,60,0,35,19,0
0,4,1003,0,1,0,1,1,771,1,0,17,32,22,0
4,0,1003,0,1,1,0,0,771,1,17,0,22,32,0
0,4,1004,1,1,0,1,0,584,1,49,0,40,32,0
4,0,1004,1,1,1,0,1,575,1,0,53,21,25,0
0,4,1005,2,1,0,1,1,540,1,0,34,4,28,0
4,0,1005,2,1,1,0,1,793,1,0,9,11,15,0
0,4,1006,0,2,0,1,1,572,1,0,71,22,55,0
4,0,1006,0,2,1,0,0,572,1,71,0,55,22,0
0,4,1007,1,2,0,1,0,1170,1,32,0,31,57,0
4,0,1007,1,2,1,0,0,590,1,56,0,0,5,0
0,4,1008,2,2,0,1,1,840,1,0,17,22,58,0
4,0,1008,2,2,1,0,1,1126,1,0,4,37,25,0
0,5,1000,0,0,0,1,0,1079,1,33,0,0,25,0
5,0,1000,0,0,1,0,1,1079,1,0,33,25,0,0
0,5,1001,1,0,0,1,0,893,1,39,0,0,1,0
5,0,1001,1,0,1,0,1,959,1,0,32,1,0,0
0,5,1002,2,0,0,1,1,658,1,0,62,0,1,0
5,0,1002,2,0,1,0,0,658,1,59,0,1,0,0
0,5,1003,0,1,0,1,0,665,1,53,0,0,0,0
5,0,1003,0,1,1,0,1,665,1,0,53,0,0,0
0,5,1004,1,1,0,1,1,883,1,0,46,0,44,0
5,0,1004,1,1,1,0,0,1083,1,1,0,5,0,0
0,5,1005,2,1,0,1,1,897,1,0,7,0,5,0
5,0,1005,2,1,1,0,0,880,1,15,0,0,11,0
0,5,1006,0,2,0,1,1,703,1,0,27,0,1,0
5,0,1006,0,2,1,0,0,703,1,27,0,1,0,0
0,5,1007,1,2,0,1,1,835,1,0,53,6,4,0
5,0,1007,1,2,1,0,0,835,1,23,0,4,6,0
0,5,1008,2,2,0,1,1,760,1,0,86,0,1,0
5,0,1008,2,2,1,0,0,1009,1,41,0,1,0,0
0,6,1000,0,0,0,1,0,718,1,27,0,1,34,0
6,0,1000,0,0,1,0,1,718,1,0,27,34,1,0
0,6,1001,1,0,0,1,0,460,1,43,0,29,30,0
6,0,1001,1,0,1,0,1,803,1,0,45,0,21,0
0,6,1002,2,0,0,1,1,1011,1,0,22,160,126,0
6,0,1002,2,0,1,0,0,783,1,1,0,0,40,0
0,6,1003,0,1,0,1,0,505,1,16,0,71,27,0
6,0,1003,0,1,1,0,1,505,1,0,16,27,71,0
0,6,1004,1,1,0,1,0,677,1,71,0,0,11,0
6,0,1004,1,1,1,0,1,960,1,0,41,0,12,0
0,6,1005,2,1,0,1,0,828,1,24,0,12,13,0
6,0,1005,2,1,1,0,-1,689,1,0,0,0,20,0
0,6,1006,0,2,0,1,0,832,1,41,0,41,38,0
6,0,1006,0,2,1,0,1,832,1,0,41,38,41,0
0,6,1007,1,2,0,1,0,525,1,25,0,5,35,0
6,0,1007,1,2,1,0,0,770,1,26,0,16,23,0
0,6,1008,2,2,0,1,0,556,1,33,0,8,25,0
6,0,1008,2,2,1,0,1,878,1,0,3,6,17,0
0,7,1000,0,0,0,1,0,420,1,10,0,0,0,0
7,0,1000,0,0,1,0,1,420,1,0,10,0,0,0
0,7,1001,1,0,0,1,1,509,1,0,45,0,0,0
7,0,1001,1,0,1,0,0,509,1,45,0,0,0,0
0,7,1002,2,0,0,1,1,342,1,0,90,0,0,0
7,0,1002,2,0,1,0,0,342,1,72,0,0,0,0
0,7,1003,0,1,0,1,1,409,1,0,38,0,0,0
7,0,1003,0,1,1,0,0,409,1,38,0,0,0,0
0,7,1004,1,1,0,1,0,478,1,18,0,0,0,0
7,0,1004,1,1,1,0,1,478,1,0,18,0,0,0
0,7,1005,2,1,0,1,1,535,1,0,2,0,0,0
7,0,1005,2,1,1,0,1,341,1,0,71,0,0,0
0,7,1006,0,2,0,1,1,397,1,0,74,0,0,0
7,0,1006,0,2,1,0,0,397,1,74,0,0,0,0
0,7,1007,1,2,0,1,1,564,1,0,3,0,0,0
7,0,1007,1,2,1,0,0,607,1,16,0,0,0,0
0,7,1008,2,2,0,1,1,390,1,0,61,0,0,0
7,0,1008,2,2,1,0,0,390,1,77,0,0,0,0
0,8,1000,0,0,0,1,0,760,1,17,0,21,6,0
8,0,1000,0,0,1,0,1,760,1,0,17,6,21,0
0,8,1001,1,0,0,1,0,830,1,16,0,32,0,0
8,0,1001,1,0,1,0,1,750,1,0,6,0,7,0
0,8,1002,2,0,0,1,1,880,1,0,91,5,62,0
8,0,1002,2,0,1,0,0,751,1,67,0,21,10,0
0,8,1003,0,1,0,1,0,792,1,2,0,0,1,0
8,0,1003,0,1,1,0,1,792,1,0,2,1,0,0
0,8,1004,1,1,0,1,1,616,1,0,12,35,46,0
8,0,1004,1,1,1,0,1,661,1,0,70,18,0,0
0,8,1005,2,1,0,1,0,976,1,18,0,42,0,0
8,0,1005,2,1,1,0,1,759,1,0,61,0,0,0
0,8,1006,0,2,0,1,0,653,1,67,0,27,39,0
8,0,1006,0,2,1,0,1,653,1,0,67,39,27,0
0,8,1007,1,2,0,1,0,817,1,61,0,107,104,0
8,0,1007,1,2,1,0,1,632,1,0,58,0,12,0
0,8,1008,2,2,0,1,0,1041,1,52,0,23,6,0
8,0,1008,2,2,1,0,0,698,1,58,0,0,12,0
0,9,1000,0,0,0,1,0,676,1,52,0,13,0,0
9,0,1000,0,0,1,0,1,676,1,0,52,0,13,0
0,9,1001,1,0,0,1,0,660,1,57,0,0,0,0
9,0,1001,1,0,1,0,1,786,1,0,40,5,0,0
0,9,1002,2,0,0,1,1,700,1,0,39,0,0,0
9,0,1002,2,0,1,0,1,619,1,0,27,0,0,0
0,9,1003,0,1,0,1,0,570,1,53,0,0,0,0
9,0,1003,0,1,1,0,1,570,1,0,53,0,0,0
0,9,1004,1,1,0,1,0,384,1,72,0,2,0,0
9,0,1004,1,1,1,0,1,384,1,0,72,0,2,0
0,9,1005,2,1,0,1,1,805,1,0,51,0,10,0
9,0,1005,2,1,1,0,0,805,1,51,0,10,0,0
0,9,1006,0,2,0,1,0,451,1,76,0,0,0,0
9,0,1006,0,2,1,0,1,451,1,0,76,0,0,0
0,9,1007,1,2,0,1,0,628,1,46,0,0,0,0
9,0,1007,1,2,1,0,1,483,1,0,66,0,0,0
0,9,1008,2,2,0,1,0,904,1,73,0,0,0,0
9,0,1008,2,2,1,0,1,663,1,0,93,0,0,0
0,10,1000,0,0,0,1,0,1178,1,13,0,11,0,0
10,0,1000,0,0,1,0,1,1178,1,0,13,0,11,0
0,10,1001,1,0,0,1,0,1200,1,31,0,10,17,0
10,0,1001,1,0,1,0,0,812,1,41,0,59,27,0
0,10,1002,2,0,0,1,0,510,1,109,0,24,0,0
10,0,1002,2,0,1,0,0,1032,1,8,0,13,0,0
0,10,1003,0,1,0,1,1,1329,1,0,4,17,53,0
10,0,1003,0,1,1,0,0,1329,1,4,0,53,17,0
0,10,1004,1,1,0,1,1,1158,1,0,26,20,18,0
10,0,1004,1,1,1,0,0,469,1,64,0,0,0,0
0,10,1005,2,1,0,1,0,776,1,77,0,105,32,0
10,0,1005,2,1,1,0,1,1002,1,0,3,0,0,0
0,10,1006,0,2,0,1,1,1139,1,0,31,144,77,0
10,0,1006,0,2,1,0,0,1139,1,31,0,77,144,0
0,10,1007,1,2,0,1,1,1555,1,0,20,15,43,0
10,0,1007,1,2,1,0,0,958,1,43,0,26,17,0
0,10,1008,2,2,0,1,1,1022,1,0,78,28,63,0
10,0,1008,2,2,1,0,1,930,1,0,35,28,31,0
0,11,1000,0,0,0,1,1,804,1,0,19,3,0,0
11,0,1000,0,0,1,0,0,804,1,19,0,0,3,0
0,11,1001,1,0,0,1,1,807,1,0,46,0,0,0
11,0,1001,1,0,1,0,0,807,1,28,0,0,0,0
0,11,1002,2,0,0,1,1,772,1,0,70,0,0,0
11,0,1002,2,0,1,0,0,772,1,54,0,0,0,0
0,11,1003,0,1,0,1,0,889,1,43,0,0,0,0
11,0,1003,0,1,1,0,1,889,1,0,43,0,0,0
0,11,1004,1,1,0,1,1,1000,1,0,43,0,14,0
11,0,1004,1,1,1,0,1,1013,1,0,30,1,0,0
0,11,1005,2,1,0,1,0,955,1,10,0,0,17,0
11,0,1005,2,1,1,0,1,955,1,0,10,17,0,0
0,11,1006,0,2,0,1,0,950,1,10,0,8,0,0
11,0,1006,0,2,1,0,1,950,1,0,10,0,8,0
0,11,1007,1,2,0,1,1,1225,1,0,50,0,0,0
11,0,1007,1,2,1,0,0,1225,1,50,0,0,0,0
0,11,1008,2,2,0,1,1,742,1,0,48,9,0,0
11,0,1008,2,2,1,0,0,742,1,20,0,0,9,0
0,12,1000,0,0,0,1,0,878,1,38,0,0,6,0
12,0,1000,0,0,1,0,1,878,1,0,38,6,0,0
0,12,1001,1,0,0,1,0,420,1,10,0,0,6,0
12,0,1001,1,0,1,0,1,480,1,0,13,6,0,0
0,12,1002,2,0,0,1,0,628,1,38,0,0,6,0
12,0,1002,2,0,1,0,-1,541,1,0,0,6,0,0
0,12,1003,0,1,0,1,0,645,1,13,0,0,9,0
12,0,1003,0,1,1,0,1,645,1,0,13,9,0,0
0,12,1004,1,1,0,1,0,455,1,35,0,0,6,0
12,0,1004,1,1,1,0,1,515,1,0,35,6,0,0
0,12,1005,2,1,0,1,1,431,1,0,37,0,6,0
12,0,1005,2,1,1,0,-1,510,1,0,0,6,6,0
0,12,1006,0,2,0,1,1,486,1,0,28,0,5,0
12,0,1006,0,2,1,0,0,486,1,28,0,5,0,0
0,12,1007,1,2,0,1,0,568,1,38,0,0,5,0
12,0,1007,1,2,1,0,1,568,1,0,38,5,0,0
0,12,1008,2,2,0,1,1,608,1,0,60,0,5,0
12,0,1008,2,2,1,0,0,608,1,60,0,5,0,0
0,13,1000,0,0,0,1,1,641,1,0,77,0,11,0
13,0,1000,0,0,1,0,0,641,1,77,0,11,0,0
0,13,1001,1,0,0,1,0,566,1,11,0,0,0,0
13,0,1001,1,0,1,0,0,477,1,67,0,13,0,0
0,13,1002,2,0,0,1,1,608,1,0,3,9,0,0
13,0,1002,2,0,1,0,1,420,1,0,9,0,9,0
0,13,1003,0,1,0,1,1,380,1,0,16,8,0,0
13,0,1003,0,1,1,0,0,380,1,16,0,0,8,0
0,13,1004,1,1,0,1,1,312,1,0,60,5,0,0
13,0,1004,1,1,1,0,0,644,1,44,0,0,28,0
0,13,1005,2,1,0,1,1,766,1,0,1,38,43,0
13,0,1005,2,1,1,0,0,385,1,89,0,20,9,0
0,13,1006,0,2,0,1,1,541,1,0,48,1,20,0
13,0,1006,0,2,1,0,0,541,1,48,0,20,1,0
0,13,1007,1,2,0,1,1,566,1,0,4,1,18,0
13,0,1007,1,2,1,0,0,455,1,77,0,0,0,0
0,13,1008,2,2,0,1,1,692,1,0,20,7,21,0
13,0,1008,2,2,1,0,0,651,1,75,0,10,17,0
0,14,1000,0,0,0,1,0,1210,1,11,0,0,0,0
14,0,1000,0,0,1,0,1,1210,1,0,11,0,0,0
0,14,1001,1,0,0,1,0,884,1,39,0,4,0,0
14,0,1001,1,0,1,0,0,1145,1,3,0,0,0,0
0,14,1002,2,0,0,1,0,706,1,28,0,22,0,0
14,0,1002,2,0,1,0,1,706,1,0,28,0,22,0
0,14,1003,0,1,0,1,0,922,1,21,0,0,0,0
14,0,1003,0,1,1,0,1,922,1,0,21,0,0,0
0,14,1004,1,1,0,1,0,577,1,10,0,0,0,0
14,0,1004,1,1,1,0,1,700,1,0,15,16,0,0
0,14,1005,2,1,0,1,1,968,1,0,33,0,51,0
14,0,1005,2,1,1,0,0,974,1,38,0,0,3,0
0,14,1006,0,2,0,1,0,960,1,45,0,0,0,0
14,0,1006,0,2,1,0,1,960,1,0,45,0,0,0
0,14,1007,1,2,0,1,0,540,1,4,0,0,0,0
14,0,1007,1,2,1,0,1,742,1,0,5,0,0,0
0,14,1008,2,2,0,1,0,793,1,10,0,0,0,0
14,0,1008,2,2,1,0,0,906,1,32,0,0,0,0
0,15,1000,0,0,0,1,0,890,1,50,0,5,11,0
15,0,1000,0,0,1,0,1,890,1,0,50,11,5,0
0,15,1001,1,0,0,1,1,1165,1,0,63,40,15,0
15,0,1001,1,0,1,0,1,557,1,0,54,41,0,0
0,15,1002,2,0,0,1,0,840,1,19,0,35,5,0
15,0,1002,2,0,1,0,0,586,1,38,0,4,0,0
0,15,1003,0,1,0,1,0,608,1,65,0,0,4,0
15,0,1003,0,1,1,0,1,608,1,0,65,4,0,0
0,15,1004,1,1,0,1,0,425,1,54,0,13,0,0
15,0,1004,1,1,1,0,1,688,1,0,54,0,0,0
0,15,1005,2,1,0,1,0,1250,1,3,0,10,7,0
15,0,1005,2,1,1,0,0,984,1,53,0,3,0,0
0,15,1006,0,2,0,1,0,1150,1,28,0,26,14,0
15,0,1006,0,2,1,0,1,1150,1,0,28,14,26,0
0,15,1007,1,2,0,1,0,898,1,62,0,0,9,0
15,0,1007,1,2,1,0,1,614,1,0,70,4,0,0
0,15,1008,2,2,0,1,0,1071,1,43,0,13,0,0
15,0,1008,2,2,1,0,1,823,1,0,31,4,20,0
0,16,1000,0,0,0,1,0,1043,1,35,0,29,14,0
16,0,1000,0,0,1,0,1,1043,1,0,35,14,29,0
0,16,1001,1,0,0,1,0,578,1,81,0,6,0,0
16,0,1001,1,0,1,0,1,578,1,0,72,0,6,0
0,16,1002,2,0,0,1,0,765,1,49,0,7,0,0
16,0,1002,2,0,1,0,1,765,1,0,49,0,7,0
0,16,1003,0,1,0,1,1,1053,1,0,25,48,36,0
16,0,1003,0,1,1,0,0,1053,1,25,0,36,48,0
0,16,1004,1,1,0,1,0,840,1,58,0,32,59,0
16,0,1004,1,1,1,0,1,1140,1,0,26,79,80,0
0,16,1005,2,1,0,1,1,811,1,0,22,4,1,0
16,0,1005,2,1,1,0,1,1155,1,0,4,0,57,0
0,16,1006,0,2,0,1,1,1268,1,0,37,21,28,0
16,0,1006,0,2,1,0,0,1268,1,37,0,28,21,0
0,16,1007,1,2,0,1,1,1202,1,0,24,6,0,0
16,0,1007,1,2,1,0,0,901,1,71,0,0,32,0
0,16,1008,2,2,0,1,0,1341,1,21,0,22,1,0
16,0,1008,2,2,1,0,0,1044,1,75,0,2,47,0
0,17,1000,0,0,0,1,1,181,1,0,68,0,0,0
17,0,1000,0,0,1,0,0,181,1,68,0,0,0,0
0,17,1001,1,0,0,1,1,357,1,0,30,0,0,0
17,0,1001,1,0,1,0,0,513,1,52,0,40,0,0
0,17,1002,2,0,0,1,0,437,1,20,0,0,0,0
17,0,1002,2,0,1,0,1,418,1,0,55,20,0,0
0,17,1003,0,1,0,1,0,405,1,19,0,0,0,0
17,0,1003,0,1,1,0,1,405,1,0,19,0,0,0
0,17,1004,1,1,0,1,1,507,1,0,3,0,8,0
17,0,1004,1,1,1,0,0,484,1,66,0,0,0,0
0,17,1005,2,1,0,1,1,417,1,0,2,0,16,0
17,0,1005,2,1,1,0,0,372,1,50,0,0,0,0
0,17,1006,0,2,0,1,1,412,1,0,11,0,0,0
17,0,1006,0,2,1,0,0,412,1,11,0,0,0,0
0,17,1007,1,2,0,1,1,508,1,0,14,0,0,0
17,0,1007,1,2,1,0,0,439,1,78,0,0,0,0
0,17,1008,2,2,0,1,1,382,1,0,43,0,0,0
17,0,1008,2,2,1,0,1,570,1,0,20,0,0,0
0,18,1000,0,0,0,1,0,1201,1,12,0,6,3,0
18,0,1000,0,0,1,0,1,1201,1,0,12,3,6,0
0,18,1001,1,0,0,1,1,871,1,0,8,4,13,0
18,0,1001,1,0,1,0,0,1508,1,4,0,26,0,0
0,18,1002,2,0,0,1,0,631,1,72,0,13,14,0
18,0,1002,2,0,1,0,1,851,1,0,38,11,0,0
0,18,1003,0,1,0,1,0,884,1,10,0,2,31,0
18,0,1003,0,1,1,0,1,884,1,0,10,31,2,0
0,18,1004,1,1,0,1,0,1070,1,28,0,33,41,0
18,0,1004,1,1,1,0,0,751,1,43,0,26,1,0
0,18,1005,2,1,0,1,0,784,1,64,0,26,29,0
18,0,1005,2,1,1,0,1,862,1,0,2,34,28,0
0,18,1006,0,2,0,1,0,1148,1,5,0,0,14,0
18,0,1006,0,2,1,0,1,1148,1,0,5,14,0,0
0,18,1007,1,2,0,1,-1,1201,1,0,0,6,27,0
18,0,1007,1,2,1,0,1,1346,1,0,35,8,7,0
0,18,1008,2,2,0,1,0,616,1,87,0,32,33,0
18,0,1008,2,2,1,0,0,1015,1,13,0,31,26,0
0,19,1000,0,0,0,1,1,1332,1,0,21,0,30,0
19,0,1000,0,0,1,0,0,1332,1,21,0,30,0,0
0,19,1001,1,0,0,1,1,1261,1,0,33,3,8,0
19,0,1001,1,0,1,0,1,1290,1,0,32,28,28,0
0,19,1002,2,0,0,1,0,769,1,20,0,146,108,0
19,0,1002,2,0,1,0,1,1216,1,0,6,81,25,0
0,19,1003,0,1,0,1,1,808,1,0,57,13,4,0
19,0,1003,0,1,1,0,0,808,1,57,0,4,13,0
0,19,1004,1,1,0,1,1,1192,1,0,1,43,19,0
19,0,1004,1,1,1,0,0,1027,1,74,0,119,94,0
0,19,1005,2,1,0,1,0,739,1,77,0,15,30,0
19,0,1005,2,1,1,0,1,996,1,0,82,57,3,0
0,19,1006,0,2,0,1,0,1014,1,53,0,43,27,0
19,0,1006,0,2,1,0,1,1014,1,0,53,27,43,0
0,19,1007,1,2,0,1,1,1158,1,0,58,12,46,0
19,0,1007,1,2,1,0,1,1051,1,0,13,25,77,0
0,19,1008,2,2,0,1,0,954,1,30,0,26,30,0
19,0,1008,2,2,1,0,1,1020,1,0,46,145,89,0
0,20,1000,0,0,0,1,1,912,1,0,14,0,1,0
20,0,1000,0,0,1,0,0,912,1,14,0,1,0,0
0,20,1001,1,0,0,1,1,1177,1,0,7,0,14,0
20,0,1001,1,0,1,0,0,641,1,52,0,39,0,0
0,20,1002,2,0,0,1,1,929,1,0,40,63,36,0
20,0,1002,2,0,1,0,0,905,1,26,0,2,0,0
0,20,1003,0,1,0,1,1,927,1,0,57,0,12,0
20,0,1003,0,1,1,0,0,927,1,57,0,12,0,0
0,20,1004,1,1,0,1,1,794,1,0,54,7,7,0
20,0,1004,1,1,1,0,0,760,1,63,0,62,53,0
0,20,1005,2,1,0,1,1,673,1,0,56,0,0,0
20,0,1005,2,1,1,0,0,706,1,37,0,45,0,0
0,20,1006,0,2,0,1,1,1051,1,0,24,40,55,0
20,0,1006,0,2,1,0,0,1051,1,24,0,55,40,0
0,20,1007,1,2,0,1,1,766,1,0,61,54,63,0
20,0,1007,1,2,1,0,0,726,1,92,0,130,87,0
0,20,1008,2,2,0,1,1,890,1,0,45,87,104,0
20,0,1008,2,2,1,0,0,698,1,72,0,94,36,0
0,21,1000,0,0,0,1,0,469,1,113,0,0,1,0
21,0,1000,0,0,1,0,1,469,1,0,113,1,0,0
0,21,1001,1,0,0,1,0,510,1,98,0,0,2,0
21,0,1001,1,0,1,0,1,510,1,0,68,2,0,0
0,21,1002,2,0,0,1,0,530,1,40,0,16,10,0
21,0,1002,2,0,1,0,1,810,1,0,47,3,11,0
0,21,1003,0,1,0,1,0,571,1,83,0,0,4,0
21,0,1003,0,1,1,0,1,571,1,0,83,4,0,0
0,21,1004,1,1,0,1,0,556,1,80,0,0,3,0
21,0,1004,1,1,1,0,1,540,1,0,50,3,0,0
0,21,1005,2,1,0,1,0,712,1,34,0,17,4,0
21,0,1005,2,1,1,0,1,732,1,0,55,4,17,0
0,21,1006,0,2,0,1,0,508,1,80,0,0,0,0
21,0,1006,0,2,1,0,1,508,1,0,80,0,0,0
0,21,1007,1,2,0,1,0,496,1,67,0,0,0,0
21,0,1007,1,2,1,0,1,496,1,0,52,0,0,0
0,21,1008,2,2,0,1,0,703,1,65,0,0,0,0
21,0,1008,2,2,1,0,1,649,1,0,35,0,0,0
0,22,1000,0,0,0,1,0,587,1,39,0,0,11,0
22,0,1000,0,0,1,0,1,587,1,0,39,11,0,0
0,22,1001,1,0,0,1,0,657,1,87,0,0,0,0
22,0,1001,1,0,1,0,1,617,1,0,52,10,0,0
0,22,1002,2,0,0,1,0,1097,1,100,0,0,52,0
22,0,1002,2,0,1,0,1,927,1,0,65,0,0,0
0,22,1003,0,1,0,1,0,450,1,56,0,0,1,0
22,0,1003,0,1,1,0,1,450,1,0,56,1,0,0
0,22,1004,1,1,0,1,0,510,1,32,0,0,15,0
22,0,1004,1,1,1,0,1,466,1,0,8,15,0,0
0,22,1005,2,1,0,1,0,796,1,63,0,0,0,0
22,0,1005,2,1,1,0,1,690,1,0,15,0,0,0
0,22,1006,0,2,0,1,0,660,1,39,0,0,3,0
22,0,1006,0,2,1,0,1,660,1,0,39,3,0,0
0,22,1007,1,2,0,1,0,675,1,87,0,16,1,0
22,0,1007,1,2,1,0,1,522,1,0,76,3,0,0
0,22,1008,2,2,0,1,0,769,1,100,0,21,3,0
22,0,1008,2,2,1,0,1,770,1,0,52,3,0,0
0,23,1000,0,0,0,1,0,337,1,85,0,0,0,0
23,0,1000,0,0,1,0,1,337,1,0,85,0,0,0
0,23,1001,1,0,0,1,0,337,1,71,0,0,0,0
23,0,1001,1,0,1,0,1,598,1,0,4,0,15,0
0,23,1002,2,0,0,1,0,535,1,28,0,0,0,0
23,0,1002,2,0,1,0,1,488,1,0,26,19,0,0
0,23,1003,0,1,0,1,1,681,1,0,14,4,3,0
23,0,1003,0,1,1,0,0,681,1,14,0,3,4,0
0,23,1004,1,1,0,1,1,438,1,0,38,0,0,0
23,0,1004,1,1,1,0,1,558,1,0,9,0,0,0
0,23,1005,2,1,0,1,1,529,1,0,60,0,0,0
23,0,1005,2,1,1,0,0,579,1,20,0,0,0,0
0,23,1006,0,2,0,1,0,619,1,9,0,0,0,0
23,0,1006,0,2,1,0,1,619,1,0,9,0,0,0
0,23,1007,1,2,0,1,0,379,1,61,0,0,5,0
