case,species,opponent,arena,weather,seed,seat,style,score,ticks,reason,own_hp,enemy_hp,casts,energy_spent,overflow,personality,decisions,distance,objective_distance,mean_energy,stationary_fraction,retreat_fraction,low_hp_decisions,low_hp_retreats,casts_1,casts_2,casts_3,casts_4,casts_5,damage,damage_taken,healed,shielded,control,model_checksum,opponent_checksum
0,0,17,0,0,2150000000,0,0,0,370,1,0,53,10,1410,0,STEADY,124,3.12776,2.48049,0.392218,0.0483871,0.41129,33,8,7,1,0,0,2,59,113,0,0,0,bac8138c,0
0,0,17,0,0,2150000000,1,0,1,580,1,47,0,12,1680,0,STEADY,194,2.3109,4.89785,0.360304,0.0360825,0.0618557,0,0,9,0,0,0,3,108,66,0,0,7,bac8138c,0
1,1,18,1,0,2150000001,0,1,0,997,1,0,35,19,2886,0,STEADY,333,2.98018,1.47138,0.223162,0.261261,0.282282,128,39,9,7,0,1,2,94,136,0,36,71,bac8138c,0
1,1,18,1,0,2150000001,1,1,1,1384,1,62,0,22,3865,0,STEADY,462,2.19263,9.69392,0.45539,0.54329,0.0692641,0,0,5,7,0,5,5,129,74,0,128,52,bac8138c,0
2,2,19,2,0,2150000002,0,2,1,1042,1,49,0,17,3329,0,STEADY,348,3.4719,1.78709,0.169408,0.445402,0.201149,0,0,3,11,1,0,2,132,45,0,0,101,bac8138c,0
2,2,19,2,0,2150000002,1,2,1,916,1,17,0,15,2952,0,STEADY,306,3.49364,2.00391,0.188183,0.359477,0.215686,41,23,2,9,1,0,3,132,77,0,0,124,bac8138c,0
3,3,20,3,0,2150000003,0,3,1,1798,1,74,0,30,5310,0,STEADY,600,1.60911,2.07879,0.25952,0.183333,0.1,0,0,25,1,1,0,3,102,32,0,0,2,bac8138c,0
3,3,20,3,0,2150000003,1,3,1,1749,1,47,0,30,5260,0,STEADY,583,1.53723,2.31193,0.209214,0.202401,0.0754717,0,0,26,1,0,0,3,102,59,0,0,22,bac8138c,0
4,4,21,4,0,2150000004,0,0,0,2152,1,0,86,39,6500,0,STEADY,718,3.78397,3.99323,0.567932,0.281337,0.256267,86,0,8,24,0,0,7,38,123,0,0,78,bac8138c,0
4,4,21,4,0,2150000004,1,0,0,1578,1,0,82,30,5101,0,STEADY,526,3.68139,3.48876,0.388403,0.456274,0.311787,60,26,3,22,0,0,5,42,123,0,0,120,bac8138c,0
5,5,22,5,0,2150000005,0,1,1,823,1,102,0,13,2084,0,STEADY,275,3.25946,4.38918,0.333109,0.210909,0,0,0,9,1,0,2,1,175,39,0,0,29,bac8138c,0
5,5,22,5,0,2150000005,1,1,1,1825,1,84,0,22,3877,0,STEADY,609,2.08287,4.55677,0.247371,0.142857,0.0804598,0,0,12,2,0,6,2,175,57,0,12,11,bac8138c,0
6,6,23,0,0,2150000006,0,2,1,678,1,64,0,14,2510,0,STEADY,226,2.20088,7.14352,0.215558,0.287611,0.0663717,0,0,11,1,0,0,2,111,67,0,0,43,bac8138c,0
6,6,23,0,0,2150000006,1,2,1,717,1,76,0,14,2477,0,STEADY,239,2.41676,6.12931,0.230544,0.0125523,0.0669456,0,0,11,0,0,0,3,111,55,0,0,34,bac8138c,0
7,7,24,1,0,2150000007,0,3,1,412,1,32,0,11,1550,0,STEADY,138,2.46038,2.5072,0.369065,0.0797101,0.0434783,65,2,7,3,0,0,1,125,68,0,0,1,bac8138c,0
7,7,24,1,0,2150000007,1,3,1,430,1,70,0,11,1550,0,STEADY,144,2.5342,2.28138,0.398306,0.0972222,0.00694444,0,0,7,3,0,0,1,125,30,0,0,0,bac8138c,0
8,8,25,2,0,2150000008,0,0,1,358,1,70,0,8,1060,0,STEADY,120,3.2563,1.71825,0.846833,0.158333,0.15,0,0,2,0,6,0,0,104,46,0,0,68,bac8138c,0
8,8,25,2,0,2150000008,1,0,1,319,1,81,0,8,1140,0,STEADY,107,3.2722,2.23625,0.781664,0.0934579,0.0654206,0,0,2,0,5,0,1,104,35,0,0,0,bac8138c,0
9,9,26,3,0,2150000009,0,1,1,499,1,101,0,11,1680,0,STEADY,167,2.72063,1.8666,0.390162,0.0299401,0.0658683,0,0,2,8,0,1,0,108,48,0,0,89,bac8138c,0
9,9,26,3,0,2150000009,1,1,1,1481,1,49,0,18,3057,0,STEADY,494,2.73023,6.54417,0.598605,0.0121457,0.0364372,102,13,7,11,0,0,0,108,100,0,0,66,bac8138c,0
10,10,27,4,0,2150000010,0,2,1,1614,1,92,0,26,4534,0,STEADY,538,1.85936,1.62954,0.194266,0.00743494,0.1171,0,0,23,0,0,0,3,145,32,0,0,170,bac8138c,0
10,10,27,4,0,2150000010,1,2,1,1560,1,75,0,27,4643,0,STEADY,520,1.81958,1.9643,0.244317,0.0461538,0.165385,0,0,25,1,0,0,1,145,49,0,0,187,bac8138c,0
11,11,28,5,0,2150000011,0,3,0,651,1,0,59,10,1598,0,STEADY,217,2.47758,3.60462,0.340088,0.0506912,0.0460829,52,1,7,1,0,1,1,52,117,0,5,0,bac8138c,0
11,11,28,5,0,2150000011,1,3,1,574,1,81,0,12,1755,0,STEADY,192,2.55474,3.88781,0.397672,0.0677083,0.015625,0,0,9,1,0,2,0,103,42,6,10,0,bac8138c,0
12,12,29,0,0,2150000012,0,0,1,859,1,61,0,10,1569,0,STEADY,287,3.22248,6.36003,0.770338,0.0243902,0.289199,0,0,7,0,0,1,2,102,50,0,0,8,bac8138c,0
12,12,29,0,0,2150000012,1,0,1,1933,1,46,0,22,2930,0,STEADY,645,2.71236,7.00875,0.905771,0.113178,0.0713178,0,0,20,0,0,1,1,102,65,0,0,36,bac8138c,0
13,13,30,1,0,2150000013,0,1,0,779,1,0,125,14,2500,0,STEADY,260,4.09796,2.46123,0.287296,0.323077,0.442308,68,35,10,0,0,0,4,0,104,0,0,109,bac8138c,0
13,13,30,1,0,2150000013,1,1,0,1179,1,0,91,21,3681,0,STEADY,393,3.44425,1.98276,0.188575,0.384224,0.277354,103,52,18,0,0,0,3,34,104,0,0,69,bac8138c,0
14,14,31,2,0,2150000014,0,2,1,531,1,94,0,11,1429,0,STEADY,177,2.22404,4.76608,0.655819,0,0.00564972,0,0,4,6,0,0,1,137,19,0,0,0,bac8138c,0
14,14,31,2,0,2150000014,1,2,1,447,1,37,0,10,1280,0,STEADY,149,2.35695,2.80873,0.611342,0,0.0402685,41,2,3,6,0,0,1,137,76,0,0,0,bac8138c,0
15,15,32,3,0,2150000015,0,3,0,1381,1,0,109,23,4234,0,STEADY,461,3.12417,1.91996,0.237104,0.509761,0.173536,103,24,0,13,0,4,6,12,118,0,36,48,bac8138c,0
15,15,32,3,0,2150000015,1,3,0,1252,1,0,109,22,3942,0,STEADY,418,3.16821,2.03969,0.296273,0.602871,0.0837321,160,22,1,13,0,2,6,12,118,0,25,10,bac8138c,0
16,16,33,4,0,2150000016,0,0,1,1209,1,90,0,20,3566,0,STEADY,403,1.78057,7.73644,0.202888,0.0198511,0.0372208,0,0,16,1,0,0,3,152,25,0,0,0,bac8138c,0
16,16,33,4,0,2150000016,1,0,1,972,1,90,0,17,3080,0,STEADY,324,1.6027,4.66091,0.259552,0.0277778,0.0154321,0,0,12,1,0,0,4,152,25,0,0,0,bac8138c,0
17,17,34,5,0,2150000017,0,1,0,676,1,0,31,7,1212,0,STEADY,226,5.95117,4.35639,0.868522,0.278761,0.119469,45,3,3,2,0,2,0,109,102,6,0,62,bac8138c,0
17,17,34,5,0,2150000017,1,1,1,536,1,41,0,9,1447,0,STEADY,179,3.62779,4.20363,0.72162,0.318436,0.0502793,24,8,4,1,0,4,0,140,72,15,0,0,bac8138c,0
18,18,35,0,0,2150000018,0,2,1,1466,1,13,0,25,3536,0,STEADY,489,3.24079,10.435,0.569374,0.126789,0.0858896,112,8,21,0,0,1,3,101,116,0,18,0,bac8138c,0
18,18,35,0,0,2150000018,1,2,0,2479,1,0,59,39,5561,0,STEADY,827,3.21436,7.13882,0.456696,0.0519952,0.175333,138,59,32,0,0,1,6,42,129,0,15,55,bac8138c,0
19,19,36,1,0,2150000019,0,3,0,935,1,0,93,17,3040,0,STEADY,312,3.60112,2.33257,0.217276,0.487179,0.25,167,53,12,0,0,3,2,0,132,0,66,49,bac8138c,0
19,19,36,1,0,2150000019,1,3,0,763,1,0,78,15,2640,0,STEADY,255,3.78135,2.71355,0.193263,0.482353,0.215686,104,34,12,0,0,1,2,15,132,0,22,0,bac8138c,0
20,20,37,2,0,2150000020,0,0,0,2399,1,0,11,39,7252,0,STEADY,800,3.6884,2.91725,0.451046,0.345,0.43875,139,54,24,1,0,8,6,139,102,0,12,176,bac8138c,0
20,20,37,2,0,2150000020,1,0,0,1839,1,0,45,29,5283,0,STEADY,613,3.56262,2.80357,0.509496,0.337684,0.309951,39,5,19,0,0,6,4,105,102,0,19,292,bac8138c,0
21,21,38,3,0,2150000021,0,1,1,463,1,124,0,10,1500,0,STEADY,155,3.2857,5.35698,0.571361,0.0129032,0.0193548,0,0,6,4,0,0,0,104,0,0,0,32,bac8138c,0
21,21,38,3,0,2150000021,1,1,1,415,1,96,0,10,1400,0,STEADY,139,3.08028,5.91219,0.521568,0,0.0143885,0,0,4,6,0,0,0,104,28,0,0,25,bac8138c,0
22,22,39,4,0,2150000022,0,2,1,799,1,145,0,13,2830,0,STEADY,267,2.5484,7.94946,0.378903,0.179775,0.123596,0,0,7,1,3,0,2,114,30,0,39,0,bac8138c,0
22,22,39,4,0,2150000022,1,2,1,1126,1,160,0,15,3760,0,STEADY,376,2.77501,8.60722,0.369255,0.24734,0.0265957,0,0,2,8,3,0,2,114,15,0,24,9,bac8138c,0
23,23,0,5,0,2150000023,0,3,1,352,1,17,0,9,1230,0,STEADY,118,2.92946,3.51092,0.57222,0.110169,0.0423729,37,3,6,3,0,0,0,113,106,18,0,0,bac8138c,0
