case,species,opponent,arena,weather,seed,seat,style,score,ticks,reason,own_hp,enemy_hp,casts,energy_spent,overflow,personality,decisions,distance,objective_distance,mean_energy,stationary_fraction,retreat_fraction,low_hp_decisions,low_hp_retreats,casts_1,casts_2,casts_3,casts_4,casts_5,damage,damage_taken,healed,shielded,control,model_checksum,opponent_checksum
0,0,17,0,0,2150000000,0,0,0,496,1,0,55,10,1752,0,STEADY,166,3.82645,2.95001,0.350428,0.246988,0.216867,62,14,2,6,0,1,1,53,113,0,0,33,e617ab48,0
0,0,17,0,0,2150000000,1,0,0,535,1,0,23,10,1658,0,STEADY,179,3.03295,3.05716,0.24186,0.0670391,0.385475,45,10,5,3,1,0,1,87,113,0,0,19,e617ab48,0
1,1,18,1,0,2150000001,0,1,0,1239,1,0,71,19,3136,0,STEADY,413,3.1852,4.22792,0.248182,0.326877,0.0411622,297,17,8,7,0,1,3,58,136,0,32,49,e617ab48,0
1,1,18,1,0,2150000001,1,1,0,992,1,0,39,20,2820,0,STEADY,331,3.08814,1.23164,0.162927,0.302115,0.172205,109,32,15,2,1,1,1,90,150,14,40,75,e617ab48,0
2,2,19,2,0,2150000002,0,2,0,269,1,0,30,6,1232,0,STEADY,90,8.11008,5.5397,0.408267,0.533333,0,23,0,3,3,0,0,0,102,94,0,0,0,e617ab48,0
2,2,19,2,0,2150000002,1,2,0,272,1,0,38,5,1101,0,STEADY,91,8.05434,5.53277,0.413473,0.472527,0,24,0,3,2,0,0,0,94,94,0,0,0,e617ab48,0
3,3,20,3,0,2150000003,0,3,0,1492,1,0,46,19,3603,0,STEADY,498,2.36881,2.12439,0.182016,0.186747,0.0281124,399,14,16,1,0,1,1,44,106,0,15,2,e617ab48,0
3,3,20,3,0,2150000003,1,3,0,1501,1,0,24,21,3903,0,STEADY,501,2.13514,2.39153,0.143533,0.165669,0.127745,384,61,19,1,0,1,0,66,106,0,15,84,e617ab48,0
4,4,21,4,0,2150000004,0,0,0,1186,1,0,73,16,2894,0,STEADY,396,3.55485,2.92335,0.159475,0.186869,0.030303,82,12,3,10,0,0,3,51,123,0,0,142,e617ab48,0
4,4,21,4,0,2150000004,1,0,0,1672,1,0,104,23,4057,0,STEADY,558,3.49119,3.51929,0.161199,0.229391,0.0232975,48,0,6,14,0,1,2,20,123,0,0,124,e617ab48,0
5,5,22,5,0,2150000005,0,1,0,2089,1,0,67,13,2424,0,STEADY,697,2.2972,4.69534,0.145904,0.106169,0.101865,123,37,9,2,0,1,1,108,141,0,0,27,e617ab48,0
5,5,22,5,0,2150000005,1,1,0,2182,1,0,31,21,3603,0,STEADY,728,2.24716,5.18433,0.121207,0.203297,0.130495,243,60,15,2,0,2,2,144,141,0,11,27,e617ab48,0
6,6,23,0,0,2150000006,0,2,0,2700,3,19,57,39,6865,0,STEADY,900,2.95387,4.78004,0.108717,0.0255556,0.283333,58,19,37,0,1,0,1,66,112,0,0,48,e617ab48,0
6,6,23,0,0,2150000006,1,2,0,2200,1,0,45,27,5044,0,STEADY,734,2.84338,4.8759,0.11101,0.00953678,0.183924,96,0,25,1,1,0,0,82,131,0,0,41,e617ab48,0
7,7,24,1,0,2150000007,0,3,1,805,1,41,0,15,2298,0,STEADY,269,1.88396,2.57206,0.155751,0.0408922,0.0483271,0,0,10,3,0,1,1,125,59,0,0,50,e617ab48,0
7,7,24,1,0,2150000007,1,3,1,781,1,72,0,14,2218,0,STEADY,261,2.10637,1.83501,0.151249,0.0651341,0.0574713,0,0,9,3,1,1,0,125,28,0,0,36,e617ab48,0
8,8,25,2,0,2150000008,0,0,1,1369,1,11,0,25,3703,0,STEADY,457,3.22609,3.03185,0.173188,0.142232,0.328228,254,110,10,0,14,1,0,104,105,0,0,336,e617ab48,0
8,8,25,2,0,2150000008,1,0,0,720,1,0,59,15,2310,0,STEADY,240,3.55124,2.59669,0.214342,0.2125,0.4125,109,60,4,1,8,1,1,45,116,0,10,165,e617ab48,0
9,9,26,3,0,2150000009,0,1,1,1132,1,23,0,20,3016,0,STEADY,378,2.88215,2.90658,0.163484,0.031746,0.0634921,53,6,2,15,1,0,2,108,130,4,0,80,e617ab48,0
9,9,26,3,0,2150000009,1,1,0,1255,1,0,16,24,3398,0,STEADY,419,2.89848,1.93169,0.133508,0.0501193,0.169451,137,34,2,20,0,1,1,92,149,0,0,83,e617ab48,0
10,10,27,4,0,2150000010,0,2,1,1123,1,58,0,19,3399,0,STEADY,375,3.54321,1.90288,0.152451,0.0613333,0.389333,0,0,16,2,1,0,0,145,66,0,0,164,e617ab48,0
10,10,27,4,0,2150000010,1,2,1,2211,1,27,0,31,5736,0,STEADY,737,2.73221,5.2388,0.113254,0.0325645,0.156038,614,76,28,2,1,0,0,145,97,0,0,60,e617ab48,0
11,11,28,5,0,2150000011,0,3,1,1147,1,82,0,19,2874,0,STEADY,383,2.80349,3.95396,0.220034,0.0522193,0.0861619,0,0,14,2,0,1,2,111,35,0,10,0,e617ab48,0
11,11,28,5,0,2150000011,1,3,1,571,1,50,0,12,1995,0,STEADY,191,3.47127,4.1357,0.302649,0.120419,0.0471204,0,0,7,2,1,1,1,103,67,0,10,0,e617ab48,0
12,12,29,0,0,2150000012,0,0,1,1360,1,72,0,23,3604,0,STEADY,454,2.68345,2.48445,0.162198,0.132159,0.286344,0,0,16,1,3,2,1,102,39,0,0,176,e617ab48,0
12,12,29,0,0,2150000012,1,0,1,1189,1,52,0,16,2987,0,STEADY,397,2.81675,4.98267,0.211343,0.219144,0.18136,0,0,7,2,5,1,1,102,59,0,0,45,e617ab48,0
13,13,30,1,0,2150000013,0,1,0,431,1,0,33,9,1677,0,STEADY,144,5.06808,3.12064,0.358951,0.333333,0.0902778,89,13,6,0,1,0,2,92,104,0,0,46,e617ab48,0
13,13,30,1,0,2150000013,1,1,0,1050,1,0,40,15,2775,0,STEADY,350,3.70037,2.96533,0.169729,0.231429,0.0628571,162,22,12,1,1,0,1,85,104,0,0,129,e617ab48,0
14,14,31,2,0,2150000014,0,2,1,612,1,94,0,12,1799,0,STEADY,204,2.46586,9.1761,0.255387,0.0588235,0.0686275,0,0,2,7,1,1,1,141,19,0,0,7,e617ab48,0
14,14,31,2,0,2150000014,1,2,1,1092,1,94,0,12,2031,0,STEADY,364,1.63246,7.43676,0.216321,0.0247253,0.00824176,0,0,1,7,1,1,2,141,19,0,9,9,e617ab48,0
15,15,32,3,0,2150000015,0,3,0,574,1,0,121,11,1844,0,STEADY,192,5.46274,4.3568,0.330693,0.463542,0.109375,31,0,3,4,0,2,2,0,118,0,24,0,e617ab48,0
15,15,32,3,0,2150000015,1,3,0,746,1,0,121,14,2466,0,STEADY,249,4.76126,2.31407,0.293265,0.53012,0.0361446,58,7,0,12,0,2,0,0,118,0,45,146,e617ab48,0
16,16,33,4,0,2150000016,0,0,1,1146,1,84,0,17,3261,0,STEADY,382,2.70337,6.46213,0.152291,0.0575916,0.274869,0,0,14,2,1,0,0,152,31,0,0,42,e617ab48,0
16,16,33,4,0,2150000016,1,0,1,991,1,90,0,16,2988,0,STEADY,331,2.34115,6.31387,0.1629,0.0725076,0.10574,0,0,13,2,1,0,0,152,25,0,0,0,e617ab48,0
17,17,34,5,0,2150000017,0,1,0,694,1,0,55,8,1446,0,STEADY,232,7.05838,5.02708,0.688065,0.125,0.478448,36,11,2,1,1,2,2,85,107,6,0,43,e617ab48,0
17,17,34,5,0,2150000017,1,1,1,451,1,1,0,9,1611,0,STEADY,151,3.88965,3.14939,0.50647,0.377483,0.0331126,33,2,3,2,0,3,1,140,104,9,0,0,e617ab48,0
18,18,35,0,0,2150000018,0,2,0,2700,3,31,20,36,5217,0,STEADY,900,3.59647,3.39617,0.112857,0.06,0.254444,128,62,32,3,0,0,1,90,98,0,0,160,e617ab48,0
18,18,35,0,0,2150000018,1,2,0,1996,1,0,58,24,3801,0,STEADY,666,3.90814,2.83315,0.138182,0.0555556,0.223724,231,69,19,3,0,0,2,52,129,0,0,216,e617ab48,0
19,19,36,1,0,2150000019,0,3,1,855,1,18,0,15,2683,0,STEADY,285,3.869,2.36226,0.203407,0.315789,0.329825,117,63,12,1,0,1,1,93,114,0,22,21,e617ab48,0
19,19,36,1,0,2150000019,1,3,0,839,1,0,33,16,2810,0,STEADY,280,4.4198,2.74748,0.187586,0.442857,0.242857,104,26,13,0,0,1,2,60,132,0,22,0,e617ab48,0
20,20,37,2,0,2150000020,0,0,0,1519,1,0,71,24,4309,0,STEADY,507,4.13242,2.34205,0.121491,0.362919,0.416174,104,44,21,1,0,1,1,79,102,0,13,312,e617ab48,0
20,20,37,2,0,2150000020,1,0,0,1347,1,0,75,19,3714,0,STEADY,449,4.09129,2.59328,0.1698,0.320713,0.507795,149,75,13,2,0,2,2,75,102,0,0,213,e617ab48,0
21,21,38,3,0,2150000021,0,1,1,985,1,124,0,13,2179,0,STEADY,329,3.53351,7.45619,0.225003,0,0.0668693,0,0,8,4,0,0,1,104,0,0,0,0,e617ab48,0
21,21,38,3,0,2150000021,1,1,1,806,1,87,0,13,2150,0,STEADY,269,3.6255,8.1515,0.223963,0.0260223,0.0855019,0,0,8,4,1,0,0,104,37,0,0,10,e617ab48,0
22,22,39,4,0,2150000022,0,2,1,1321,1,112,0,21,4710,0,STEADY,441,2.50163,1.43026,0.166372,0.208617,0.217687,0,0,10,3,6,1,1,114,63,0,33,99,e617ab48,0
22,22,39,4,0,2150000022,1,2,1,1597,1,82,0,24,5372,0,STEADY,533,2.2021,1.95095,0.155026,0.0938086,0.212008,0,0,10,4,7,0,3,114,93,0,33,120,e617ab48,0
23,23,0,5,0,2150000023,0,3,0,616,1,0,37,12,1900,0,STEADY,206,3.2129,2.33041,0.323636,0.165049,0.126214,37,13,5,5,1,0,1,76,117,12,0,133,e617ab48,0
23,23,0,5,0,2150000023,1,3,0,424,1,0,37,10,1574,0,STEADY,142,3.33108,3.00807,0.37307,0.126761,0.0633803,59,4,5,3,1,1,0,76,117,12,0,38,e617ab48,0
24,24,1,0,0,2150000024,0,0,0,1264,1,0,56,19,2947,0,STEADY,422,3.14972,2.98761,0.171448,0.258294,0.388626,35,12,14,2,1,1,1,80,125,0,20,344,e617ab48,0
24,24,1,0,0,2150000024,1,0,0,856,1,0,50,17,2751,0,STEADY,286,3.28369,1.99461,0.242392,0.482517,0.300699,112,53,11,4,1,1,0,86,125,0,17,99,e617ab48,0
25,25,2,1,0,2150000025,0,1,0,231,1,0,33,5,930,0,STEADY,77,5.12168,2.29233,0.678506,0.207792,0.0779221,16,6,0,3,1,1,0,61,104,0,24,115,e617ab48,0
25,25,2,1,0,2150000025,1,1,0,1034,1,0,66,20,3171,0,STEADY,345,3.23374,1.61071,0.190142,0.350725,0.284058,245,85,6,12,1,0,1,28,104,0,24,109,e617ab48,0
26,26,3,2,0,2150000026,0,2,1,965,1,67,0,15,2397,0,STEADY,322,2.69018,5.69433,0.431612,0.121118,0.13354,0,0,5,7,0,0,3,106,41,0,0,35,e617ab48,0
26,26,3,2,0,2150000026,1,2,1,838,1,97,0,15,2384,0,STEADY,280,2.75529,5.51393,0.408443,0.128571,0.0571429,0,0,6,6,0,0,3,106,11,0,0,52,e617ab48,0
27,27,4,3,0,2150000027,0,3,0,870,1,0,55,17,2990,0,STEADY,290,4.68292,2.28039,0.234107,0.472414,0.227586,104,45,15,1,0,0,1,68,145,0,0,54,e617ab48,0
27,27,4,3,0,2150000027,1,3,0,1192,1,0,34,20,3610,0,STEADY,398,3.76455,1.9312,0.197832,0.409548,0.110553,132,20,18,1,0,0,1,102,145,0,0,134,e617ab48,0
28,28,5,4,0,2150000028,0,0,1,639,1,35,0,13,2450,0,STEADY,213,3.46194,1.83125,0.262244,0.577465,0.206573,13,0,3,9,0,0,1,141,76,0,0,154,e617ab48,0
28,28,5,4,0,2150000028,1,0,1,536,1,54,0,11,2080,0,STEADY,179,4.07666,3.24139,0.272128,0.446927,0.212291,0,0,2,7,0,0,2,141,57,0,0,20,e617ab48,0
29,29,6,5,0,2150000029,0,1,0,2187,1,0,73,30,5707,0,STEADY,729,3.80162,4.76377,0.157964,0.290809,0.037037,90,8,9,10,6,0,5,58,102,0,51,111,e617ab48,0
29,29,6,5,0,2150000029,1,1,0,1206,1,0,68,21,3866,0,STEADY,402,4.10526,2.09678,0.195948,0.378109,0.211443,41,3,7,5,4,1,4,63,102,0,42,261,e617ab48,0
30,30,7,0,0,2150000030,0,2,0,583,1,0,68,16,1922,0,STEADY,195,2.98388,5.23318,0.283292,0.0512821,0.148718,102,11,14,2,0,0,0,32,125,0,0,0,e617ab48,0
30,30,7,0,0,2150000030,1,2,1,570,1,44,0,12,1817,0,STEADY,190,2.96706,2.57079,0.256874,0.0473684,0.252632,57,12,9,3,0,0,0,100,81,0,0,74,e617ab48,0
31,31,8,1,0,2150000031,0,3,0,1756,1,0,100,32,4843,0,STEADY,586,3.29611,3.02405,0.143706,0.399317,0.196246,313,60,18,8,0,1,5,16,132,0,0,11,e617ab48,0
31,31,8,1,0,2150000031,1,3,0,580,1,0,58,13,2060,0,STEADY,194,3.67425,2.11205,0.24551,0.293814,0.283505,84,45,7,3,1,1,1,58,137,5,12,0,e617ab48,0
32,32,9,2,0,2150000032,0,0,0,1699,1,0,53,24,4558,0,STEADY,567,3.43333,7.03662,0.102774,0.0758377,0.539683,55,7,21,1,1,1,0,102,121,0,0,0,e617ab48,0
32,32,9,2,0,2150000032,1,0,1,1035,1,34,0,19,3357,0,STEADY,345,3.0221,5.59341,0.15822,0.0753623,0.298551,8,0,17,0,1,0,1,151,87,0,0,122,e617ab48,0
33,33,10,3,0,2150000033,0,1,0,552,1,0,60,12,2050,0,STEADY,184,4.33881,2.14058,0.34762,0.255435,0.255435,46,13,5,3,4,0,0,64,152,0,0,237,e617ab48,0
33,33,10,3,0,2150000033,1,1,1,610,1,35,0,14,2130,0,STEADY,204,3.09872,1.7642,0.264137,0.142157,0.0980392,77,16,5,1,7,0,1,124,117,0,0,101,e617ab48,0
34,34,11,4,0,2150000034,0,2,1,1170,1,52,0,18,3233,0,STEADY,390,3.3371,5.47455,0.175621,0.241026,0.0128205,292,0,1,15,0,1,1,141,88,0,0,80,e617ab48,0
34,34,11,4,0,2150000034,1,2,1,811,1,37,0,16,2430,0,STEADY,271,3.16299,1.56257,0.213498,0.357934,0.0627306,60,10,8,7,0,0,1,129,103,0,0,235,e617ab48,0
35,35,12,5,0,2150000035,0,3,0,562,1,0,63,13,1970,0,STEADY,188,3.96466,2.01559,0.22475,0.207447,0.18617,47,14,3,7,1,1,1,48,101,0,10,206,e617ab48,0
35,35,12,5,0,2150000035,1,3,0,1279,1,0,15,23,3176,0,STEADY,427,1.9579,2.68,0.115569,0.0796253,0.0725995,253,21,4,17,1,1,0,96,101,0,10,120,e617ab48,0
