case,species,opponent,arena,weather,seed,seat,style,score,ticks,reason,own_hp,enemy_hp,casts,energy_spent,overflow,personality,decisions,distance,objective_distance,mean_energy,stationary_fraction,retreat_fraction,low_hp_decisions,low_hp_retreats,casts_1,casts_2,casts_3,casts_4,casts_5,damage,damage_taken,healed,shielded,control,model_checksum,opponent_checksum
0,0,17,0,0,2160000000,0,0,0,1928,1,0,7,28,4096,0,STEADY,643,2.831,6.18006,0.12335,0.0839813,0.538103,201,103,18,8,0,1,1,121,113,0,0,67,e617ab48,0
0,0,17,0,0,2160000000,1,0,0,493,1,0,68,10,1562,0,STEADY,165,3.26903,3.69375,0.279964,0.0606061,0.527273,37,15,5,3,0,0,2,42,113,0,0,24,e617ab48,0
1,1,18,1,0,2160000001,0,1,0,424,1,0,129,6,1139,0,STEADY,142,3.66614,2.70152,0.316169,0.147887,0.0211268,44,0,2,1,0,1,2,0,136,0,0,81,e617ab48,0
1,1,18,1,0,2160000001,1,1,0,1245,1,0,71,14,2331,0,STEADY,415,2.52323,2.05911,0.129422,0.146988,0.0939759,209,24,8,3,0,1,2,58,136,0,22,132,e617ab48,0
2,2,19,2,0,2160000002,0,2,0,563,1,0,54,9,1779,0,STEADY,188,6.08961,3.01559,0.241277,0.345745,0.271277,105,49,2,6,0,0,1,78,94,0,0,144,e617ab48,0
2,2,19,2,0,2160000002,1,2,0.5,669,1,0,0,11,2090,0,STEADY,223,5.40625,2.99098,0.201843,0.32287,0.156951,48,13,2,8,0,0,1,132,94,0,0,204,e617ab48,0
3,3,20,3,0,2160000003,0,3,1,2305,1,44,0,36,6335,0,STEADY,769,1.9779,1.63961,0.125429,0.223667,0.120936,0,0,34,1,0,1,0,102,62,0,15,215,e617ab48,0
3,3,20,3,0,2160000003,1,3,0,991,1,0,38,15,2742,0,STEADY,331,2.57994,2.05378,0.19145,0.208459,0.0694864,60,2,13,1,0,1,0,44,106,0,0,95,e617ab48,0
4,4,21,4,0,2160000004,0,0,0,565,1,0,42,11,1695,0,STEADY,189,3.07491,1.5894,0.244307,0.343915,0.042328,43,0,5,5,0,0,1,82,123,0,0,132,e617ab48,0
4,4,21,4,0,2160000004,1,0,0,796,1,0,119,11,2102,0,STEADY,266,3.77427,5.63478,0.192936,0.184211,0.109023,55,18,2,6,1,0,2,5,123,0,0,0,e617ab48,0
5,5,22,5,0,2160000005,0,1,0,2491,1,0,175,14,2800,0,STEADY,831,14.2792,12.1101,0.946844,0.683514,0.275572,90,0,0,0,0,14,0,0,141,0,0,0,e617ab48,0
5,5,22,5,0,2160000005,1,1,1,2149,1,83,0,24,4072,0,STEADY,717,2.45453,6.57118,0.13531,0.160391,0.145049,0,0,15,1,1,5,2,175,58,0,38,20,e617ab48,0
6,6,23,0,0,2160000006,0,2,1,1692,1,33,0,29,5073,0,STEADY,564,3.12603,3.02395,0.124387,0.00531915,0.60461,61,43,27,0,1,0,1,121,98,0,0,271,e617ab48,0
6,6,23,0,0,2160000006,1,2,1,1927,1,35,0,31,5500,0,STEADY,643,2.90292,1.769,0.109226,0.0311042,0.423017,122,23,28,1,1,1,0,119,96,0,0,135,e617ab48,0
7,7,24,1,0,2160000007,0,3,1,1003,1,70,0,16,2468,0,STEADY,335,1.74304,2.28912,0.135057,0.0298507,0.0507463,0,0,11,3,0,1,1,125,30,0,0,49,e617ab48,0
7,7,24,1,0,2160000007,1,3,1,901,1,72,0,14,2296,0,STEADY,301,2.00254,1.74801,0.141299,0.0664452,0.0398671,0,0,9,3,1,1,0,125,28,0,0,36,e617ab48,0
