a,b,seed,weather,arena,style_a,style_b,winner,ticks,reason,hp_a,hp_b,control_a,control_b,overflow
0,1,1000,0,0,0,1,0,690,1,80,0,47,8,0
1,0,1000,0,0,1,0,1,690,1,0,80,8,47,0
0,1,1001,1,0,0,1,0,840,1,24,0,0,5,0
1,0,1001,1,0,1,0,1,630,1,0,60,22,0,0
0,1,1002,2,0,0,1,0,657,1,61,0,50,0,0
1,0,1002,2,0,1,0,1,625,1,0,84,43,8,0
0,1,1003,0,1,0,1,0,600,1,58,0,0,0,0
1,0,1003,0,1,1,0,1,600,1,0,58,0,0,0
0,1,1004,1,1,0,1,0,481,1,40,0,0,2,0
1,0,1004,1,1,1,0,1,540,1,0,94,7,0,0
0,1,1005,2,1,0,1,0,574,1,4,0,0,1,0
1,0,1005,2,1,1,0,0,835,1,30,0,13,0,0
0,1,1006,0,2,0,1,0,556,1,36,0,21,5,0
1,0,1006,0,2,1,0,1,556,1,0,36,5,21,0
0,1,1007,1,2,0,1,0,651,1,101,0,0,3,0
1,0,1007,1,2,1,0,1,592,1,0,101,7,7,0
0,1,1008,2,2,0,1,0,725,1,25,0,0,3,0
1,0,1008,2,2,1,0,1,602,1,0,87,4,0,0
0,1,1009,0,0,1,2,0,1080,1,23,0,21,21,0
1,0,1009,0,0,2,1,1,1080,1,0,23,21,21,0
0,1,1010,1,0,1,2,0,756,1,19,0,41,10,0
1,0,1010,1,0,2,1,1,637,1,0,83,106,27,0
0,1,1011,2,0,1,2,1,823,1,0,20,38,132,0
1,0,1011,2,0,2,1,1,930,1,0,9,0,29,0
0,1,1012,0,1,1,2,0,620,1,76,0,0,35,0
1,0,1012,0,1,2,1,1,620,1,0,76,35,0,0
0,1,1013,1,1,1,2,0,840,1,52,0,59,90,0
1,0,1013,1,1,2,1,1,990,1,0,16,62,31,0
0,1,1014,2,1,1,2,0,562,1,80,0,1,82,0
1,0,1014,2,1,2,1,1,826,1,0,26,74,39,0
0,1,1015,0,2,1,2,0,813,1,46,0,34,79,0
1,0,1015,0,2,2,1,1,813,1,0,46,79,34,0
0,1,1016,1,2,1,2,1,1027,1,0,19,7,64,0
1,0,1016,1,2,2,1,0,955,1,7,0,89,72,0
0,1,1017,2,2,1,2,1,922,1,0,55,42,61,0
1,0,1017,2,2,2,1,1,667,1,0,21,145,15,0
0,1,1018,0,0,2,3,0,547,1,38,0,0,196,0
1,0,1018,0,0,3,2,1,547,1,0,38,196,0,0
0,1,1019,1,0,2,3,1,634,1,0,31,7,126,0
1,0,1019,1,0,3,2,1,969,1,0,62,184,59,0
0,1,1020,2,0,2,3,1,788,1,0,41,7,140,0
