starter,seed,region,friends,battles,rounds,combat_seconds,losses,remedies,bells
0,20260907,0,3,9,15,336.333,1,8,1
0,20260907,1,8,23,48,2098.17,6,30,2
0,20260907,2,13,33,71,3121.17,6,42,3
0,20260907,3,18,43,91,3938.93,6,58,4
0,20260907,4,23,53,111,4391.43,6,71,5
0,20260907,5,28,63,134,5287.1,6,87,6
0,20260907,6,33,73,156,6132.37,6,100,7
0,20260907,7,40,83,175,6925.83,6,111,8
6,20260913,0,5,10,20,619.967,0,15,1
6,20260913,1,10,26,57,2872.33,7,37,2
6,20260913,2,15,36,73,3260.47,7,42,3
6,20260913,3,20,46,91,3589.77,7,53,4
6,20260913,4,25,56,109,4098.73,7,62,5
6,20260913,5,29,65,124,4508.6,7,69,6
6,20260913,6,34,76,146,5129.63,8,74,7
6,20260913,7,40,86,162,5505.17,8,78,8
35,20260942,0,5,9,17,580.2,0,13,1
35,20260942,1,10,27,60,3731.63,12,45,1
