starter,seed,region,friends,battles,rounds,combat_seconds,losses,remedies,bells
0,20260908,0,5,19,21,200.4,1,2,1
0,20260908,1,10,29,37,464.2,1,8,2
0,20260908,2,15,39,53,693.333,1,9,3
0,20260908,3,20,49,69,892.4,1,17,4
0,20260908,4,25,59,85,1122.7,1,22,5
0,20260908,5,30,69,101,1423.37,1,27,6
0,20260908,6,35,79,118,1767.3,1,32,7
0,20260908,7,40,89,134,2034.43,1,35,8
6,20260914,0,6,23,26,644.9,3,6,1
6,20260914,1,11,38,66,2243.97,8,31,2
6,20260914,2,16,48,87,3359.53,8,40,3
6,20260914,3,21,58,104,3891.2,8,49,4
6,20260914,4,26,68,123,4503.5,8,57,5
6,20260914,5,30,77,139,4983.87,8,62,6
6,20260914,6,35,89,168,5891.33,10,77,7
6,20260914,7,40,102,206,7735.67,13,99,8
35,20260943,0,5,20,23,496.267,1,7,1
35,20260943,1,10,37,70,2474.87,9,40,2
35,20260943,2,15,47,86,2905.63,9,41,3
35,20260943,3,20,58,108,3368.17,10,54,4
35,20260943,4,25,69,131,4118.73,11,66,5
35,20260943,5,30,79,152,4766.27,11,75,6
35,20260943,6,35,89,176,5453.9,11,90,7
35,20260943,7,40,99,195,6087.9,11,99,8
