starter,seed,region,friends,battles,rounds,combat_seconds,losses,remedies,bells
0,20260907,0,5,26,26,422.767,6,7,1
0,20260907,1,10,37,47,1169.73,7,15,2
0,20260907,2,15,47,63,1932.7,7,24,3
0,20260907,3,20,57,80,2504.4,7,35,4
0,20260907,4,25,67,99,3108.23,7,46,5
0,20260907,5,30,77,116,3618.4,7,54,6
0,20260907,6,35,87,135,4274.1,7,60,7
0,20260907,7,40,97,152,4920.53,7,65,8
1,20260908,0,5,24,24,417.433,0,10,1
1,20260908,1,10,43,83,3031.6,10,30,2
1,20260908,2,15,55,116,4133.73,12,48,3
1,20260908,3,20,65,140,4862.03,12,59,4
1,20260908,4,25,76,164,5751.6,13,73,5
1,20260908,5,30,86,185,6322.37,13,80,6
1,20260908,6,35,96,205,7061.7,13,89,7
1,20260908,7,40,106,222,7700.47,13,98,8
16,20260923,0,6,25,25,432.933,0,6,1
16,20260923,1,11,39,60,1789.53,4,18,2
16,20260923,2,15,48,78,2622.9,4,24,3
16,20260923,3,20,58,95,3186.83,4,32,4
16,20260923,4,25,68,111,3855.53,4,41,5
16,20260923,5,30,78,129,4396.7,4,49,6
16,20260923,6,35,90,159,5319.5,6,64,7
16,20260923,7,40,103,195,7088.93,9,83,8
6,20260913,0,6,25,27,456.633,0,6,1
6,20260913,1,11,35,46,1069.5,0,13,2
6,20260913,2,16,45,62,1321.67,0,17,3
6,20260913,3,21,55,78,1526,0,27,4
6,20260913,4,26,65,94,1754.9,0,35,5
6,20260913,5,30,74,109,2030.97,0,39,6
6,20260913,6,35,86,135,2517.83,2,51,7
6,20260913,7,40,96,158,3627.67,2,64,8
35,20260942,0,5,24,26,419.4,0,7,1
35,20260942,1,10,36,58,1900.5,2,21,2
35,20260942,2,15,47,90,2820.6,3,42,3
35,20260942,3,20,58,112,3487.4,4,55,4
35,20260942,4,25,71,145,4750.4,7,75,5
35,20260942,5,30,81,161,5073.33,7,78,6
35,20260942,6,35,93,188,5656.37,9,91,7
35,20260942,7,40,103,208,6604.43,9,104,8
