species_a,species_b,style_a,style_b,weather,arena,seed,seat,score_a
4,10,0,0,0,0,4000,0,1
4,10,0,0,0,0,4000,1,1
4,10,0,0,0,0,4001,0,0
4,10,0,0,0,0,4001,1,0
4,10,0,0,0,1,4000,0,0
4,10,0,0,0,1,4000,1,0
4,10,0,0,0,1,4001,0,0
4,10,0,0,0,1,4001,1,0
4,10,0,0,0,2,4000,0,0
4,10,0,0,0,2,4000,1,0
4,10,0,0,0,2,4001,0,0
4,10,0,0,0,2,4001,1,0
4,10,0,0,1,0,4000,0,0
4,10,0,0,1,0,4000,1,0
4,10,0,0,1,0,4001,0,0
4,10,0,0,1,0,4001,1,0
4,10,0,0,1,1,4000,0,0
4,10,0,0,1,1,4000,1,0
4,10,0,0,1,1,4001,0,0
4,10,0,0,1,1,4001,1,0
4,10,0,0,1,2,4000,0,0
4,10,0,0,1,2,4000,1,0
4,10,0,0,1,2,4001,0,0
4,10,0,0,1,2,4001,1,0
4,10,0,0,2,0,4000,0,0
4,10,0,0,2,0,4000,1,0
4,10,0,0,2,0,4001,0,0
4,10,0,0,2,0,4001,1,0
4,10,0,0,2,1,4000,0,0
4,10,0,0,2,1,4000,1,0
4,10,0,0,2,1,4001,0,0
4,10,0,0,2,1,4001,1,0
4,10,0,0,2,2,4000,0,0
4,10,0,0,2,2,4000,1,0
4,10,0,0,2,2,4001,0,0
4,10,0,0,2,2,4001,1,0
4,10,0,1,0,0,4000,0,0
4,10,0,1,0,0,4000,1,0
4,10,0,1,0,0,4001,0,0
4,10,0,1,0,0,4001,1,0
4,10,0,1,0,1,4000,0,0
4,10,0,1,0,1,4000,1,0
4,10,0,1,0,1,4001,0,0
4,10,0,1,0,1,4001,1,0
4,10,0,1,0,2,4000,0,0
4,10,0,1,0,2,4000,1,0
4,10,0,1,0,2,4001,0,0
4,10,0,1,0,2,4001,1,0
4,10,0,1,1,0,4000,0,0
4,10,0,1,1,0,4000,1,0
4,10,0,1,1,0,4001,0,0
4,10,0,1,1,0,4001,1,0
4,10,0,1,1,1,4000,0,0
4,10,0,1,1,1,4000,1,0
4,10,0,1,1,1,4001,0,0
4,10,0,1,1,1,4001,1,0
4,10,0,1,1,2,4000,0,0
4,10,0,1,1,2,4000,1,0
4,10,0,1,1,2,4001,0,0
4,10,0,1,1,2,4001,1,0
4,10,0,1,2,0,4000,0,0
4,10,0,1,2,0,4000,1,0
4,10,0,1,2,0,4001,0,0
4,10,0,1,2,0,4001,1,0
4,10,0,1,2,1,4000,0,0
4,10,0,1,2,1,4000,1,0
4,10,0,1,2,1,4001,0,0
4,10,0,1,2,1,4001,1,0
4,10,0,1,2,2,4000,0,0
4,10,0,1,2,2,4000,1,0
4,10,0,1,2,2,4001,0,0
4,10,0,1,2,2,4001,1,0
4,10,0,2,0,0,4000,0,0
4,10,0,2,0,0,4000,1,0
4,10,0,2,0,0,4001,0,0
4,10,0,2,0,0,4001,1,0
4,10,0,2,0,1,4000,0,0
4,10,0,2,0,1,4000,1,0
4,10,0,2,0,1,4001,0,0
4,10,0,2,0,1,4001,1,0
4,10,0,2,0,2,4000,0,0
4,10,0,2,0,2,4000,1,0
4,10,0,2,0,2,4001,0,0
4,10,0,2,0,2,4001,1,0
4,10,0,2,1,0,4000,0,0
