a,b,seed,weather,arena,style_a,style_b,winner,ticks,reason,hp_a,hp_b,control_a,control_b,overflow
0,1,2000,0,0,0,1,0,634,1,46,0,7,80,0
1,0,2000,0,0,1,0,0,596,1,12,0,11,84,0
0,1,2001,1,0,0,1,1,601,1,0,4,4,0,0
1,0,2001,1,0,1,0,0,736,1,43,0,151,151,0
0,1,2002,2,0,0,1,1,768,1,0,40,192,0,0
1,0,2002,2,0,1,0,0,868,1,26,0,40,0,0
0,1,2003,0,1,0,1,1,931,1,0,31,5,174,0
1,0,2003,0,1,1,0,0,838,1,13,0,100,0,0
0,1,2004,1,1,0,1,1,1015,1,0,27,123,1,0
1,0,2004,1,1,1,0,0,995,1,25,0,142,57,0
0,1,2005,2,1,0,1,1,902,1,0,64,26,0,0
1,0,2005,2,1,1,0,0,1121,1,67,0,158,203,0
0,1,2006,0,2,0,1,-1,728,1,0,0,2,158,0
1,0,2006,0,2,1,0,0,508,1,13,0,21,72,0
0,1,2007,1,2,0,1,0,480,1,49,0,0,42,0
1,0,2007,1,2,1,0,0,687,1,1,0,51,77,0
0,1,2008,2,2,0,1,0,930,1,18,0,0,205,0
1,0,2008,2,2,1,0,1,505,1,0,36,0,70,0
0,1,2009,0,0,1,2,0,639,1,13,0,126,31,0
1,0,2009,0,0,2,1,0,761,1,29,0,83,213,0
0,1,2010,1,0,1,2,1,608,1,0,29,17,19,0
1,0,2010,1,0,2,1,1,720,1,0,54,8,252,0
0,1,2011,2,0,1,2,0,862,1,37,0,63,152,0
1,0,2011,2,0,2,1,0,715,1,23,0,64,70,0
0,1,2012,0,1,1,2,1,1118,1,0,22,17,43,0
1,0,2012,0,1,2,1,0,889,1,49,0,16,5,0
0,1,2013,1,1,1,2,0,904,1,22,0,21,0,0
1,0,2013,1,1,2,1,0,511,1,9,0,2,96,0
0,1,2014,2,1,1,2,0,1321,1,42,0,26,0,0
1,0,2014,2,1,2,1,0,658,1,26,0,59,67,0
0,1,2015,0,2,1,2,1,625,1,0,63,158,93,0
1,0,2015,0,2,2,1,-1,400,1,0,0,42,55,0
0,1,2016,1,2,1,2,0,685,1,28,0,96,166,0
1,0,2016,1,2,2,1,0,721,1,14,0,46,26,0
0,1,2017,2,2,1,2,0,739,1,49,0,41,97,0
1,0,2017,2,2,2,1,0,1063,1,14,0,144,127,0
0,1,2018,0,0,2,3,0,870,1,28,0,173,205,0
1,0,2018,0,0,3,2,0,826,1,19,0,195,131,0
0,1,2019,1,0,2,3,0,727,1,4,0,101,68,0
1,0,2019,1,0,3,2,0,748,1,12,0,128,32,0
0,1,2020,2,0,2,3,0,1441,1,44,0,161,205,0
1,0,2020,2,0,3,2,0,877,1,15,0,335,65,0
0,1,2021,0,1,2,3,1,841,1,0,3,102,107,0
1,0,2021,0,1,3,2,0,727,1,4,0,50,146,0
0,1,2022,1,1,2,3,0,1099,1,21,0,29,339,0
1,0,2022,1,1,3,2,0,589,1,39,0,191,15,0
0,1,2023,2,1,2,3,1,1261,1,0,1,133,186,0
1,0,2023,2,1,3,2,0,790,1,26,0,97,136,0
0,1,2024,0,2,2,3,0,691,1,2,0,97,94,0
1,0,2024,0,2,3,2,0,604,1,36,0,13,39,0
0,1,2025,1,2,2,3,0,433,1,28,0,0,0,0
1,0,2025,1,2,3,2,1,721,1,0,6,143,39,0
0,1,2026,2,2,2,3,1,991,1,0,21,137,207,0
1,0,2026,2,2,3,2,0,796,1,26,0,189,0,0
0,1,2027,0,0,3,0,1,695,1,0,28,129,177,0
1,0,2027,0,0,0,3,0,695,1,28,0,177,130,0
0,1,2028,1,0,3,0,1,901,1,0,6,198,29,0
1,0,2028,1,0,0,3,1,688,1,0,10,197,63,0
0,1,2029,2,0,3,0,1,1064,1,0,28,192,203,0
1,0,2029,2,0,0,3,1,957,1,0,6,36,59,0
0,1,2030,0,1,3,0,0,897,1,55,0,31,133,0
1,0,2030,0,1,0,3,1,816,1,0,28,199,13,0
0,1,2031,1,1,3,0,0,1081,1,23,0,182,70,0
1,0,2031,1,1,0,3,0,773,1,25,0,58,50,0
0,1,2032,2,1,3,0,0,1289,1,45,0,357,9,0
1,0,2032,2,1,0,3,1,1110,1,0,50,273,252,0
0,1,2033,0,2,3,0,0,614,1,20,0,280,124,0
1,0,2033,0,2,0,3,0,715,1,10,0,0,228,0
0,1,2034,1,2,3,0,1,530,1,0,26,32,0,0
1,0,2034,1,2,0,3,1,769,1,0,11,59,117,0
0,1,2035,2,2,3,0,1,888,1,0,33,76,171,0
1,0,2035,2,2,0,3,1,931,1,0,25,130,253,0
0,2,2000,0,0,0,1,1,208,1,0,32,45,0,0
2,0,2000,0,0,1,0,0,208,1,32,0,0,45,0
0,2,2001,1,0,0,1,1,122,1,0,45,44,0,0
2,0,2001,1,0,1,0,1,243,1,0,17,0,42,0
0,2,2002,2,0,0,1,1,123,1,0,25,44,0,0
2,0,2002,2,0,1,0,0,223,1,50,0,0,73,0
0,2,2003,0,1,0,1,1,314,1,0,27,70,17,0
2,0,2003,0,1,1,0,0,277,1,43,0,20,71,0
0,2,2004,1,1,0,1,0,208,1,13,0,0,0,0
2,0,2004,1,1,1,0,0,264,1,15,0,65,8,0
0,2,2005,2,1,0,1,0,190,1,49,0,0,0,0
2,0,2005,2,1,1,0,0,382,1,2,0,7,8,0
0,2,2006,0,2,0,1,0,209,1,29,0,27,0,0
2,0,2006,0,2,1,0,1,209,1,0,29,0,27,0
0,2,2007,1,2,0,1,0,153,1,41,0,0,0,0
2,0,2007,1,2,1,0,1,160,1,0,9,0,0,0
0,2,2008,2,2,0,1,0,219,1,21,0,43,0,0
2,0,2008,2,2,1,0,0,262,1,69,0,0,45,0
0,2,2009,0,0,1,2,1,432,1,0,46,61,11,0
2,0,2009,0,0,2,1,1,333,1,0,22,76,64,0
0,2,2010,1,0,1,2,1,286,1,0,8,63,0,0
2,0,2010,1,0,2,1,0,398,1,51,0,24,87,0
0,2,2011,2,0,1,2,0,253,1,49,0,63,0,0
2,0,2011,2,0,2,1,1,468,1,0,1,0,132,0
0,2,2012,0,1,1,2,1,289,1,0,72,0,0,0
2,0,2012,0,1,2,1,0,289,1,72,0,0,0,0
0,2,2013,1,1,1,2,1,261,1,0,28,60,0,0
2,0,2013,1,1,2,1,0,229,1,90,0,0,0,0
0,2,2014,2,1,1,2,1,289,1,0,31,40,0,0
2,0,2014,2,1,2,1,0,433,1,31,0,0,26,0
0,2,2015,0,2,1,2,1,157,1,0,12,0,0,0
2,0,2015,0,2,2,1,0,157,1,12,0,0,0,0
0,2,2016,1,2,1,2,0,280,1,5,0,26,0,0
2,0,2016,1,2,2,1,0,157,1,94,0,0,0,0
0,2,2017,2,2,1,2,1,223,1,0,12,0,0,0
2,0,2017,2,2,2,1,0,157,1,94,0,0,0,0
0,2,2018,0,0,2,3,0,316,1,4,0,61,61,0
2,0,2018,0,0,3,2,0,292,1,41,0,0,64,0
0,2,2019,1,0,2,3,0,240,1,49,0,62,0,0
2,0,2019,1,0,3,2,0,259,1,26,0,0,67,0
0,2,2020,2,0,2,3,0,220,1,81,0,62,0,0
2,0,2020,2,0,3,2,1,469,1,0,9,0,133,0
0,2,2021,0,1,2,3,1,359,1,0,12,43,0,0
2,0,2021,0,1,3,2,0,394,1,2,0,92,43,0
0,2,2022,1,1,2,3,1,385,1,0,8,99,0,0
2,0,2022,1,1,3,2,0,226,1,63,0,34,0,0
0,2,2023,2,1,2,3,1,298,1,0,42,57,10,0
2,0,2023,2,1,3,2,1,400,1,0,9,160,0,0
0,2,2024,0,2,2,3,1,157,1,0,32,0,0,0
2,0,2024,0,2,3,2,0,157,1,32,0,0,0,0
0,2,2025,1,2,2,3,0,189,1,13,0,0,0,0
2,0,2025,1,2,3,2,0,157,1,94,0,0,0,0
0,2,2026,2,2,2,3,0,154,1,45,0,0,0,0
2,0,2026,2,2,3,2,0,157,1,94,0,0,0,0
