a,b,seed,weather,arena,style_a,style_b,winner,ticks,reason,hp_a,hp_b,control_a,control_b,overflow
0,1,2000,0,0,0,1,0,810,1,69,0,0,8,0
1,0,2000,0,0,1,0,1,810,1,0,36,8,0,0
0,1,2001,1,0,0,1,0,817,1,69,0,35,0,0
1,0,2001,1,0,1,0,1,1038,1,0,58,46,50,0
0,1,2002,2,0,0,1,0,1020,1,91,0,34,0,0
1,0,2002,2,0,1,0,1,1320,1,0,95,198,171,0
0,1,2003,0,1,0,1,0,1171,1,65,0,73,54,0
1,0,2003,0,1,1,0,1,1029,1,0,50,90,73,0
0,1,2004,1,1,0,1,0,1425,1,76,0,130,188,0
1,0,2004,1,1,1,0,0,1984,1,33,0,162,130,0
0,1,2005,2,1,0,1,0,1981,1,33,0,67,77,0
1,0,2005,2,1,1,0,1,2473,1,0,27,313,195,0
0,1,2006,0,2,0,1,0,906,1,58,0,17,37,0
1,0,2006,0,2,1,0,1,1365,1,0,58,24,9,0
0,1,2007,1,2,0,1,0,1334,1,50,0,33,31,0
1,0,2007,1,2,1,0,0,568,1,62,0,74,0,0
0,1,2008,2,2,0,1,0,1989,1,80,0,66,0,0
1,0,2008,2,2,1,0,0,2078,1,4,0,120,187,0
0,1,2009,0,0,1,2,1,2229,1,0,3,59,66,0
1,0,2009,0,0,2,1,0,1588,1,31,0,119,106,0
0,1,2010,1,0,1,2,0,2700,3,73,52,128,0,0
1,0,2010,1,0,2,1,1,1940,1,0,28,221,207,0
0,1,2011,2,0,1,2,0,1675,1,62,0,145,105,0
1,0,2011,2,0,2,1,0,1777,1,65,0,486,561,0
0,1,2012,0,1,1,2,0,1800,1,10,0,64,150,0
1,0,2012,0,1,2,1,1,2370,1,0,6,137,117,0
0,1,2013,1,1,1,2,1,1489,1,0,8,41,0,0
1,0,2013,1,1,2,1,1,982,1,0,29,186,106,0
0,1,2014,2,1,1,2,0,2419,1,47,0,56,0,0
1,0,2014,2,1,2,1,1,2520,1,0,16,220,587,0
0,1,2015,0,2,1,2,1,1399,1,0,49,0,100,0
1,0,2015,0,2,2,1,1,2700,3,47,47,136,156,0
0,1,2016,1,2,1,2,0,1939,1,50,0,39,77,0
1,0,2016,1,2,2,1,0,2700,3,50,14,244,241,0
0,1,2017,2,2,1,2,0,2194,1,58,0,232,222,0
1,0,2017,2,2,2,1,0,2464,1,54,0,11,0,0
0,1,2018,0,0,2,3,1,1036,1,0,65,49,135,0
1,0,2018,0,0,3,2,0,1036,1,65,0,135,49,0
0,1,2019,1,0,2,3,1,1244,1,0,20,59,195,0
1,0,2019,1,0,3,2,1,1920,1,0,14,320,49,0
0,1,2020,2,0,2,3,0,1957,2,51,20,600,353,0
1,0,2020,2,0,3,2,0,1506,1,95,0,254,137,0
0,1,2021,0,1,2,3,1,2700,3,90,46,4,85,0
1,0,2021,0,1,3,2,0,997,1,87,0,80,1,0
0,1,2022,1,1,2,3,1,2129,1,0,39,38,323,0
1,0,2022,1,1,3,2,0,811,1,18,0,113,35,0
0,1,2023,2,1,2,3,0,1762,1,29,0,48,149,0
1,0,2023,2,1,3,2,0,2700,3,40,39,314,183,0
0,1,2024,0,2,2,3,1,1366,1,0,9,0,81,0
1,0,2024,0,2,3,2,0,2179,1,29,0,96,0,0
0,1,2025,1,2,2,3,1,1329,1,0,21,0,193,0
1,0,2025,1,2,3,2,0,1570,1,23,0,92,0,0
0,1,2026,2,2,2,3,1,1719,1,0,70,5,102,0
1,0,2026,2,2,3,2,1,2540,1,0,25,203,130,0
0,1,2027,0,0,3,0,1,1281,1,0,51,86,46,0
1,0,2027,0,0,0,3,1,1590,1,0,3,0,80,0
0,1,2028,1,0,3,0,0,1614,2,19,15,600,0,0
1,0,2028,1,0,0,3,0,790,1,61,0,0,0,0
0,1,2029,2,0,3,0,1,772,1,0,1,61,0,0
1,0,2029,2,0,0,3,1,2430,1,0,7,0,304,0
0,1,2030,0,1,3,0,1,1116,1,0,15,62,0,0
1,0,2030,0,1,0,3,0,1033,1,29,0,0,62,0
0,1,2031,1,1,3,0,0,1470,1,33,0,337,0,0
1,0,2031,1,1,0,3,0,1133,1,29,0,77,0,0
0,1,2032,2,1,3,0,0,2497,1,50,0,520,7,0
1,0,2032,2,1,0,3,0,2296,1,59,0,231,304,0
0,1,2033,0,2,3,0,1,1135,1,0,30,77,0,0
1,0,2033,0,2,0,3,0,1915,1,40,0,0,78,0
0,1,2034,1,2,3,0,0,901,1,91,0,108,0,0
1,0,2034,1,2,0,3,0,1845,1,28,0,59,169,0
0,1,2035,2,2,3,0,1,2661,1,0,15,113,0,0
1,0,2035,2,2,0,3,0,1332,1,54,0,0,96,0
0,2,2000,0,0,0,1,0,702,1,32,0,145,185,0
2,0,2000,0,0,1,0,0,356,1,56,0,0,99,0
0,2,2001,1,0,0,1,1,784,1,0,40,30,0,0
2,0,2001,1,0,1,0,0,413,1,50,0,0,128,0
0,2,2002,2,0,0,1,0,791,1,58,0,58,14,0
2,0,2002,2,0,1,0,0,784,1,18,0,184,134,0
0,2,2003,0,1,0,1,0,630,1,10,0,63,76,0
2,0,2003,0,1,1,0,1,870,1,0,10,79,65,0
0,2,2004,1,1,0,1,0,314,1,10,0,11,0,0
2,0,2004,1,1,1,0,0,260,1,86,0,85,0,0
0,2,2005,2,1,0,1,1,440,1,0,41,92,148,0
2,0,2005,2,1,1,0,0,258,1,94,0,63,0,0
0,2,2006,0,2,0,1,0,192,1,39,0,0,0,0
2,0,2006,0,2,1,0,1,192,1,0,39,0,0,0
0,2,2007,1,2,0,1,1,247,1,0,24,0,0,0
2,0,2007,1,2,1,0,0,208,1,44,0,0,0,0
0,2,2008,2,2,0,1,0,416,1,16,0,73,89,0
2,0,2008,2,2,1,0,0,359,1,49,0,0,113,0
0,2,2009,0,0,1,2,0,505,1,49,0,106,13,0
2,0,2009,0,0,2,1,0,1703,1,21,0,184,205,0
0,2,2010,1,0,1,2,1,608,1,0,3,126,0,0
2,0,2010,1,0,2,1,0,339,1,71,0,0,92,0
0,2,2011,2,0,1,2,1,895,1,0,15,98,55,0
2,0,2011,2,0,2,1,0,490,1,81,0,41,92,0
0,2,2012,0,1,1,2,1,295,1,0,84,25,0,0
2,0,2012,0,1,2,1,0,295,1,84,0,0,25,0
0,2,2013,1,1,1,2,0,813,1,31,0,91,60,0
2,0,2013,1,1,2,1,0,301,1,70,0,0,61,0
0,2,2014,2,1,1,2,0,874,1,24,0,118,42,0
2,0,2014,2,1,2,1,0,301,1,84,0,0,23,0
0,2,2015,0,2,1,2,0,232,1,39,0,43,0,0
2,0,2015,0,2,2,1,1,232,1,0,39,0,43,0
0,2,2016,1,2,1,2,1,313,1,0,30,39,0,0
2,0,2016,1,2,2,1,0,220,1,94,0,0,0,0
0,2,2017,2,2,1,2,-1,313,1,0,0,73,0,0
2,0,2017,2,2,2,1,0,208,1,94,0,0,0,0
0,2,2018,0,0,2,3,0,956,1,12,0,89,353,0
2,0,2018,0,0,3,2,1,769,1,0,52,168,90,0
0,2,2019,1,0,2,3,0,574,1,47,0,92,0,0
2,0,2019,1,0,3,2,0,757,1,11,0,353,151,0
0,2,2020,2,0,2,3,0,628,1,59,0,92,0,0
2,0,2020,2,0,3,2,0,1373,1,28,0,320,106,0
0,2,2021,0,1,2,3,1,719,1,0,53,0,75,0
2,0,2021,0,1,3,2,0,719,1,53,0,75,0,0
0,2,2022,1,1,2,3,0,387,1,23,0,129,0,0
2,0,2022,1,1,3,2,0,267,1,81,0,0,73,0
0,2,2023,2,1,2,3,1,537,1,0,13,92,85,0
2,0,2023,2,1,3,2,0,263,1,83,0,60,0,0
0,2,2024,0,2,2,3,0,305,1,29,0,58,0,0
2,0,2024,0,2,3,2,1,305,1,0,29,0,58,0
0,2,2025,1,2,2,3,0,851,1,12,0,26,103,0
2,0,2025,1,2,3,2,0,214,1,74,0,0,0,0
0,2,2026,2,2,2,3,1,522,1,0,9,0,87,0
2,0,2026,2,2,3,2,0,211,1,74,0,0,0,0
