species,mode,energy_start,energy_end,mean_speed,mean_regen,damage_dealt,damage_taken,control,ticks
0,combat_strafe,600,1000,116.417,5.02604,0,113,0,578
0,face_travel,600,1000,139.415,5,0,104,0,600
0,planted,600,1000,0,5.05747,0,113,0,262
0,scripted,600,60,72.12,2.925,108,24,0,600
1,combat_strafe,600,1000,48.0741,5.0463,0,136,0,326
1,face_travel,600,1000,100.114,5.03571,0,136,0,422
1,planted,600,1000,0,5,0,64,0,600
1,scripted,600,245,63.93,3.075,44,76,0,600
2,combat_strafe,600,1000,68.2353,5.03676,0,94,0,410
2,face_travel,600,1000,123.255,5,0,34,0,600
2,planted,600,945,0,5,0,94,0,276
2,scripted,600,25,10.7191,2.41573,99,94,0,269
3,combat_strafe,600,1000,108.475,5,0,25,0,600
3,face_travel,600,1000,139.57,5,0,14,0,600
3,planted,600,1000,0,5,0,106,0,426
3,scripted,600,75,75.24,2.9,11,35,0,600
4,combat_strafe,600,1000,73.115,6,0,15,0,600
4,face_travel,600,1000,110.715,6,0,15,0,600
4,planted,600,1000,0,6,0,15,0,600
4,scripted,600,62,84.865,3.48,25,30,0,600
5,combat_strafe,600,1000,41.44,5,0,80,0,600
5,face_travel,600,1000,97.95,5,0,67,0,600
5,planted,600,1000,0,5,0,140,0,600
5,scripted,600,405,71.95,3.3,10,0,0,600
6,combat_strafe,600,1000,150.955,5,0,63,0,600
6,face_travel,600,1000,154.725,5,0,80,0,600
6,planted,600,1000,0,5.02976,0,131,0,506
6,scripted,600,35,124.735,3.05,38,0,0,600
7,combat_strafe,600,1000,131.935,5,0,57,0,600
7,face_travel,600,1000,147.93,5,0,17,0,600
7,planted,600,1000,0,5,0,100,0,321
7,scripted,600,130,84.555,2.9,69,61,0,600
8,combat_strafe,600,1000,96.985,5,0,0,0,600
8,face_travel,600,1000,119.55,5,0,0,0,600
8,planted,600,1000,0,5.04237,0,116,0,356
8,scripted,600,100,73.53,3.075,18,49,0,600
9,combat_strafe,600,1000,108.925,5,0,99,0,600
9,face_travel,600,1000,126.87,5,0,29,0,600
9,planted,600,1000,0,5.02703,0,149,0,557
9,scripted,600,150,105.49,3.025,41,78,0,600
10,combat_strafe,600,1000,109.565,5,0,51,0,600
10,face_travel,600,1000,132.06,5,0,34,0,600
10,planted,600,1000,1.35043,5.04274,0,124,0,353
10,scripted,600,20,84.88,2.975,137,37,0,600
11,combat_strafe,600,1000,93.7818,5.04545,0,117,0,332
11,face_travel,600,1000,133.374,5,0,117,0,513
11,planted,600,1000,0,5.05952,0,117,0,253
11,scripted,600,265,84.635,3.175,36,57,0,600
12,combat_strafe,600,1000,72.505,5,0,84,0,600
12,face_travel,600,1000,123.99,5,0,32,0,600
12,planted,600,1000,0,5,0,90,0,600
12,scripted,600,325,70.2,3.25,13,47,0,600
13,combat_strafe,600,1000,96.7895,5.05263,0,104,0,287
13,face_travel,600,1000,123.13,5,0,71,0,600
13,planted,600,1000,0,5.05102,0,104,0,296
13,scripted,600,0,37.7303,2.64045,82,104,0,269
14,combat_strafe,600,1000,115.6,5,0,33,0,600
14,face_travel,600,1000,132.01,5,0,6,0,600
14,planted,600,1000,0,5.04505,0,113,0,334
14,scripted,600,135,114.765,3.075,16,97,0,600
15,combat_strafe,600,1000,51.405,5,0,103,0,600
15,face_travel,600,1000,102.805,5,0,109,0,600
15,planted,600,1000,0,5.03759,0,118,0,400
15,scripted,600,10,66.8696,2.85714,24,118,0,485
16,combat_strafe,600,1000,144.215,5,0,38,0,600
16,face_travel,600,1000,150.3,5,0,38,0,600
16,planted,600,1000,0,5.07812,0,115,0,193
16,scripted,600,0,94.225,2.975,71,66,0,600
17,combat_strafe,600,1000,65.3597,5.03597,0,120,0,418
17,face_travel,600,1000,128.225,5,0,0,0,600
17,planted,600,1000,0,5.05155,0,120,0,292
17,scripted,600,45,79.91,2.875,125,81,0,600
18,combat_strafe,600,1000,110.645,3,0,14,0,600
18,face_travel,600,1000,128.705,3,0,0,0,600
18,planted,600,1000,0,3,0,28,0,600
18,scripted,600,274,96.73,1.83,0,14,0,600
19,combat_strafe,600,1000,77.015,5,0,111,0,600
19,face_travel,600,1000,106.215,5,0,129,0,600
19,planted,600,1000,0,5,0,96,0,600
19,scripted,600,380,47.375,3.075,15,28,0,600
20,combat_strafe,600,1000,56.685,5,0,78,0,600
20,face_travel,600,1000,109.79,5,0,74,0,600
20,planted,600,1000,0,5.04808,0,102,0,314
20,scripted,600,95,60.29,3.05,50,17,0,600
21,combat_strafe,600,1000,143.93,5,0,0,0,600
21,face_travel,600,1000,143.93,5,0,0,0,600
21,planted,600,1000,0,5,0,124,0,345
21,scripted,600,245,140.96,3.075,15,84,0,600
22,combat_strafe,600,1000,84.845,3,0,120,0,600
22,face_travel,600,1000,92.79,3,0,120,0,600
22,planted,600,1000,0,3,0,120,0,600
22,scripted,600,220,64.665,3.435,26,26,0,600
23,combat_strafe,600,1000,147.445,5,0,30,0,600
23,face_travel,600,1000,147.445,5,0,30,0,600
23,planted,600,1000,0,5,0,105,0,270
23,scripted,600,185,109.425,3.075,48,42,0,600
24,combat_strafe,600,1000,51.255,5,0,85,0,600
24,face_travel,600,1000,102.65,5,0,49,0,600
24,planted,600,1000,0,5,0,121,0,600
24,scripted,600,5,74.205,3.025,17,15,0,600
25,combat_strafe,600,1000,47.995,5,0,58,0,600
25,face_travel,600,1000,109.27,5,0,94,0,600
25,planted,600,1000,0,5.07246,0,104,0,208
25,scripted,600,65,57.3766,2.92208,49,104,0,463
26,combat_strafe,600,1000,142.455,5,0,41,0,600
26,face_travel,600,1000,157.545,5,0,52,0,600
26,planted,600,1000,0,5,0,108,0,306
26,scripted,600,165,113.96,3.125,0,41,0,600
27,combat_strafe,600,1000,83.9215,5,0,145,0,573
27,face_travel,600,1000,104.23,5,0,44,0,600
27,planted,600,1000,0,5.03268,0,145,0,460
27,scripted,600,365,51.135,3.075,51,0,0,600
28,combat_strafe,600,1000,57.8322,5.03356,0,111,0,448
28,face_travel,600,1000,120.01,5,0,0,0,600
28,planted,600,1000,0,5.04,0,111,0,377
28,scripted,600,90,21.84,2.925,19,10,0,600
29,combat_strafe,600,1000,76.105,5,0,22,0,600
29,face_travel,600,1000,109.4,5,0,20,0,600
29,planted,600,1000,0,5.03205,0,102,0,469
29,scripted,600,310,58.625,3.2,16,38,0,600
30,combat_strafe,600,1000,130.135,3,0,22,0,600
30,face_travel,600,1000,135.315,3,0,93,0,600
30,planted,600,1000,0,3,0,125,0,462
30,scripted,600,230,84.825,1.71,81,72,0,600
31,combat_strafe,600,1000,53.6568,5.02959,0,132,0,508
31,face_travel,600,1000,107.266,5.02825,0,132,0,532
31,planted,600,1000,0,5,0,123,0,600
31,scripted,600,20,45.385,3.025,105,81,0,600
32,combat_strafe,600,1000,100.88,5,0,40,0,600
32,face_travel,600,1000,115.785,5,0,51,0,600
32,planted,600,1000,0,5,0,121,0,381
32,scripted,600,160,64.095,3.15,46,36,0,600
33,combat_strafe,600,1000,110.825,5,0,105,0,600
33,face_travel,600,1000,128.62,5,0,70,0,600
33,planted,600,1000,0,5,0,152,0,336
33,scripted,600,10,93.395,2.85,47,87,0,600
34,combat_strafe,600,1000,53.2992,5.03937,0,140,0,383
34,face_travel,600,1000,116.84,5,0,66,0,600
34,planted,600,1000,0,5,0,140,0,372
34,scripted,600,250,62.14,3.175,50,48,0,600
35,combat_strafe,600,1000,133.915,5.02513,0,101,0,598
35,face_travel,600,1000,144.537,5,0,101,0,564
35,planted,600,1000,0,5.06494,0,101,0,232
35,scripted,600,350,107.09,3.075,28,0,0,600
36,combat_strafe,600,1000,110.245,5,0,87,0,600
36,face_travel,600,1000,128.599,5.03086,0,93,0,487
36,planted,600,1000,0,5.06579,0,93,0,229
36,scripted,600,0,101.765,3,36,80,0,600
37,combat_strafe,600,1000,119.945,5,0,96,0,600
37,face_travel,600,1000,131.95,5,0,96,0,600
37,planted,600,1000,0,5,0,150,0,414
37,scripted,600,260,70.37,3.15,34,0,0,600
38,combat_strafe,600,1000,49.0562,5,0,104,0,534
38,face_travel,600,1000,113.16,5,0,4,0,600
38,planted,600,1000,0,5.02907,0,104,0,518
38,scripted,600,35,16.1654,2.75591,118,60,0,383
39,combat_strafe,600,1000,80.0854,5.02513,0,114,0,599
39,face_travel,600,1000,113.82,5,0,91,0,600
39,planted,600,1000,0,5,0,112,0,600
39,scripted,600,280,76.82,3.175,54,78,0,600
