species,mode,energy_start,energy_end,mean_speed,mean_regen,damage_dealt,damage_taken,control,ticks
0,combat_strafe,600,160,113.896,0.054878,0,113,0,494
0,face_travel,600,1000,137.825,4.715,0,107,0,600
0,planted,600,1000,0,5.05747,0,113,0,262
0,scripted,600,103,67.825,1.555,40,47,0,600
1,combat_strafe,600,291,48.1389,0.0185185,0,136,0,326
1,face_travel,600,1000,99.985,4.7,0,124,0,600
1,planted,600,1000,0,5,0,52,0,600
1,scripted,600,290,53.735,3.075,55,128,0,600
2,combat_strafe,600,128,57.72,0.57,0,63,0,600
2,face_travel,600,1000,123.105,4.69,0,34,0,600
2,planted,600,945,0,5,0,94,0,276
2,scripted,600,30,14.4831,1.98876,88,94,0,269
3,combat_strafe,600,138,104.79,0.175,0,25,0,600
3,face_travel,600,1000,139.565,4.835,0,14,0,600
3,planted,600,1000,0,5,0,61,0,600
3,scripted,600,1,83.965,1.85,22,21,0,600
4,combat_strafe,600,146,68.695,0.225,0,15,0,600
4,face_travel,600,1000,110.21,5.895,0,15,0,600
4,planted,600,1000,0,6,0,15,0,600
4,scripted,600,156,51.865,1.27,25,30,0,600
5,combat_strafe,600,145,39.17,0.215,0,40,0,600
5,face_travel,600,1000,95.94,2.61,0,52,0,600
5,planted,600,1000,0,5,0,80,0,600
5,scripted,600,252,51.45,1.34,10,0,0,600
6,combat_strafe,600,166,139.82,0.24,0,51,0,600
6,face_travel,600,1000,155.83,4.885,0,29,0,600
6,planted,600,1000,0,5,0,70,0,600
6,scripted,600,40,95.18,1.505,39,41,0,600
7,combat_strafe,600,137,123.15,0.22,0,15,0,600
7,face_travel,600,1000,146.61,4.795,0,17,0,600
7,planted,600,1000,0,5,0,100,0,321
7,scripted,600,61,69.875,2.235,40,32,0,600
8,combat_strafe,600,139,90.215,0.17,0,19,0,600
8,face_travel,600,1000,119.26,4.905,0,0,0,600
8,planted,600,1000,0,5,0,116,0,399
8,scripted,600,135,53.37,1.88,72,68,0,600
9,combat_strafe,600,138,101.585,0.21,0,97,0,600
9,face_travel,600,1000,126.35,4.915,0,29,0,600
9,planted,600,1000,0,5,0,71,0,600
