species,Cinderfox,Brambleback,Glasswing,Voltjack,Miretoad,Basaltusk,Rimehare,Gloamcat,Ironmoth,Tidecoil,Quillrat,Sunstag,Gravemole,Prismray,Thornmantis,Mosswarden,Galecrest,Ashram,Clockfin,Nullurchin,Waxwyrm,Ribbonape,Saltcrab,Nectarbat,Bellox,Anvilnewt,Duneskink,Kelpwidow,Pyrelisk,Mooncalf,Coppergecko,Orchardboar,Inkheron,Hooklynx,Slagjaw,Dewotter,Echofin,Latchspider,Flintroc,Oathhound
Cinderfox,0.5000,0.6667,0.4167,0.7535,0.4201,0.8160,0.3403,0.7396,0.6736,0.4931,0.1319,0.6528,0.1458,0.6111,0.7292,0.9722,0.4444,0.4965,0.5556,0.6944,0.6667,0.2986,0.9375,0.6806,0.8889,0.7743,0.7396,0.4306,0.2222,0.8403,0.4028,0.4479,0.3056,0.1597,0.5069,0.7222,0.5903,0.3403,0.3021,0.8542
Brambleback,0.3333,0.5000,0.0833,0.7222,0.1736,0.7361,0.4514,0.7500,0.3611,0.3125,0.0764,0.6076,0.2917,0.4583,0.7222,0.8472,0.3750,0.5174,0.4514,0.6354,0.5486,0.2361,0.7500,0.4653,0.8403,0.7882,0.5799,0.3715,0.1007,0.8542,0.1111,0.6042,0.3194,0.1389,0.4618,0.5694,0.3750,0.6215,0.0729,0.8958
Glasswing,0.5833,0.9167,0.5000,0.9653,0.6424,0.8056,0.5799,0.5035,0.8576,0.5729,0.0625,0.7049,0.2951,0.8125,0.6319,0.9722,0.7118,0.6354,0.3194,0.6215,0.8507,0.5972,0.8681,0.7639,0.7465,0.9271,0.5139,0.5938,0.5833,0.6667,0.2292,0.8576,0.4097,0.3646,0.5833,0.8750,0.9444,0.5382,0.7257,0.8889
Voltjack,0.2465,0.2778,0.0347,0.5000,0.3819,0.3750,0.1319,0.3125,0.1528,0.1458,0.0000,0.1944,0.0486,0.4097,0.3611,0.7257,0.2847,0.1806,0.4028,0.1944,0.4618,0.2361,0.3056,0.3611,0.6944,0.3333,0.2014,0.1111,0.0417,0.6597,0.2014,0.1875,0.1458,0.1389,0.1319,0.3993,0.5833,0.2396,0.1875,0.8056
Miretoad,0.5799,0.8264,0.3576,0.6181,0.5000,0.5903,0.4375,0.6250,0.7014,0.6493,0.0521,0.5208,0.1007,0.5625,0.6528,0.9583,0.4097,0.3438,0.5312,0.7465,0.7778,0.4028,0.9514,0.7083,0.9618,0.8507,0.5868,0.5174,0.0938,0.9931,0.4097,0.7778,0.3958,0.1806,0.4757,0.4653,0.6181,0.5590,0.4340,0.9792
Basaltusk,0.1840,0.2639,0.1944,0.6250,0.4097,0.5000,0.0903,0.4583,0.2083,0.1215,0.0139,0.4375,0.2882,0.4653,0.5556,0.7604,0.3750,0.4826,0.4931,0.2465,0.3576,0.0833,0.7222,0.2917,0.8194,0.6250,0.0833,0.1562,0.4028,0.7361,0.0833,0.4514,0.2500,0.0069,0.5868,0.0556,0.4201,0.1076,0.1215,0.6667
Rimehare,0.6597,0.5486,0.4201,0.8681,0.5625,0.9097,0.5000,0.8056,0.7500,0.6181,0.1181,0.5694,0.3194,0.5556,0.8125,0.9653,0.6806,0.6806,0.3542,0.8021,0.9097,0.4306,0.8958,0.8333,0.8472,0.7118,0.7014,0.4965,0.3125,0.7708,0.2639,0.8194,0.4444,0.4167,0.6736,0.7014,0.7361,0.4097,0.3021,0.7847
Gloamcat,0.2604,0.2500,0.4965,0.6875,0.3750,0.5417,0.1944,0.5000,0.2917,0.0972,0.0417,0.5174,0.0764,0.7674,0.5972,0.9792,0.5000,0.3333,0.5417,0.7708,0.8333,0.1215,0.6736,0.2500,0.8681,0.8333,0.2500,0.4792,0.3264,0.9375,0.4549,0.3403,0.4896,0.1667,0.2812,0.4618,0.6146,0.4444,0.3542,0.9271
Ironmoth,0.3264,0.6389,0.1424,0.8472,0.2986,0.7917,0.2500,0.7083,0.5000,0.6042,0.0278,0.6771,0.1354,0.3264,0.5694,0.9236,0.3750,0.5174,0.4062,0.7743,0.7083,0.2917,0.8333,0.5868,0.9444,0.7431,0.3542,0.4410,0.0382,0.8576,0.1736,0.5660,0.1701,0.1597,0.3785,0.7500,0.5660,0.3333,0.1667,0.8542
Tidecoil,0.5069,0.6875,0.4271,0.8542,0.3507,0.8785,0.3819,0.9028,0.3958,0.5000,0.1250,0.7153,0.3924,0.6493,0.8472,0.9062,0.6354,0.6354,0.8403,0.4549,0.4479,0.2153,0.9271,0.5486,0.8438,0.8576,0.3264,0.3576,0.4340,0.8958,0.3646,0.6076,0.5625,0.3472,0.7326,0.4028,0.5417,0.2847,0.1354,0.8438
Quillrat,0.8681,0.9236,0.9375,1.0000,0.9479,0.9861,0.8819,0.9583,0.9722,0.8750,0.5000,0.9444,0.9236,0.9444,0.9583,0.9861,0.9653,0.8056,0.7326,0.9306,0.9931,0.5764,1.0000,0.8958,0.9792,0.9583,0.9236,0.8958,0.8472,0.9861,0.7083,0.9514,0.8889,0.8611,0.9653,0.9514,0.8819,0.7569,0.9167,1.0000
Sunstag,0.3472,0.3924,0.2951,0.8056,0.4792,0.5625,0.4306,0.4826,0.3229,0.2847,0.0556,0.5000,0.2326,0.7014,0.3542,0.8299,0.7014,0.3090,0.7222,0.4271,0.3889,0.0660,0.7847,0.3403,0.8264,0.6597,0.2569,0.3507,0.3229,0.8194,0.1562,0.4340,0.5799,0.0833,0.3750,0.2569,0.4514,0.2674,0.1736,0.7986
Gravemole,0.8542,0.7083,0.7049,0.9514,0.8993,0.7118,0.6806,0.9236,0.8646,0.6076,0.0764,0.7674,0.5000,0.7674,0.8264,0.9757,0.7986,0.3854,0.6042,0.9688,0.8715,0.3854,0.8889,0.8507,0.9340,0.7569,0.9167,0.9062,0.4549,0.9306,0.6597,0.8056,0.6076,0.3611,0.7188,0.9722,0.6181,0.8785,0.5903,0.9722
Prismray,0.3889,0.5417,0.1875,0.5903,0.4375,0.5347,0.4444,0.2326,0.6736,0.3507,0.0556,0.2986,0.2326,0.5000,0.3194,0.8646,0.4097,0.2986,0.1944,0.4271,0.7500,0.2639,0.5521,0.4583,0.4896,0.5590,0.3056,0.3299,0.2083,0.3333,0.1528,0.5694,0.1771,0.1736,0.3542,0.7292,0.9028,0.2049,0.3368,0.6389
Thornmantis,0.2708,0.2778,0.3681,0.6389,0.3472,0.4444,0.1875,0.4028,0.4306,0.1528,0.0417,0.6458,0.1736,0.6806,0.5000,0.9583,0.5069,0.5486,0.5903,0.6319,0.5694,0.0903,0.8368,0.1458,0.8819,0.7708,0.2222,0.5000,0.3542,0.8125,0.3194,0.5278,0.5139,0.0347,0.5417,0.3333,0.3194,0.4861,0.3264,0.8681
Mosswarden,0.0278,0.1528,0.0278,0.2743,0.0417,0.2396,0.0347,0.0208,0.0764,0.0938,0.0139,0.1701,0.0243,0.1354,0.0417,0.5000,0.0208,0.1076,0.0868,0.2743,0.2292,0.0208,0.5764,0.0417,0.3403,0.2812,0.2569,0.0660,0.0347,0.6597,0.0486,0.1007,0.0486,0.0000,0.0938,0.1111,0.0556,0.0938,0.0521,0.6562
Galecrest,0.5556,0.6250,0.2882,0.7153,0.5903,0.6250,0.3194,0.5000,0.6250,0.3646,0.0347,0.2986,0.2014,0.5903,0.4931,0.9792,0.5000,0.3819,0.1840,0.6944,0.9583,0.4097,0.6875,0.5833,0.5625,0.7257,0.2986,0.5347,0.2569,0.3958,0.1319,0.7431,0.2743,0.3472,0.4375,0.5903,0.7917,0.3368,0.3889,0.5556
Ashram,0.5035,0.4826,0.3646,0.8194,0.6562,0.5174,0.3194,0.6667,0.4826,0.3646,0.1944,0.6910,0.6146,0.7014,0.4514,0.8924,0.6181,0.5000,0.3819,0.8576,0.7951,0.3889,0.8090,0.7951,0.8542,0.8576,0.6076,0.4618,0.2778,0.8056,0.4514,0.6875,0.4896,0.2500,0.5972,0.6111,0.5208,0.6528,0.2708,0.8438
Clockfin,0.4444,0.5486,0.6806,0.5972,0.4688,0.5069,0.6458,0.4583,0.5938,0.1597,0.2674,0.2778,0.3958,0.8056,0.4097,0.9132,0.8160,0.6181,0.5000,0.5139,0.8542,0.2847,0.4306,0.5694,0.4722,0.8611,0.6562,0.3819,0.4653,0.5833,0.4306,0.6319,0.6458,0.2778,0.4410,0.7257,0.8681,0.3194,0.5069,0.7847
Nullurchin,0.3056,0.3646,0.3785,0.8056,0.2535,0.7535,0.1979,0.2292,0.2257,0.5451,0.0694,0.5729,0.0312,0.5729,0.3681,0.7257,0.3056,0.1424,0.4861,0.5000,0.6285,0.0625,0.8785,0.3819,0.7743,0.6632,0.5903,0.2778,0.1493,0.7986,0.2083,0.3576,0.2188,0.0625,0.2049,0.6181,0.6493,0.1215,0.1840,0.7604
Waxwyrm,0.3333,0.4514,0.1493,0.5382,0.2222,0.6424,0.0903,0.1667,0.2917,0.5521,0.0069,0.6111,0.1285,0.2500,0.4306,0.7708,0.0417,0.2049,0.1458,0.3715,0.5000,0.0903,0.8681,0.4375,0.6632,0.5868,0.3785,0.0868,0.1354,0.8125,0.1042,0.3229,0.0660,0.0694,0.1701,0.2778,0.3229,0.1840,0.2396,0.8403
Ribbonape,0.7014,0.7639,0.4028,0.7639,0.5972,0.9167,0.5694,0.8785,0.7083,0.7847,0.4236,0.9340,0.6146,0.7361,0.9097,0.9792,0.5903,0.6111,0.7153,0.9375,0.9097,0.5000,0.9097,0.8125,1.0000,0.8750,0.8229,0.6042,0.2847,0.9861,0.5347,0.8160,0.6597,0.4097,0.7361,0.8750,0.7847,0.6701,0.2708,0.9861
Saltcrab,0.0625,0.2500,0.1319,0.6944,0.0486,0.2778,0.1042,0.3264,0.1667,0.0729,0.0000,0.2153,0.1111,0.4479,0.1632,0.4236,0.3125,0.1910,0.5694,0.1215,0.1319,0.0903,0.5000,0.1458,0.3611,0.3576,0.0903,0.0521,0.1042,0.4028,0.0069,0.1285,0.3299,0.0694,0.2292,0.1458,0.2917,0.1076,0.0729,0.4236
Nectarbat,0.3194,0.5347,0.2361,0.6389,0.2917,0.7083,0.1667,0.7500,0.4132,0.4514,0.1042,0.6597,0.1493,0.5417,0.8542,0.9583,0.4167,0.2049,0.4306,0.6181,0.5625,0.1875,0.8542,0.5000,0.8750,0.5382,0.4062,0.2431,0.1528,0.8194,0.2396,0.5833,0.2431,0.1389,0.3576,0.6944,0.4583,0.3333,0.1458,0.8472
Bellox,0.1111,0.1597,0.2535,0.3056,0.0382,0.1806,0.1528,0.1319,0.0556,0.1562,0.0208,0.1736,0.0660,0.5104,0.1181,0.6597,0.4375,0.1458,0.5278,0.2257,0.3368,0.0000,0.6389,0.1250,0.5000,0.4722,0.0764,0.1771,0.2465,0.6562,0.0278,0.0903,0.3438,0.0347,0.1667,0.1458,0.1944,0.1285,0.2569,0.5556
Anvilnewt,0.2257,0.2118,0.0729,0.6667,0.1493,0.3750,0.2882,0.1667,0.2569,0.1424,0.0417,0.3403,0.2431,0.4410,0.2292,0.7188,0.2743,0.1424,0.1389,0.3368,0.4132,0.1250,0.6424,0.4618,0.5278,0.5000,0.4792,0.2188,0.0660,0.5799,0.0694,0.3715,0.0938,0.0764,0.2014,0.5556,0.5312,0.1250,0.0938,0.7222
Duneskink,0.2604,0.4201,0.4861,0.7986,0.4132,0.9167,0.2986,0.7500,0.6458,0.6736,0.0764,0.7431,0.0833,0.6944,0.7778,0.7431,0.7014,0.3924,0.3438,0.4097,0.6215,0.1771,0.9097,0.5938,0.9236,0.5208,0.5000,0.2604,0.2014,0.8125,0.3194,0.4965,0.3403,0.1806,0.1250,0.6667,0.7361,0.3194,0.1528,0.8611
Kelpwidow,0.5694,0.6285,0.4062,0.8889,0.4826,0.8438,0.5035,0.5208,0.5590,0.6424,0.1042,0.6493,0.0938,0.6701,0.5000,0.9340,0.4653,0.5382,0.6181,0.7222,0.9132,0.3958,0.9479,0.7569,0.8229,0.7812,0.7396,0.5000,0.2396,0.8264,0.3854,0.6840,0.4618,0.2431,0.4340,0.8125,0.8542,0.4688,0.3403,0.9062
Pyrelisk,0.7778,0.8993,0.4167,0.9583,0.9062,0.5972,0.6875,0.6736,0.9618,0.5660,0.1528,0.6771,0.5451,0.7917,0.6458,0.9653,0.7431,0.7222,0.5347,0.8507,0.8646,0.7153,0.8958,0.8472,0.7535,0.9340,0.7986,0.7604,0.5000,0.7431,0.4062,0.8819,0.8021,0.5868,0.7326,0.8125,0.9444,0.7014,0.7604,0.8819
Mooncalf,0.1597,0.1458,0.3333,0.3403,0.0069,0.2639,0.2292,0.0625,0.1424,0.1042,0.0139,0.1806,0.0694,0.6667,0.1875,0.3403,0.6042,0.1944,0.4167,0.2014,0.1875,0.0139,0.5972,0.1806,0.3438,0.4201,0.1875,0.1736,0.2569,0.5000,0.0764,0.1042,0.5104,0.0417,0.1771,0.1528,0.3333,0.1111,0.1597,0.4722
Coppergecko,0.5972,0.8889,0.7708,0.7986,0.5903,0.9167,0.7361,0.5451,0.8264,0.6354,0.2917,0.8438,0.3403,0.8472,0.6806,0.9514,0.8681,0.5486,0.5694,0.7917,0.8958,0.4653,0.9931,0.7604,0.9722,0.9306,0.6806,0.6146,0.5938,0.9236,0.5000,0.8264,0.6597,0.5000,0.6632,0.8611,0.9444,0.5451,0.4722,0.9722
Orchardboar,0.5521,0.3958,0.1424,0.8125,0.2222,0.5486,0.1806,0.6597,0.4340,0.3924,0.0486,0.5660,0.1944,0.4306,0.4722,0.8993,0.2569,0.3125,0.3681,0.6424,0.6771,0.1840,0.8715,0.4167,0.9097,0.6285,0.5035,0.3160,0.1181,0.8958,0.1736,0.5000,0.2465,0.0451,0.2326,0.7014,0.4097,0.3819,0.2049,0.8403
Inkheron,0.6944,0.6806,0.5903,0.8542,0.6042,0.7500,0.5556,0.5104,0.8299,0.4375,0.1111,0.4201,0.3924,0.8229,0.4861,0.9514,0.7257,0.5104,0.3542,0.7812,0.9340,0.3403,0.6701,0.7569,0.6562,0.9062,0.6597,0.5382,0.1979,0.4896,0.3403,0.7535,0.5000,0.2778,0.5868,0.8958,0.9062,0.3750,0.7118,0.7118
Hooklynx,0.8403,0.8611,0.6354,0.8611,0.8194,0.9931,0.5833,0.8333,0.8403,0.6528,0.1389,0.9167,0.6389,0.8264,0.9653,1.0000,0.6528,0.7500,0.7222,0.9375,0.9306,0.5903,0.9306,0.8611,0.9653,0.9236,0.8194,0.7569,0.4132,0.9583,0.5000,0.9549,0.7222,0.5000,0.9306,0.9514,0.7674,0.6944,0.3646,0.9653
Slagjaw,0.4931,0.5382,0.4167,0.8681,0.5243,0.4132,0.3264,0.7188,0.6215,0.2674,0.0347,0.6250,0.2812,0.6458,0.4583,0.9062,0.5625,0.4028,0.5590,0.7951,0.8299,0.2639,0.7708,0.6424,0.8333,0.7986,0.8750,0.5660,0.2674,0.8229,0.3368,0.7674,0.4132,0.0694,0.5000,0.6944,0.6944,0.4097,0.3542,0.9236
Dewotter,0.2778,0.4306,0.1250,0.6007,0.5347,0.9444,0.2986,0.5382,0.2500,0.5972,0.0486,0.7431,0.0278,0.2708,0.6667,0.8889,0.4097,0.3889,0.2743,0.3819,0.7222,0.1250,0.8542,0.3056,0.8542,0.4444,0.3333,0.1875,0.1875,0.8472,0.1389,0.2986,0.1042,0.0486,0.3056,0.5000,0.5694,0.1806,0.0903,0.8542
Echofin,0.4097,0.6250,0.0556,0.4167,0.3819,0.5799,0.2639,0.3854,0.4340,0.4583,0.1181,0.5486,0.3819,0.0972,0.6806,0.9444,0.2083,0.4792,0.1319,0.3507,0.6771,0.2153,0.7083,0.5417,0.8056,0.4688,0.2639,0.1458,0.0556,0.6667,0.0556,0.5903,0.0938,0.2326,0.3056,0.4306,0.5000,0.1944,0.0903,0.7118
Latchspider,0.6597,0.3785,0.4618,0.7604,0.4410,0.8924,0.5903,0.5556,0.6667,0.7153,0.2431,0.7326,0.1215,0.7951,0.5139,0.9062,0.6632,0.3472,0.6806,0.8785,0.8160,0.3299,0.8924,0.6667,0.8715,0.8750,0.6806,0.5312,0.2986,0.8889,0.4549,0.6181,0.6250,0.3056,0.5903,0.8194,0.8056,0.5000,0.2465,0.9201
Flintroc,0.6979,0.9271,0.2743,0.8125,0.5660,0.8785,0.6979,0.6458,0.8333,0.8646,0.0833,0.8264,0.4097,0.6632,0.6736,0.9479,0.6111,0.7292,0.4931,0.8160,0.7604,0.7292,0.9271,0.8542,0.7431,0.9062,0.8472,0.6597,0.2396,0.8403,0.5278,0.7951,0.2882,0.6354,0.6458,0.9097,0.9097,0.7535,0.5000,0.8889
Oathhound,0.1458,0.1042,0.1111,0.1944,0.0208,0.3333,0.2153,0.0729,0.1458,0.1562,0.0000,0.2014,0.0278,0.3611,0.1319,0.3438,0.4444,0.1562,0.2153,0.2396,0.1597,0.0139,0.5764,0.1528,0.4444,0.2778,0.1389,0.0938,0.1181,0.5278,0.0278,0.1597,0.2882,0.0347,0.0764,0.1458,0.2882,0.0799,0.1111,0.5000
