a,b,seed,weather,arena,style_a,style_b,winner,ticks,reason,hp_a,hp_b,control_a,control_b,overflow
0,1,6000,0,0,0,1,0,810,1,58,0,0,8,0
1,0,6000,0,0,1,0,1,810,1,0,36,8,0,0
0,1,6001,1,0,0,1,0,1405,1,58,0,79,54,0
1,0,6001,1,0,1,0,1,1629,1,0,73,301,292,0
0,1,6002,2,0,0,1,0,1777,1,51,0,29,0,0
1,0,6002,2,0,1,0,1,2589,1,0,91,105,312,0
0,1,6003,0,1,0,1,0,1788,1,28,0,74,25,0
1,0,6003,0,1,1,0,1,2005,1,0,28,25,74,0
0,1,6004,1,1,0,1,0,1170,1,14,0,34,0,0
1,0,6004,1,1,1,0,1,1219,1,0,32,47,98,0
0,1,6005,2,1,0,1,0,2470,1,22,0,240,0,0
1,0,6005,2,1,1,0,1,1588,1,0,14,124,122,0
0,1,6006,0,2,0,1,0,851,1,80,0,64,13,0
1,0,6006,0,2,1,0,1,616,1,0,102,0,0,0
0,1,6007,1,2,0,1,0,1320,1,113,0,73,93,0
1,0,6007,1,2,1,0,1,1552,1,0,33,111,52,0
0,1,6008,2,2,0,1,0,714,1,47,0,19,0,0
1,0,6008,2,2,1,0,1,1069,1,0,58,70,10,0
0,1,6009,0,3,0,1,0,1870,1,61,0,367,225,0
1,0,6009,0,3,1,0,1,1870,1,0,61,225,367,0
0,1,6010,1,3,0,1,1,1801,1,0,21,426,238,0
1,0,6010,1,3,1,0,1,1735,1,0,53,422,529,0
0,1,6011,2,3,0,1,1,2074,1,0,22,535,225,0
1,0,6011,2,3,1,0,1,2070,2,2,55,391,600,0
0,1,6012,0,4,0,1,0,1492,2,102,68,600,457,0
1,0,6012,0,4,1,0,1,2149,1,0,51,565,390,0
0,1,6013,1,4,0,1,1,1642,2,95,58,348,600,0
1,0,6013,1,4,1,0,1,2489,1,0,25,589,309,0
0,1,6014,2,4,0,1,0,1470,1,14,0,139,182,0
1,0,6014,2,4,1,0,1,2080,1,0,22,300,203,0
0,1,6015,0,5,0,1,0,1440,1,58,0,122,560,0
1,0,6015,0,5,1,0,1,916,1,0,51,188,21,0
0,1,6016,1,5,0,1,1,2614,2,76,6,445,600,0
1,0,6016,1,5,1,0,1,960,1,0,98,0,0,0
0,1,6017,2,5,0,1,0,2160,1,51,0,357,0,0
1,0,6017,2,5,1,0,1,1870,1,0,59,73,391,0
0,1,6018,0,0,1,2,0,1795,1,44,0,110,137,0
1,0,6018,0,0,2,1,1,1590,1,0,36,156,119,0
0,1,6019,1,0,1,2,0,1940,1,51,0,91,0,0
1,0,6019,1,0,2,1,1,1198,1,0,73,202,148,0
0,1,6020,2,0,1,2,0,2604,1,54,0,556,172,0
1,0,6020,2,0,2,1,1,2700,3,57,21,182,265,0
0,1,6021,0,1,1,2,0,1618,1,14,0,148,161,0
1,0,6021,0,1,2,1,0,2700,3,30,69,116,78,0
0,1,6022,1,1,1,2,1,2700,3,65,82,121,127,0
1,0,6022,1,1,2,1,0,1006,1,84,0,111,21,0
0,1,6023,2,1,1,2,0,2700,3,35,34,51,26,0
1,0,6023,2,1,2,1,0,1714,1,36,0,228,184,0
0,1,6024,0,2,1,2,0,2353,1,40,0,245,278,0
1,0,6024,0,2,2,1,1,2700,3,27,36,135,168,0
0,1,6025,1,2,1,2,0,1574,1,36,0,195,212,0
1,0,6025,1,2,2,1,0,718,1,63,0,107,0,0
0,1,6026,2,2,1,2,1,2062,1,0,26,35,80,0
1,0,6026,2,2,2,1,1,2700,3,39,53,32,69,0
0,1,6027,0,3,1,2,1,2063,1,0,21,212,334,0
1,0,6027,0,3,2,1,0,2063,1,21,0,334,212,0
0,1,6028,1,3,1,2,1,2219,1,0,55,253,171,0
1,0,6028,1,3,2,1,1,1162,1,0,50,114,143,0
0,1,6029,2,3,1,2,0,2053,2,59,19,600,544,0
1,0,6029,2,3,2,1,1,1756,1,0,76,427,437,0
0,1,6030,0,4,1,2,0,1194,2,86,83,600,321,0
1,0,6030,0,4,2,1,1,1945,1,0,43,261,347,0
0,1,6031,1,4,1,2,1,2029,1,0,5,363,451,0
1,0,6031,1,4,2,1,1,1621,1,0,73,418,446,0
0,1,6032,2,4,1,2,0,1855,2,69,57,600,489,0
1,0,6032,2,4,2,1,1,852,1,0,14,44,42,0
0,1,6033,0,5,1,2,1,1670,2,113,13,286,600,0
1,0,6033,0,5,2,1,1,1745,2,6,113,340,600,0
0,1,6034,1,5,1,2,1,2222,2,8,24,335,600,0
1,0,6034,1,5,2,1,1,2515,1,0,7,70,421,0
0,1,6035,2,5,1,2,0,1304,1,102,0,1,0,0
1,0,6035,2,5,2,1,1,1717,1,0,45,0,331,0
0,1,6036,0,0,2,3,0,1615,1,44,0,142,188,0
1,0,6036,0,0,3,2,1,2342,1,0,33,188,209,0
0,1,6037,1,0,2,3,0,1918,1,65,0,121,293,0
1,0,6037,1,0,3,2,0,1858,1,34,0,177,78,0
0,1,6038,2,0,2,3,1,799,1,0,14,127,233,0
1,0,6038,2,0,3,2,0,1378,1,46,0,247,145,0
0,1,6039,0,1,2,3,0,1148,1,32,0,0,84,0
1,0,6039,0,1,3,2,1,1469,1,0,54,84,4,0
0,1,6040,1,1,2,3,0,1140,1,36,0,37,146,0
1,0,6040,1,1,3,2,0,1731,1,49,0,88,27,0
0,1,6041,2,1,2,3,0,1050,1,51,0,78,174,0
1,0,6041,2,1,3,2,1,1693,1,0,14,131,37,0
0,1,6042,0,2,2,3,0,1367,1,44,0,0,72,0
1,0,6042,0,2,3,2,0,1015,1,14,0,88,0,0
0,1,6043,1,2,2,3,0,1877,1,43,0,46,123,0
1,0,6043,1,2,3,2,0,2700,3,61,58,89,11,0
0,1,6044,2,2,2,3,0,1620,1,40,0,30,109,0
1,0,6044,2,2,3,2,0,2700,3,71,29,110,76,0
0,1,6045,0,3,2,3,0,1670,1,75,0,486,287,0
1,0,6045,0,3,3,2,0,1861,1,25,0,560,471,0
0,1,6046,1,3,2,3,1,1759,1,0,68,212,363,0
1,0,6046,1,3,3,2,1,1108,1,0,101,521,171,0
0,1,6047,2,3,2,3,0,1638,2,113,109,600,207,0
1,0,6047,2,3,3,2,1,2024,1,0,7,372,319,0
0,1,6048,0,4,2,3,0,1629,2,61,50,600,533,0
