species,Cinderfox,Brambleback,Glasswing,Voltjack,Miretoad,Basaltusk,Rimehare,Gloamcat,Ironmoth,Tidecoil,Quillrat,Sunstag,Gravemole,Prismray,Thornmantis,Mosswarden,Galecrest,Ashram,Clockfin,Nullurchin,Waxwyrm,Ribbonape,Saltcrab,Nectarbat,Bellox,Anvilnewt,Duneskink,Kelpwidow,Pyrelisk,Mooncalf,Coppergecko,Orchardboar,Inkheron,Hooklynx,Slagjaw,Dewotter,Echofin,Latchspider,Flintroc,Oathhound
Cinderfox,0.5000,0.4514,0.5139,0.5347,0.7431,0.6806,0.3333,0.6528,0.6806,0.6944,0.0833,0.6528,0.6250,0.5972,0.5278,0.6806,0.6389,0.7083,0.4306,0.3958,0.1250,0.4861,0.3750,0.7014,0.5625,0.8819,0.5694,0.6528,0.7083,0.7569,0.2639,0.9028,0.1667,0.3472,0.8194,0.3194,0.7778,0.6250,0.5833,0.5972
Brambleback,0.5486,0.5000,0.3056,0.9861,0.0833,1.0000,0.3333,0.8611,0.2639,0.8194,0.0000,0.9722,0.1111,0.4722,0.9167,0.3611,0.7639,0.7778,0.2500,0.1528,0.0278,0.7222,0.7083,0.9583,1.0000,0.6528,0.9722,0.4167,0.1806,0.9722,0.1250,0.5347,0.0000,0.4306,0.4167,0.6667,0.2778,0.5972,0.3889,0.9722
Glasswing,0.4861,0.6944,0.5000,0.5903,0.8472,0.6250,0.6528,0.4236,0.8889,0.5903,0.1250,0.6389,0.0278,0.9861,0.2639,0.6944,0.5139,0.7083,0.4444,0.1528,0.6806,0.5417,0.1806,0.4028,0.4583,0.6806,0.3056,0.2778,0.6667,0.4931,0.2778,0.7222,0.2361,0.3472,0.5000,0.4861,0.8194,0.4236,0.7917,0.6389
Voltjack,0.4653,0.0139,0.4097,0.5000,0.4167,0.8194,0.3958,0.2778,0.3472,0.5417,0.0139,0.6111,0.0417,0.6944,0.2639,0.2778,0.7778,0.6667,0.7083,0.5139,0.1458,0.5069,0.2361,0.9306,0.6806,1.0000,0.6111,0.6875,0.5417,0.3958,0.4653,0.5278,0.3611,0.3056,0.4375,0.5556,0.6667,0.6528,0.5972,0.7500
Miretoad,0.2569,0.9167,0.1528,0.5833,0.5000,0.3194,0.2222,0.3681,0.5764,0.1250,0.0000,0.0000,0.1806,0.2222,0.3819,0.5972,0.4722,0.4028,0.3472,0.2500,0.3056,0.4722,0.3333,0.2708,0.7361,0.6528,0.4722,0.1250,0.1111,0.7778,0.2222,0.4722,0.0417,0.2917,0.2500,0.0139,0.3056,0.2083,0.2083,0.5972
Basaltusk,0.3194,0.0000,0.3750,0.1806,0.6806,0.5000,0.6250,0.0278,0.5833,0.1667,0.0000,0.1667,0.1111,0.9444,0.0000,0.0139,0.7639,0.4028,0.6667,0.8472,0.0000,0.0556,0.1528,0.0694,0.5833,0.6250,0.2222,0.8333,0.5972,0.2222,0.2222,0.1389,0.6250,0.1111,0.2431,0.0972,0.2778,0.4861,0.5972,0.2083
Rimehare,0.6667,0.6667,0.3472,0.6042,0.7778,0.3750,0.5000,0.6806,0.4444,0.3611,0.1806,0.1250,0.7778,0.3889,0.5139,0.5694,0.5972,0.9444,0.2361,0.4583,0.1806,0.5833,0.3472,0.8542,0.2500,0.5833,0.6736,0.6528,0.3889,0.0972,0.0556,0.8472,0.4306,0.2431,0.9028,0.3056,0.3681,0.4028,0.6458,0.2500
Gloamcat,0.3472,0.1389,0.5764,0.7222,0.6319,0.9722,0.3194,0.5000,0.6458,0.4722,0.1667,0.8542,0.3750,0.8889,0.5417,0.8958,0.6389,0.8542,0.6806,0.8472,0.2708,0.6597,0.1111,0.6806,0.8056,1.0000,0.3750,0.1806,0.8750,0.6250,0.4167,0.6111,0.3333,0.2500,0.6389,0.3611,0.5069,0.6250,0.9444,0.7083
Ironmoth,0.3194,0.7361,0.1111,0.6528,0.4236,0.4167,0.5556,0.3542,0.5000,0.4583,0.0000,0.4375,0.5833,0.4722,0.4792,0.5833,0.4861,0.6528,0.0694,0.1806,0.2500,0.7569,0.5694,0.7500,0.5278,0.4028,0.7778,0.3194,0.0556,0.3611,0.0139,0.6667,0.0139,0.2778,0.3056,0.4583,0.6111,0.2639,0.5417,0.5486
Tidecoil,0.3056,0.1806,0.4097,0.4583,0.8750,0.8333,0.6389,0.5278,0.5417,0.5000,0.3611,0.5139,0.6111,0.7986,0.8333,0.5000,0.9167,0.8056,0.5000,0.8681,0.3611,0.5972,0.4861,0.6528,0.9861,0.9167,0.7361,0.5417,0.5000,0.4722,0.4583,0.7500,0.5278,0.1667,0.6806,0.4167,0.4375,0.4028,0.7917,0.6944
Quillrat,0.9167,1.0000,0.8750,0.9861,1.0000,1.0000,0.8194,0.8333,1.0000,0.6389,0.5000,0.6111,0.9861,0.7222,0.4722,0.9444,0.8194,0.9167,0.5278,0.9028,0.9028,0.2222,0.8750,0.7917,0.6944,1.0000,0.6667,0.9375,0.8194,0.7500,0.2778,1.0000,0.5486,0.6944,0.9306,0.1875,0.9306,0.5833,1.0000,0.7778
Sunstag,0.3472,0.0278,0.3611,0.3889,1.0000,0.8333,0.8750,0.1458,0.5625,0.4861,0.3889,0.5000,0.4444,0.9306,0.1528,0.3194,1.0000,0.5000,0.4792,0.6806,0.4444,0.6528,0.2222,0.8056,0.7361,1.0000,0.6528,0.6806,0.5694,0.7639,0.3194,0.3750,0.6667,0.1250,0.2431,0.6944,0.6111,0.1944,0.6806,0.5000
Gravemole,0.3750,0.8889,0.9722,0.9583,0.8194,0.8889,0.2222,0.6250,0.4167,0.3889,0.0139,0.5556,0.5000,0.7222,0.2500,0.9583,0.9722,0.6944,0.5556,0.8056,0.2083,0.2292,0.4861,0.7500,0.8056,1.0000,0.1667,0.5833,0.7500,0.8611,0.3056,0.9097,0.6389,0.2917,0.8750,0.4653,0.6528,0.8056,0.9444,0.8472
Prismray,0.4028,0.5278,0.0139,0.3056,0.7778,0.0556,0.6111,0.1111,0.5278,0.2014,0.2778,0.0694,0.2778,0.5000,0.0139,0.4444,0.5417,0.5764,0.2639,0.1667,0.2708,0.5000,0.1111,0.3194,0.0139,0.2778,0.2083,0.4722,0.4861,0.0278,0.1597,0.7153,0.3056,0.0139,0.3194,0.7083,0.7917,0.4444,0.3056,0.0278
Thornmantis,0.4722,0.0833,0.7361,0.7361,0.6181,1.0000,0.4861,0.4583,0.5208,0.1667,0.5278,0.8472,0.7500,0.9861,0.5000,0.8889,0.9722,0.9167,0.7292,0.9722,0.5417,0.4861,0.8333,0.7569,0.9444,1.0000,0.8056,0.9583,0.7500,0.7083,0.6528,0.9722,0.8889,0.3472,0.9306,0.3750,0.5833,0.8611,0.9583,0.9444
Mosswarden,0.3194,0.6389,0.3056,0.7222,0.4028,0.9861,0.4306,0.1042,0.4167,0.5000,0.0556,0.6806,0.0417,0.5556,0.1111,0.5000,0.9583,0.2500,0.7361,0.1389,0.0694,0.7500,0.2778,0.5833,0.9167,0.9444,0.8889,0.7778,0.0694,0.8056,0.5694,0.3194,0.0972,0.4097,0.1458,0.9028,0.7083,0.8333,0.6528,0.9028
Galecrest,0.3611,0.2361,0.4861,0.2222,0.5278,0.2361,0.4028,0.3611,0.5139,0.0833,0.1806,0.0000,0.0278,0.4583,0.0278,0.0417,0.5000,0.6042,0.1806,0.4097,0.1389,0.4028,0.0278,0.2639,0.1250,0.4583,0.2083,0.5972,0.3750,0.0833,0.1944,0.5139,0.1458,0.0972,0.3889,0.0694,0.5486,0.2153,0.3750,0.0764
Ashram,0.2917,0.2222,0.2917,0.3333,0.5972,0.5972,0.0556,0.1458,0.3472,0.1944,0.0833,0.5000,0.3056,0.4236,0.0833,0.7500,0.3958,0.5000,0.5903,0.7222,0.0278,0.3333,0.1389,0.3333,0.8889,0.9514,0.2361,0.1806,0.4167,0.3472,0.2708,0.3889,0.1528,0.3472,0.2708,0.0556,0.2083,0.3681,0.6111,0.7222
Clockfin,0.5694,0.7500,0.5556,0.2917,0.6528,0.3333,0.7639,0.3194,0.9306,0.5000,0.4722,0.5208,0.4444,0.7361,0.2708,0.2639,0.8194,0.4097,0.5000,0.7083,0.8333,0.5000,0.2361,0.5833,0.2569,0.8194,0.5625,0.6806,0.8056,0.4861,0.2222,0.5972,0.6111,0.7083,0.4722,0.6736,0.9306,0.5694,0.9306,0.2083
Nullurchin,0.6042,0.8472,0.8472,0.4861,0.7500,0.1528,0.5417,0.1528,0.8194,0.1319,0.0972,0.3194,0.1944,0.8333,0.0278,0.8611,0.5903,0.2778,0.2917,0.5000,0.7361,0.3750,0.2500,0.5694,0.4236,0.9167,0.6458,0.7292,0.2569,0.7222,0.5069,0.7500,0.8125,0.6111,0.4167,0.5833,0.6875,0.1458,0.5556,0.2639
Waxwyrm,0.8750,0.9722,0.3194,0.8542,0.6944,1.0000,0.8194,0.7292,0.7500,0.6389,0.0972,0.5556,0.7917,0.7292,0.4583,0.9306,0.8611,0.9722,0.1667,0.2639,0.5000,0.5903,0.8472,0.8611,0.6806,0.9722,0.9444,0.7708,0.3194,0.8611,0.1389,0.9306,0.1111,0.3750,0.9167,0.7083,0.7361,0.6667,0.7778,0.5972
Ribbonape,0.5139,0.2778,0.4583,0.4931,0.5278,0.9444,0.4167,0.3403,0.2431,0.4028,0.7778,0.3472,0.7708,0.5000,0.5139,0.2500,0.5972,0.6667,0.5000,0.6250,0.4097,0.5000,0.3333,0.7153,0.5139,0.9167,0.3125,0.3542,0.5625,0.4444,0.0556,0.3750,0.5000,0.2222,0.6528,0.2917,0.4444,0.3472,0.7986,0.6389
Saltcrab,0.6250,0.2917,0.8194,0.7639,0.6667,0.8472,0.6528,0.8889,0.4306,0.5139,0.1250,0.7778,0.5139,0.8889,0.1667,0.7222,0.9722,0.8611,0.7639,0.7500,0.1528,0.6667,0.5000,0.3958,0.9306,1.0000,0.9722,0.7917,0.8333,0.8750,0.7917,0.7361,0.6111,0.5278,0.7917,0.4444,0.9028,0.8194,0.7361,0.9167
Nectarbat,0.2986,0.0417,0.5972,0.0694,0.7292,0.9306,0.1458,0.3194,0.2500,0.3472,0.2083,0.1944,0.2500,0.6806,0.2431,0.4167,0.7361,0.6667,0.4167,0.4306,0.1389,0.2847,0.6042,0.5000,0.1667,0.9306,0.2153,0.1597,0.5556,0.2847,0.1250,0.5139,0.2083,0.2431,0.6181,0.2778,0.4028,0.4444,0.6944,0.3333
Bellox,0.4375,0.0000,0.5417,0.3194,0.2639,0.4167,0.7500,0.1944,0.4722,0.0139,0.3056,0.2639,0.1944,0.9861,0.0556,0.0833,0.8750,0.1111,0.7431,0.5764,0.3194,0.4861,0.0694,0.8333,0.5000,0.9306,0.8472,0.5556,0.5139,0.3611,0.4028,0.2778,0.9167,0.1389,0.0833,0.2917,0.7222,0.6389,0.7500,0.0833
Anvilnewt,0.1181,0.3472,0.3194,0.0000,0.3472,0.3750,0.4167,0.0000,0.5972,0.0833,0.0000,0.0000,0.0000,0.7222,0.0000,0.0556,0.5417,0.0486,0.1806,0.0833,0.0278,0.0833,0.0000,0.0694,0.0694,0.5000,0.1528,0.7361,0.3611,0.1389,0.0833,0.2361,0.0694,0.0694,0.1181,0.2639,0.3333,0.5694,0.4861,0.1250
Duneskink,0.4306,0.0278,0.6944,0.3889,0.5278,0.7778,0.3264,0.6250,0.2222,0.2639,0.3333,0.3472,0.8333,0.7917,0.1944,0.1111,0.7917,0.7639,0.4375,0.3542,0.0556,0.6875,0.0278,0.7847,0.1528,0.8472,0.5000,0.4167,0.3056,0.1806,0.2361,0.3194,0.1111,0.4028,0.2917,0.3194,0.3403,0.5833,0.7361,0.1944
Kelpwidow,0.3472,0.5833,0.7222,0.3125,0.8750,0.1667,0.3472,0.8194,0.6806,0.4583,0.0625,0.3194,0.4167,0.5278,0.0417,0.2222,0.4028,0.8194,0.3194,0.2708,0.2292,0.6458,0.2083,0.8403,0.4444,0.2639,0.5833,0.5000,0.4861,0.2222,0.4514,0.6528,0.2500,0.2014,0.3750,0.3333,0.7361,0.4861,0.2083,0.2917
Pyrelisk,0.2917,0.8194,0.3333,0.4583,0.8889,0.4028,0.6111,0.1250,0.9444,0.5000,0.1806,0.4306,0.2500,0.5139,0.2500,0.9306,0.6250,0.5833,0.1944,0.7431,0.6806,0.4375,0.1667,0.4444,0.4861,0.6389,0.6944,0.5139,0.5000,0.5625,0.4306,0.9583,0.3194,0.0972,0.6667,0.6111,0.9167,0.4167,0.8889,0.4722
Mooncalf,0.2431,0.0278,0.5069,0.6042,0.2222,0.7778,0.9028,0.3750,0.6389,0.5278,0.2500,0.2361,0.1389,0.9722,0.2917,0.1944,0.9167,0.6528,0.5139,0.2778,0.1389,0.5556,0.1250,0.7153,0.6389,0.8611,0.8194,0.7778,0.4375,0.5000,0.3333,0.3681,0.9444,0.2222,0.3611,0.5139,0.7222,0.4722,0.8750,0.6597
Coppergecko,0.7361,0.8750,0.7222,0.5347,0.7778,0.7778,0.9444,0.5833,0.9861,0.5417,0.7222,0.6806,0.6944,0.8403,0.3472,0.4306,0.8056,0.7292,0.7778,0.4931,0.8611,0.9444,0.2083,0.8750,0.5972,0.9167,0.7639,0.5486,0.5694,0.6667,0.5000,0.7361,0.7014,0.6042,0.7083,0.7500,0.9306,0.3889,0.9028,0.7917
Orchardboar,0.0972,0.4653,0.2778,0.4722,0.5278,0.8611,0.1528,0.3889,0.3333,0.2500,0.0000,0.6250,0.0903,0.2847,0.0278,0.6806,0.4861,0.6111,0.4028,0.2500,0.0694,0.6250,0.2639,0.4861,0.7222,0.7639,0.6806,0.3472,0.0417,0.6319,0.2639,0.5000,0.0417,0.3194,0.1389,0.2778,0.4167,0.4306,0.3194,0.8333
Inkheron,0.8333,1.0000,0.7639,0.6389,0.9583,0.3750,0.5694,0.6667,0.9861,0.4722,0.4514,0.3333,0.3611,0.6944,0.1111,0.9028,0.8542,0.8472,0.3889,0.1875,0.8889,0.5000,0.3889,0.7917,0.0833,0.9306,0.8889,0.7500,0.6806,0.0556,0.2986,0.9583,0.5000,0.1736,0.8333,0.7222,0.9028,0.4444,0.7986,0.3056
Hooklynx,0.6528,0.5694,0.6528,0.6944,0.7083,0.8889,0.7569,0.7500,0.7222,0.8333,0.3056,0.8750,0.7083,0.9861,0.6528,0.5903,0.9028,0.6528,0.2917,0.3889,0.6250,0.7778,0.4722,0.7569,0.8611,0.9306,0.5972,0.7986,0.9028,0.7778,0.3958,0.6806,0.8264,0.5000,0.4861,0.6111,0.7917,0.7708,0.6667,0.9583
Slagjaw,0.1806,0.5833,0.5000,0.5625,0.7500,0.7569,0.0972,0.3611,0.6944,0.3194,0.0694,0.7569,0.1250,0.6806,0.0694,0.8542,0.6111,0.7292,0.5278,0.5833,0.0833,0.3472,0.2083,0.3819,0.9167,0.8819,0.7083,0.6250,0.3333,0.6389,0.2917,0.8611,0.1667,0.5139,0.5000,0.1806,0.6736,0.3264,0.5764,0.8611
Dewotter,0.6806,0.3333,0.5139,0.4444,0.9861,0.9028,0.6944,0.6389,0.5417,0.5833,0.8125,0.3056,0.5347,0.2917,0.6250,0.0972,0.9306,0.9444,0.3264,0.4167,0.2917,0.7083,0.5556,0.7222,0.7083,0.7361,0.6806,0.6667,0.3889,0.4861,0.2500,0.7222,0.2778,0.3889,0.8194,0.5000,0.6111,0.6667,0.5833,0.5278
Echofin,0.2222,0.7222,0.1806,0.3333,0.6944,0.7222,0.6319,0.4931,0.3889,0.5625,0.0694,0.3889,0.3472,0.2083,0.4167,0.2917,0.4514,0.7917,0.0694,0.3125,0.2639,0.5556,0.0972,0.5972,0.2778,0.6667,0.6597,0.2639,0.0833,0.2778,0.0694,0.5833,0.0972,0.2083,0.3264,0.3889,0.5000,0.1528,0.4444,0.2917
Latchspider,0.3750,0.4028,0.5764,0.3472,0.7917,0.5139,0.5972,0.3750,0.7361,0.5972,0.4167,0.8056,0.1944,0.5556,0.1389,0.1667,0.7847,0.6319,0.4306,0.8542,0.3333,0.6528,0.1806,0.5556,0.3611,0.4306,0.4167,0.5139,0.5833,0.5278,0.6111,0.5694,0.5556,0.2292,0.6736,0.3333,0.8472,0.5000,0.6944,0.5208
Flintroc,0.4167,0.6111,0.2083,0.4028,0.7917,0.4028,0.3542,0.0556,0.4583,0.2083,0.0000,0.3194,0.0556,0.6944,0.0417,0.3472,0.6250,0.3889,0.0694,0.4444,0.2222,0.2014,0.2639,0.3056,0.2500,0.5139,0.2639,0.7917,0.1111,0.1250,0.0972,0.6806,0.2014,0.3333,0.4236,0.4167,0.5556,0.3056,0.5000,0.1528
Oathhound,0.4028,0.0278,0.3611,0.2500,0.4028,0.7917,0.7500,0.2917,0.4514,0.3056,0.2222,0.5000,0.1528,0.9722,0.0556,0.0972,0.9236,0.2778,0.7917,0.7361,0.4028,0.3611,0.0833,0.6667,0.9167,0.8750,0.8056,0.7083,0.5278,0.3403,0.2083,0.1667,0.6944,0.0417,0.1389,0.4722,0.7083,0.4792,0.8472,0.5000
