a,b,seed,weather,arena,style_a,style_b,winner,ticks,reason,hp_a,hp_b,control_a,control_b,overflow
0,1,2000,0,0,0,1,1,634,1,0,36,23,0,0
1,0,2000,0,0,1,0,0,634,1,36,0,0,23,0
0,1,2001,1,0,0,1,0,1009,1,6,0,214,95,0
1,0,2001,1,0,1,0,1,649,1,0,9,55,71,0
0,1,2002,2,0,0,1,1,705,1,0,46,126,109,0
1,0,2002,2,0,1,0,0,748,1,24,0,0,5,0
0,1,2003,0,1,0,1,0,697,1,66,0,38,46,0
1,0,2003,0,1,1,0,1,697,1,0,66,46,38,0
0,1,2004,1,1,0,1,1,931,1,0,12,137,119,0
1,0,2004,1,1,1,0,0,766,1,28,0,63,246,0
0,1,2005,2,1,0,1,0,1020,1,84,0,195,106,0
1,0,2005,2,1,1,0,1,1074,1,0,19,0,44,0
0,1,2006,0,2,0,1,1,682,1,0,33,0,0,0
1,0,2006,0,2,1,0,0,682,1,33,0,0,0,0
0,1,2007,1,2,0,1,-1,658,1,0,0,101,40,0
1,0,2007,1,2,1,0,0,607,1,13,0,0,57,0
0,1,2008,2,2,0,1,0,697,1,57,0,40,0,0
1,0,2008,2,2,1,0,0,739,1,72,0,30,88,0
0,1,2009,0,0,1,2,1,646,1,0,17,207,30,0
1,0,2009,0,0,2,1,0,646,1,17,0,30,207,0
0,1,2010,1,0,1,2,1,925,1,0,3,94,185,0
1,0,2010,1,0,2,1,0,829,1,29,0,155,120,0
0,1,2011,2,0,1,2,0,588,1,47,0,37,38,0
1,0,2011,2,0,2,1,0,1157,1,12,0,80,182,0
0,1,2012,0,1,1,2,0,707,1,6,0,19,0,0
1,0,2012,0,1,2,1,1,707,1,0,6,0,19,0
0,1,2013,1,1,1,2,1,658,1,0,5,46,114,0
1,0,2013,1,1,2,1,1,750,1,0,41,0,25,0
0,1,2014,2,1,1,2,0,868,1,14,0,53,16,0
1,0,2014,2,1,2,1,0,1033,1,70,0,137,100,0
0,1,2015,0,2,1,2,1,592,1,0,23,0,0,0
1,0,2015,0,2,2,1,0,592,1,23,0,0,0,0
0,1,2016,1,2,1,2,0,810,1,1,0,83,63,0
1,0,2016,1,2,2,1,0,709,1,61,0,130,179,0
0,1,2017,2,2,1,2,0,930,1,34,0,69,0,0
1,0,2017,2,2,2,1,1,752,1,0,8,191,180,0
0,1,2018,0,0,2,3,1,670,1,0,35,94,70,0
1,0,2018,0,0,3,2,0,670,1,35,0,70,94,0
0,1,2019,1,0,2,3,0,1006,1,43,0,147,208,0
1,0,2019,1,0,3,2,1,682,1,0,10,148,48,0
0,1,2020,2,0,2,3,0,736,1,10,0,135,66,0
1,0,2020,2,0,3,2,0,1069,1,34,0,263,123,0
0,1,2021,0,1,2,3,1,1063,1,0,52,87,176,0
1,0,2021,0,1,3,2,0,1063,1,52,0,176,87,0
0,1,2022,1,1,2,3,0,655,1,50,0,81,0,0
1,0,2022,1,1,3,2,0,990,1,2,0,273,243,0
0,1,2023,2,1,2,3,0,1003,1,56,0,152,344,0
1,0,2023,2,1,3,2,0,985,1,60,0,190,138,0
0,1,2024,0,2,2,3,0,628,1,17,0,79,108,0
1,0,2024,0,2,3,2,1,628,1,0,17,108,79,0
0,1,2025,1,2,2,3,0,692,1,21,0,134,50,0
1,0,2025,1,2,3,2,1,727,1,0,20,167,81,0
0,1,2026,2,2,2,3,1,919,1,0,11,207,175,0
1,0,2026,2,2,3,2,1,570,1,0,40,101,82,0
0,1,2027,0,0,3,0,1,880,1,0,107,150,43,0
1,0,2027,0,0,0,3,0,880,1,107,0,43,150,0
0,1,2028,1,0,3,0,1,670,1,0,6,63,39,0
1,0,2028,1,0,0,3,0,705,1,34,0,0,298,0
0,1,2029,2,0,3,0,0,986,1,11,0,154,59,0
1,0,2029,2,0,0,3,0,637,1,29,0,156,74,0
0,1,2030,0,1,3,0,1,1003,1,0,9,436,5,0
1,0,2030,0,1,0,3,0,1003,1,9,0,5,436,0
0,1,2031,1,1,3,0,1,562,1,0,60,179,0,0
1,0,2031,1,1,0,3,0,718,1,13,0,0,89,0
0,1,2032,2,1,3,0,1,1240,1,0,20,373,80,0
1,0,2032,2,1,0,3,1,1787,1,0,49,149,221,0
0,1,2033,0,2,3,0,0,546,1,47,0,68,87,0
1,0,2033,0,2,0,3,1,546,1,0,47,87,68,0
0,1,2034,1,2,3,0,0,416,1,44,0,129,0,0
1,0,2034,1,2,0,3,1,525,1,0,1,0,49,0
0,1,2035,2,2,3,0,0,1065,1,43,0,272,42,0
1,0,2035,2,2,0,3,0,844,1,43,0,188,5,0
0,2,2000,0,0,0,1,1,122,1,0,61,43,0,0
2,0,2000,0,0,1,0,0,122,1,61,0,0,43,0
0,2,2001,1,0,0,1,1,122,1,0,45,43,0,0
2,0,2001,1,0,1,0,0,122,1,45,0,0,43,0
0,2,2002,2,0,0,1,1,122,1,0,45,43,0,0
2,0,2002,2,0,1,0,0,122,1,45,0,0,43,0
0,2,2003,0,1,0,1,1,122,1,0,61,43,0,0
2,0,2003,0,1,1,0,0,122,1,61,0,0,43,0
0,2,2004,1,1,0,1,0,410,1,13,0,69,31,0
2,0,2004,1,1,1,0,1,313,1,0,45,14,43,0
0,2,2005,2,1,0,1,1,355,1,0,18,39,0,0
2,0,2005,2,1,1,0,0,355,1,2,0,0,39,0
0,2,2006,0,2,0,1,0,254,1,34,0,38,42,0
2,0,2006,0,2,1,0,1,254,1,0,34,42,38,0
0,2,2007,1,2,0,1,0,255,1,23,0,39,43,0
2,0,2007,1,2,1,0,1,227,1,0,45,0,39,0
0,2,2008,2,2,0,1,0,337,1,21,0,38,0,0
2,0,2008,2,2,1,0,1,337,1,0,59,0,38,0
0,2,2009,0,0,1,2,0,179,1,23,0,67,0,0
2,0,2009,0,0,2,1,1,179,1,0,23,0,67,0
0,2,2010,1,0,1,2,0,210,1,31,0,68,0,0
2,0,2010,1,0,2,1,0,223,1,23,0,0,68,0
0,2,2011,2,0,1,2,0,220,1,32,0,68,0,0
2,0,2011,2,0,2,1,0,226,1,21,0,0,68,0
0,2,2012,0,1,1,2,1,223,1,0,16,68,0,0
2,0,2012,0,1,2,1,0,223,1,16,0,0,68,0
0,2,2013,1,1,1,2,1,223,1,0,16,68,0,0
2,0,2013,1,1,2,1,0,223,1,38,0,0,68,0
0,2,2014,2,1,1,2,1,223,1,0,18,67,0,0
2,0,2014,2,1,2,1,0,223,1,38,0,0,67,0
0,2,2015,0,2,1,2,1,202,1,0,1,67,0,0
2,0,2015,0,2,2,1,0,202,1,1,0,0,67,0
0,2,2016,1,2,1,2,0,210,1,31,0,68,0,0
2,0,2016,1,2,2,1,0,223,1,37,0,0,68,0
0,2,2017,2,2,1,2,1,226,1,0,9,69,0,0
2,0,2017,2,2,2,1,0,226,1,43,0,0,69,0
0,2,2018,0,0,2,3,0,252,1,18,0,67,0,0
2,0,2018,0,0,3,2,1,252,1,0,18,0,67,0
0,2,2019,1,0,2,3,0,175,1,41,0,67,0,0
2,0,2019,1,0,3,2,0,325,1,33,0,0,67,0
0,2,2020,2,0,2,3,1,295,1,0,4,66,67,0
2,0,2020,2,0,3,2,1,307,1,0,2,78,66,0
0,2,2021,0,1,2,3,0,174,1,29,0,64,0,0
2,0,2021,0,1,3,2,1,174,1,0,29,0,64,0
0,2,2022,1,1,2,3,1,247,1,0,5,64,0,0
2,0,2022,1,1,3,2,1,281,1,0,2,0,64,0
0,2,2023,2,1,2,3,1,259,1,0,15,68,0,0
2,0,2023,2,1,3,2,0,259,1,35,0,0,68,0
0,2,2024,0,2,2,3,0,236,1,21,0,67,0,0
2,0,2024,0,2,3,2,1,236,1,0,21,0,67,0
0,2,2025,1,2,2,3,0,175,1,32,0,67,0,0
2,0,2025,1,2,3,2,0,238,1,12,0,0,67,0
0,2,2026,2,2,2,3,0,256,1,10,0,67,0,0
2,0,2026,2,2,3,2,1,297,1,0,7,0,67,0
0,2,2027,0,0,3,0,0,237,1,14,0,92,0,0
2,0,2027,0,0,0,3,1,237,1,0,14,0,92,0
0,2,2028,1,0,3,0,0,237,1,24,0,91,0,0
2,0,2028,1,0,0,3,0,238,1,15,0,0,91,0
0,2,2029,2,0,3,0,0,337,1,15,0,69,0,0
2,0,2029,2,0,0,3,1,433,1,0,7,0,69,0
0,2,2030,0,1,3,0,0,202,1,15,0,68,0,0
2,0,2030,0,1,0,3,1,202,1,0,15,0,68,0
0,2,2031,1,1,3,0,0,202,1,25,0,72,0,0
2,0,2031,1,1,0,3,0,223,1,18,0,0,72,0
0,2,2032,2,1,3,0,1,271,1,0,11,68,0,0
2,0,2032,2,1,0,3,0,223,1,59,0,0,68,0
0,2,2033,0,2,3,0,0,181,1,23,0,67,0,0
2,0,2033,0,2,0,3,1,181,1,0,23,0,67,0
0,2,2034,1,2,3,0,0,180,1,32,0,67,0,0
2,0,2034,1,2,0,3,0,195,1,42,0,0,67,0
0,2,2035,2,2,3,0,0,239,1,1,0,69,0,0
2,0,2035,2,2,0,3,0,223,1,34,0,0,69,0
0,3,2000,0,0,0,1,0,525,1,19,0,43,57,0
3,0,2000,0,0,1,0,1,525,1,0,19,57,43,0
0,3,2001,1,0,0,1,0,576,1,15,0,31,18,0
3,0,2001,1,0,1,0,1,517,1,0,31,38,4,0
0,3,2002,2,0,0,1,0,471,1,24,0,5,0,0
3,0,2002,2,0,1,0,0,456,1,41,0,42,0,0
0,3,2003,0,1,0,1,1,601,1,0,22,43,93,0
3,0,2003,0,1,1,0,0,601,1,22,0,93,43,0
0,3,2004,1,1,0,1,0,395,1,61,0,0,21,0
3,0,2004,1,1,1,0,0,519,1,26,0,3,5,0
0,3,2005,2,1,0,1,0,480,1,12,0,94,17,0
3,0,2005,2,1,1,0,0,510,1,36,0,27,88,0
0,3,2006,0,2,0,1,1,582,1,0,24,7,16,0
3,0,2006,0,2,1,0,0,582,1,24,0,16,7,0
0,3,2007,1,2,0,1,1,513,1,0,7,20,10,0
3,0,2007,1,2,1,0,0,455,1,22,0,4,1,0
0,3,2008,2,2,0,1,0,630,1,34,0,31,0,0
3,0,2008,2,2,1,0,0,298,1,43,0,17,0,0
0,3,2009,0,0,1,2,0,532,1,28,0,46,22,0
3,0,2009,0,0,2,1,1,532,1,0,28,22,46,0
0,3,2010,1,0,1,2,0,529,1,12,0,0,28,0
3,0,2010,1,0,2,1,0,687,1,13,0,15,0,0
0,3,2011,2,0,1,2,1,776,1,0,11,0,37,0
3,0,2011,2,0,2,1,0,543,1,37,0,4,128,0
0,3,2012,0,1,1,2,1,663,1,0,6,95,57,0
3,0,2012,0,1,2,1,0,663,1,6,0,57,95,0
0,3,2013,1,1,1,2,0,631,1,9,0,38,31,0
3,0,2013,1,1,2,1,0,585,1,39,0,18,53,0
0,3,2014,2,1,1,2,1,445,1,0,13,48,120,0
3,0,2014,2,1,2,1,1,562,1,0,1,16,64,0
0,3,2015,0,2,1,2,0,370,1,27,0,0,0,0
3,0,2015,0,2,2,1,1,370,1,0,27,0,0,0
0,3,2016,1,2,1,2,0,504,1,17,0,10,20,0
3,0,2016,1,2,2,1,1,545,1,0,9,4,16,0
0,3,2017,2,2,1,2,1,591,1,0,35,7,22,0
3,0,2017,2,2,2,1,0,394,1,85,0,26,11,0
0,3,2018,0,0,2,3,0,539,1,16,0,34,97,0
3,0,2018,0,0,3,2,1,539,1,0,16,97,34,0
0,3,2019,1,0,2,3,0,930,1,84,0,137,153,0
3,0,2019,1,0,3,2,0,585,1,10,0,41,48,0
0,3,2020,2,0,2,3,0,796,1,21,0,17,149,0
3,0,2020,2,0,3,2,0,405,1,27,0,95,36,0
0,3,2021,0,1,2,3,0,471,1,39,0,14,22,0
3,0,2021,0,1,3,2,1,471,1,0,39,22,14,0
0,3,2022,1,1,2,3,0,543,1,43,0,92,71,0
3,0,2022,1,1,3,2,1,383,1,0,39,54,0,0
0,3,2023,2,1,2,3,1,519,1,0,46,115,33,0
3,0,2023,2,1,3,2,0,615,1,47,0,132,81,0
0,3,2024,0,2,2,3,0,608,1,17,0,0,35,0
3,0,2024,0,2,3,2,1,608,1,0,17,35,0,0
0,3,2025,1,2,2,3,0,451,1,19,0,42,81,0
3,0,2025,1,2,3,2,1,537,1,0,5,27,0,0
0,3,2026,2,2,2,3,-1,476,1,0,0,42,93,0
3,0,2026,2,2,3,2,0,651,1,23,0,123,53,0
0,3,2027,0,0,3,0,1,456,1,0,10,28,7,0
3,0,2027,0,0,0,3,0,456,1,10,0,7,28,0
0,3,2028,1,0,3,0,0,454,1,19,0,0,0,0
3,0,2028,1,0,0,3,0,596,1,28,0,27,151,0
