case,species,opponent,arena,weather,seed,seat,style,score,ticks,reason,own_hp,enemy_hp,casts,energy_spent,overflow
0,0,17,0,0,1900000000,0,0,0,2051,1,0,44,30,5620,0
0,0,17,0,0,1900000000,1,0,0,2223,2,47,75,24,4530,0
1,1,18,1,1,1900000001,0,1,0,2573,1,0,96,43,8090,0
1,1,18,1,1,1900000001,1,1,0,2700,3,68,85,44,8260,0
2,2,19,2,2,1900000002,0,2,1,400,1,26,0,7,1500,0
2,2,19,2,2,1900000002,1,2,0,1532,1,0,50,24,5000,0
3,3,20,3,0,1900000003,0,3,0,1597,1,0,90,26,4900,0
3,3,20,3,0,1900000003,1,3,0,986,2,3,102,16,2840,0
4,4,21,4,1,1900000004,0,0,0,696,2,123,124,0,0,0
4,4,21,4,1,1900000004,1,0,0,1212,1,0,110,20,3880,0
5,5,22,5,2,1900000005,0,1,0,2491,1,0,175,1,200,0
5,5,22,5,2,1900000005,1,1,0,2401,1,0,175,1,200,0
6,6,23,0,0,1900000006,0,2,0,1900,2,18,105,24,4620,0
6,6,23,0,0,1900000006,1,2,0,1255,2,83,95,13,2580,0
7,7,24,1,1,1900000007,0,3,0,1238,1,0,65,23,4030,0
7,7,24,1,1,1900000007,1,3,0,760,1,0,75,15,2590,0
8,8,25,2,2,1900000008,0,0,0,1319,1,0,50,22,4280,0
8,8,25,2,2,1900000008,1,0,0,2700,3,3,41,44,8590,0
9,9,26,3,0,1900000009,0,1,0,740,2,149,108,0,0,0
9,9,26,3,0,1900000009,1,1,0,1996,1,0,108,24,4840,0
10,10,27,4,1,1900000010,0,2,0,838,2,124,145,0,0,0
10,10,27,4,1,1900000010,1,2,0,1832,2,70,110,23,4420,0
11,11,28,5,2,1900000011,0,3,0,2371,1,0,111,0,0,0
11,11,28,5,2,1900000011,1,3,0,2371,1,0,111,0,0,0
12,12,29,0,0,1900000012,0,0,0,2168,1,0,9,37,7240,0
12,12,29,0,0,1900000012,1,0,0,2700,3,69,3,43,8670,0
13,13,30,1,1,1900000013,0,1,0,290,1,0,77,6,1250,0
13,13,30,1,1,1900000013,1,1,0,356,1,0,40,7,1420,0
14,14,31,2,2,1900000014,0,2,0,1603,1,0,66,27,5160,0
14,14,31,2,2,1900000014,1,2,0,1222,1,0,53,23,4200,0
15,15,32,3,0,1900000015,0,3,0,1167,2,84,121,0,0,0
15,15,32,3,0,1900000015,1,3,0,662,1,0,121,0,0,0
16,16,33,4,1,1900000016,0,0,0,1781,1,0,22,29,6010,0
16,16,33,4,1,1900000016,1,0,0,250,1,0,83,5,1060,0
