case,species,opponent,arena,weather,seed,seat,style,score,ticks,reason,own_hp,enemy_hp,casts,energy_spent,overflow
0,0,17,0,0,1900000000,0,0,1,1137,1,15,0,22,3830,0
0,0,17,0,0,1900000000,1,0,0,1478,1,0,28,27,5000,0
1,1,18,1,1,1900000001,0,1,0,2507,2,72,30,46,7760,0
1,1,18,1,1,1900000001,1,1,0,2142,2,8,15,39,6670,0
2,2,19,2,2,1900000002,0,2,1,259,1,77,0,6,1230,0
2,2,19,2,2,1900000002,1,2,1,263,1,17,0,6,1230,0
3,3,20,3,0,1900000003,0,3,0,1288,1,0,25,24,4140,0
3,3,20,3,0,1900000003,1,3,0,471,1,0,98,10,1830,0
4,4,21,4,1,1900000004,0,0,0,834,1,0,84,16,2930,0
4,4,21,4,1,1900000004,1,0,0,1009,1,0,58,21,3760,0
5,5,22,5,2,1900000005,0,1,1,1630,1,5,0,29,5000,0
5,5,22,5,2,1900000005,1,1,1,1816,1,7,0,32,5640,0
6,6,23,0,0,1900000006,0,2,0,2309,1,0,59,40,7520,0
6,6,23,0,0,1900000006,1,2,1,1174,1,66,0,21,4000,0
7,7,24,1,1,1900000007,0,3,0,1090,1,0,35,23,3460,0
7,7,24,1,1,1900000007,1,3,0,1531,1,0,45,30,4930,0
8,8,25,2,2,1900000008,0,0,0,2429,1,0,35,39,8000,0
8,8,25,2,2,1900000008,1,0,0,1733,1,0,2,31,5860,0
9,9,26,3,0,1900000009,0,1,0,2297,1,0,39,39,7200,0
9,9,26,3,0,1900000009,1,1,0,2687,1,0,85,44,8440,0
10,10,27,4,1,1900000010,0,2,0,2700,3,60,5,48,8620,0
10,10,27,4,1,1900000010,1,2,0,1520,1,0,66,28,5090,0
11,11,28,5,2,1900000011,0,3,0,1402,1,0,93,21,4680,0
11,11,28,5,2,1900000011,1,3,0,1237,1,0,57,20,4160,0
12,12,29,0,0,1900000012,0,0,1,1769,1,83,0,30,6030,0
12,12,29,0,0,1900000012,1,0,1,1660,1,80,0,27,5830,0
