case,species,opponent,arena,weather,seed,seat,style,score,ticks,reason,own_hp,enemy_hp,casts,energy_spent,overflow
0,0,17,0,0,1900000000,0,0,0,335,1,0,118,10,1610,0
0,0,17,0,0,1900000000,1,0,0,394,1,0,98,11,1730,0
1,1,18,1,1,1900000001,0,1,0,1892,2,96,129,42,5370,0
1,1,18,1,1,1900000001,1,1,0,2064,2,60,129,46,5850,0
2,2,19,2,2,1900000002,0,2,0,518,1,0,132,10,2160,0
2,2,19,2,2,1900000002,1,2,0,379,1,0,132,8,1700,0
3,3,20,3,0,1900000003,0,3,0,816,2,99,90,17,3120,0
3,3,20,3,0,1900000003,1,3,0,816,2,50,90,13,2470,0
4,4,21,4,1,1900000004,0,0,0,1865,1,0,124,44,5840,0
4,4,21,4,1,1900000004,1,0,0,1121,1,0,124,27,3800,0
5,5,22,5,2,1900000005,0,1,0,2491,1,0,175,53,7040,0
5,5,22,5,2,1900000005,1,1,0,1582,2,141,175,34,4760,0
6,6,23,0,0,1900000006,0,2,0,1858,2,49,97,35,6210,0
6,6,23,0,0,1900000006,1,2,0,1619,2,85,91,30,5360,0
7,7,24,1,1,1900000007,0,3,0,405,1,0,125,11,1790,0
7,7,24,1,1,1900000007,1,3,0,1349,1,0,125,30,4070,0
8,8,25,2,2,1900000008,0,0,0,515,1,0,104,13,1970,0
8,8,25,2,2,1900000008,1,0,0,523,1,0,104,14,2090,0
9,9,26,3,0,1900000009,0,1,0,752,1,0,108,17,2670,0
9,9,26,3,0,1900000009,1,1,0,1919,1,0,108,42,5590,0
10,10,27,4,1,1900000010,0,2,0,866,1,0,145,17,3160,0
10,10,27,4,1,1900000010,1,2,0,590,1,0,145,13,2480,0
11,11,28,5,2,1900000011,0,3,0,2700,3,27,111,58,7520,0
11,11,28,5,2,1900000011,1,3,0,2476,1,0,111,53,6920,0
12,12,29,0,0,1900000012,0,0,0,2467,2,25,102,53,6870,0
12,12,29,0,0,1900000012,1,0,0,2048,1,0,102,45,5910,0
13,13,30,1,1,1900000013,0,1,0,1456,1,0,68,27,4850,0
13,13,30,1,1,1900000013,1,1,0,371,1,0,119,9,1790,0
14,14,31,2,2,1900000014,0,2,0,2616,2,68,132,57,7240,0
14,14,31,2,2,1900000014,1,2,0,1757,2,80,132,39,5160,0
15,15,32,3,0,1900000015,0,3,0,793,2,114,121,19,2610,0
15,15,32,3,0,1900000015,1,3,0,793,2,118,121,19,2610,0
16,16,33,4,1,1900000016,0,0,0,533,1,0,152,11,2380,0
16,16,33,4,1,1900000016,1,0,0,583,1,0,152,12,2550,0
17,17,34,5,2,1900000017,0,1,0,1594,1,0,140,38,4320,0
17,17,34,5,2,1900000017,1,1,0,1612,1,0,140,39,4520,0
18,18,35,0,0,1900000018,0,2,0,693,1,0,101,14,2470,0
18,18,35,0,0,1900000018,1,2,0,547,1,0,101,12,2210,0
19,19,36,1,1,1900000019,0,3,0,781,2,60,93,16,3020,0
19,19,36,1,1,1900000019,1,3,0,501,1,0,93,11,2170,0
20,20,37,2,2,1900000020,0,0,0,1062,1,0,143,21,3790,0
20,20,37,2,2,1900000020,1,0,0,1817,1,0,132,34,6000,0
21,21,38,3,0,1900000021,0,1,0,655,1,0,104,16,2440,0
21,21,38,3,0,1900000021,1,1,0,682,1,0,86,14,2300,0
22,22,39,4,1,1900000022,0,2,0,2203,1,0,114,41,8420,0
22,22,39,4,1,1900000022,1,2,0,1442,1,0,114,27,5620,0
23,23,0,5,2,1900000023,0,3,0,848,2,90,113,18,2700,0
23,23,0,5,2,1900000023,1,3,0,837,2,105,113,18,2800,0
24,24,1,0,0,1900000024,0,0,0,740,2,24,136,12,2080,0
24,24,1,0,0,1900000024,1,0,0,740,2,4,136,17,2600,0
25,25,2,1,1,1900000025,0,1,0,406,1,0,94,11,1780,0
25,25,2,1,1,1900000025,1,1,0,365,1,0,94,10,1660,0
26,26,3,2,2,1900000026,0,2,0,661,1,0,106,16,2460,0
26,26,3,2,2,1900000026,1,2,0,586,1,0,106,14,2220,0
27,27,4,3,0,1900000027,0,3,0,828,2,23,123,15,2860,0
27,27,4,3,0,1900000027,1,3,0,828,2,23,123,17,3130,0
28,28,5,4,1,1900000028,0,0,0,1405,1,0,141,26,4760,0
28,28,5,4,1,1900000028,1,0,0,937,1,0,141,18,3400,0
29,29,6,5,2,1900000029,0,1,0,815,2,102,131,19,2840,0
29,29,6,5,2,1900000029,1,1,0,821,2,38,131,19,2840,0
30,30,7,0,0,1900000030,0,2,0,453,1,0,94,13,1840,0
30,30,7,0,0,1900000030,1,2,0,427,1,0,100,12,1860,0
31,31,8,1,1,1900000031,0,3,0,698,2,132,116,16,2490,0
31,31,8,1,1,1900000031,1,3,0,673,2,132,116,16,2490,0
32,32,9,2,2,1900000032,0,0,0,2700,3,85,149,48,8550,0
32,32,9,2,2,1900000032,1,0,0,2700,3,75,149,49,8650,0
33,33,10,3,0,1900000033,0,1,0,740,2,152,124,15,2760,0
33,33,10,3,0,1900000033,1,1,0,740,2,152,124,16,2640,0
34,34,11,4,1,1900000034,0,2,0,533,1,0,117,14,2080,0
34,34,11,4,1,1900000034,1,2,0,689,2,104,117,17,2440,0
35,35,12,5,2,1900000035,0,3,0,612,1,0,111,15,2190,0
35,35,12,5,2,1900000035,1,3,0,403,1,0,111,11,1710,0
36,36,13,0,0,1900000036,0,0,0,283,1,0,104,8,1560,0
36,36,13,0,0,1900000036,1,0,0,280,1,0,104,8,1560,0
37,37,14,1,1,1900000037,0,1,0,715,1,0,109,14,2830,0
37,37,14,1,1,1900000037,1,1,0,642,1,0,113,13,2660,0
38,38,15,2,2,1900000038,0,2,0,1249,1,0,118,24,4300,0
38,38,15,2,2,1900000038,1,2,0,784,1,0,118,16,2940,0
39,39,16,3,0,1900000039,0,3,0,895,1,0,115,21,3080,0
39,39,16,3,0,1900000039,1,3,0,1914,2,44,115,41,5560,0
40,0,24,5,2,1900000040,0,1,0,1004,2,67,125,23,3170,0
40,0,24,5,2,1900000040,1,1,0,1041,2,113,125,22,3100,0
41,1,25,0,0,1900000041,0,2,0,2080,2,82,104,46,5850,0
41,1,25,0,0,1900000041,1,2,0,2116,2,93,104,47,5970,0
42,2,26,1,1,1900000042,0,3,0,587,1,0,108,12,2470,0
42,2,26,1,1,1900000042,1,3,0,668,2,77,108,13,2640,0
43,3,27,2,2,1900000043,0,0,0,584,1,0,145,13,2440,0
43,3,27,2,2,1900000043,1,0,0,482,1,0,145,11,2100,0
44,4,28,3,0,1900000044,0,1,0,400,1,0,111,11,1880,0
44,4,28,3,0,1900000044,1,1,0,400,1,0,111,11,1880,0
45,5,29,4,1,1900000045,0,2,0,731,2,141,102,17,2720,0
45,5,29,4,1,1900000045,1,2,0,731,2,141,102,16,2680,0
46,6,30,5,2,1900000046,0,3,0,434,1,0,125,10,1960,0
46,6,30,5,2,1900000046,1,3,0,428,1,0,125,10,1960,0
47,7,31,0,0,1900000047,0,0,0,476,1,0,132,12,1910,0
47,7,31,0,0,1900000047,1,0,0,1756,1,0,132,39,5150,0
48,8,32,1,1,1900000048,0,1,0,482,1,0,121,13,1970,0
48,8,32,1,1,1900000048,1,1,0,531,1,0,121,14,2090,0
49,9,33,2,2,1900000049,0,2,0,1738,2,122,152,38,5110,0
49,9,33,2,2,1900000049,1,2,0,1167,1,0,146,26,3670,0
50,10,34,3,0,1900000050,0,3,0,523,1,0,140,11,2140,0
50,10,34,3,0,1900000050,1,3,0,602,1,0,140,13,2500,0
51,11,35,4,1,1900000051,0,0,0,1523,1,0,101,34,4640,0
51,11,35,4,1,1900000051,1,0,0,664,1,0,101,15,2360,0
52,12,36,5,2,1900000052,0,1,0,1204,1,0,93,27,3750,0
52,12,36,5,2,1900000052,1,1,0,860,2,111,93,20,2910,0
53,13,37,0,0,1900000053,0,2,0,356,1,0,150,8,1620,0
53,13,37,0,0,1900000053,1,2,0,359,1,0,150,9,1790,0
54,14,38,1,1,1900000054,0,3,0,432,1,0,104,12,1840,0
54,14,38,1,1,1900000054,1,3,0,341,1,0,104,10,1600,0
55,15,39,2,2,1900000055,0,0,0,2096,1,0,114,47,5970,0
55,15,39,2,2,1900000055,1,0,0,2003,1,0,114,45,5730,0
56,16,0,3,0,1900000056,0,1,0,1361,1,0,113,25,4760,0
