case,species,opponent,arena,weather,seed,seat,style,score,ticks,reason,own_hp,enemy_hp,casts,energy_spent,overflow
0,0,17,0,0,1900000000,0,0,0,2266,1,0,14,40,7390,0
0,0,17,0,0,1900000000,1,0,1,954,1,40,0,19,3450,0
1,1,18,1,1,1900000001,0,1,1,1756,1,60,0,33,5480,0
1,1,18,1,1,1900000001,1,1,0,1138,1,0,129,21,3900,0
2,2,19,2,2,1900000002,0,2,1,676,1,32,0,13,2490,0
2,2,19,2,2,1900000002,1,2,1,451,1,32,0,9,1840,0
3,3,20,3,0,1900000003,0,3,0,778,1,0,34,14,2620,0
3,3,20,3,0,1900000003,1,3,0,778,1,0,34,14,2620,0
4,4,21,4,1,1900000004,0,0,0,2361,1,0,8,45,8250,0
4,4,21,4,1,1900000004,1,0,0,1765,1,0,51,32,6120,0
5,5,22,5,2,1900000005,0,1,1,1819,1,65,0,29,4840,0
5,5,22,5,2,1900000005,1,1,1,2125,1,45,0,33,5320,0
6,6,23,0,0,1900000006,0,2,1,750,1,71,0,15,2870,0
6,6,23,0,0,1900000006,1,2,1,908,1,102,0,18,3290,0
7,7,24,1,1,1900000007,0,3,1,1636,1,66,0,36,4940,0
7,7,24,1,1,1900000007,1,3,1,1750,1,41,0,37,5390,0
8,8,25,2,2,1900000008,0,0,1,1675,1,34,0,30,5590,0
8,8,25,2,2,1900000008,1,0,1,941,1,81,0,18,3370,0
9,9,26,3,0,1900000009,0,1,0,2700,3,21,53,44,8590,0
9,9,26,3,0,1900000009,1,1,0,2700,3,21,53,44,8590,0
10,10,27,4,1,1900000010,0,2,1,555,1,98,0,9,1790,0
10,10,27,4,1,1900000010,1,2,1,1050,1,72,0,19,3540,0
11,11,28,5,2,1900000011,0,3,0.5,2700,3,117,111,0,0,0
11,11,28,5,2,1900000011,1,3,0.5,2700,3,117,111,0,0,0
12,12,29,0,0,1900000012,0,0,1,1717,1,70,0,32,5880,0
12,12,29,0,0,1900000012,1,0,1,1910,1,43,0,35,6500,0
13,13,30,1,1,1900000013,0,1,0,593,1,0,29,12,2330,0
13,13,30,1,1,1900000013,1,1,0,770,1,0,57,15,2900,0
14,14,31,2,2,1900000014,0,2,0,2098,1,0,55,40,6560,0
14,14,31,2,2,1900000014,1,2,0,1711,1,0,20,34,5440,0
15,15,32,3,0,1900000015,0,3,0,852,2,15,97,13,2390,0
15,15,32,3,0,1900000015,1,3,0,852,2,15,97,13,2390,0
16,16,33,4,1,1900000016,0,0,0,1033,1,0,67,17,3860,0
16,16,33,4,1,1900000016,1,0,1,1841,1,21,0,30,6540,0
17,17,34,5,2,1900000017,0,1,0.5,2700,3,120,140,0,0,0
17,17,34,5,2,1900000017,1,1,0.5,2700,3,120,140,0,0,0
18,18,35,0,0,1900000018,0,2,1,1939,1,17,0,31,5790,0
18,18,35,0,0,1900000018,1,2,1,1391,1,59,0,22,4430,0
19,19,36,1,1,1900000019,0,3,1,494,1,77,0,11,2040,0
19,19,36,1,1,1900000019,1,3,0,989,1,0,40,19,3560,0
20,20,37,2,2,1900000020,0,0,0,2006,1,0,62,35,6530,0
20,20,37,2,2,1900000020,1,0,0,2071,1,0,55,35,6710,0
21,21,38,3,0,1900000021,0,1,0,884,1,0,89,15,2760,0
21,21,38,3,0,1900000021,1,1,0,884,1,0,89,15,2760,0
22,22,39,4,1,1900000022,0,2,1,2700,3,145,90,40,9180,0
22,22,39,4,1,1900000022,1,2,0,2700,3,145,62,39,9120,0
23,23,0,5,2,1900000023,0,3,0,1287,2,85,113,16,2930,0
23,23,0,5,2,1900000023,1,3,1,1627,1,12,0,28,4420,0
24,24,1,0,0,1900000024,0,0,0,1306,1,0,76,25,4480,0
24,24,1,0,0,1900000024,1,0,0,922,1,0,82,18,3360,0
25,25,2,1,1,1900000025,0,1,0,602,1,0,38,12,2240,0
25,25,2,1,1,1900000025,1,1,0,437,1,0,38,10,1840,0
26,26,3,2,2,1900000026,0,2,1,608,1,97,0,13,2340,0
26,26,3,2,2,1900000026,1,2,1,840,1,96,0,17,3050,0
27,27,4,3,0,1900000027,0,3,0,1420,1,0,29,20,4210,0
27,27,4,3,0,1900000027,1,3,0,1420,1,0,29,20,4210,0
28,28,5,4,1,1900000028,0,0,1,2700,3,35,40,41,9180,0
28,28,5,4,1,1900000028,1,0,0,879,1,0,13,15,3330,0
29,29,6,5,2,1900000029,0,1,0,2640,2,55,60,34,6960,0
29,29,6,5,2,1900000029,1,1,0,2241,2,85,100,32,6520,0
30,30,7,0,0,1900000030,0,2,1,590,1,63,0,15,2130,0
30,30,7,0,0,1900000030,1,2,1,878,1,13,0,19,2790,0
31,31,8,1,1,1900000031,0,3,0,1082,1,0,32,20,3590,0
31,31,8,1,1,1900000031,1,3,0,467,1,0,72,10,1830,0
32,32,9,2,2,1900000032,0,0,0,2700,3,2,146,42,9240,0
32,32,9,2,2,1900000032,1,0,0,2700,3,8,137,42,9290,0
33,33,10,3,0,1900000033,0,1,0,2535,1,0,49,45,7860,0
33,33,10,3,0,1900000033,1,1,0,2535,1,0,49,45,7860,0
34,34,11,4,1,1900000034,0,2,0,2657,1,0,84,47,8540,0
34,34,11,4,1,1900000034,1,2,1,2700,3,34,36,47,8340,0
35,35,12,5,2,1900000035,0,3,0,1499,1,0,97,25,4360,0
35,35,12,5,2,1900000035,1,3,0,986,1,0,39,16,2800,0
36,36,13,0,0,1900000036,0,0,0,472,1,0,62,10,1830,0
36,36,13,0,0,1900000036,1,0,0,469,1,0,74,10,1890,0
37,37,14,1,1,1900000037,0,1,0,2700,3,29,39,45,8980,0
37,37,14,1,1,1900000037,1,1,0,2236,1,0,86,38,7460,0
38,38,15,2,2,1900000038,0,2,1,463,1,80,0,10,1870,0
38,38,15,2,2,1900000038,1,2,1,452,1,56,0,10,1900,0
39,39,16,3,0,1900000039,0,3,0,2537,1,0,31,37,7480,0
39,39,16,3,0,1900000039,1,3,1,2534,1,16,0,39,7600,0
40,0,24,5,2,1900000040,0,1,1,2140,1,56,0,35,6160,0
40,0,24,5,2,1900000040,1,1,0,1634,1,0,14,22,4700,0
41,1,25,0,0,1900000041,0,2,1,1597,1,9,0,31,5250,0
41,1,25,0,0,1900000041,1,2,1,748,1,78,0,18,2600,0
42,2,26,1,1,1900000042,0,3,1,463,1,32,0,10,1940,0
42,2,26,1,1,1900000042,1,3,1,830,1,6,0,16,3110,0
43,3,27,2,2,1900000043,0,0,1,1156,1,69,0,22,4080,0
43,3,27,2,2,1900000043,1,0,0,2073,1,0,49,37,6890,0
44,4,28,3,0,1900000044,0,1,0,540,1,0,24,11,1930,0
44,4,28,3,0,1900000044,1,1,0,540,1,0,24,11,1930,0
45,5,29,4,1,1900000045,0,2,1,1885,1,111,0,31,6200,0
45,5,29,4,1,1900000045,1,2,0,2700,3,40,6,46,8520,0
46,6,30,5,2,1900000046,0,3,1,1954,2,102,59,27,5390,0
46,6,30,5,2,1900000046,1,3,0,2700,3,31,24,42,8460,0
47,7,31,0,0,1900000047,0,0,0,1333,1,0,29,26,4440,0
47,7,31,0,0,1900000047,1,0,0,808,1,0,31,18,2860,0
48,8,32,1,1,1900000048,0,1,0,1229,1,0,85,22,4200,0
48,8,32,1,1,1900000048,1,1,0,619,1,0,76,12,2260,0
49,9,33,2,2,1900000049,0,2,1,2700,3,111,51,46,8920,0
49,9,33,2,2,1900000049,1,2,0,2700,3,138,28,46,8840,0
50,10,34,3,0,1900000050,0,3,1,1431,1,74,0,22,4160,0
50,10,34,3,0,1900000050,1,3,1,1269,1,91,0,19,3630,0
51,11,35,4,1,1900000051,0,0,0,2700,3,103,84,43,8760,0
51,11,35,4,1,1900000051,1,0,0,2700,3,111,78,43,8640,0
52,12,36,5,2,1900000052,0,1,1,965,1,71,0,15,3240,0
52,12,36,5,2,1900000052,1,1,1,596,1,78,0,10,2230,0
53,13,37,0,0,1900000053,0,2,0,587,1,0,81,12,2400,0
53,13,37,0,0,1900000053,1,2,0,587,1,0,57,12,2400,0
54,14,38,1,1,1900000054,0,3,0,963,1,0,33,20,3080,0
54,14,38,1,1,1900000054,1,3,1,1386,1,20,0,29,4280,0
55,15,39,2,2,1900000055,0,0,1,1099,1,10,0,23,3470,0
55,15,39,2,2,1900000055,1,0,1,2621,1,20,0,49,8130,0
56,16,0,3,0,1900000056,0,1,0,1017,1,0,32,16,3710,0
56,16,0,3,0,1900000056,1,1,0,1017,1,0,32,16,3710,0
57,17,1,4,1,1900000057,0,2,1,436,1,12,0,10,1520,0
57,17,1,4,1,1900000057,1,2,0,409,1,0,52,8,1380,0
58,18,2,5,2,1900000058,0,3,0,682,1,0,18,9,1790,0
58,18,2,5,2,1900000058,1,3,1,551,1,39,0,6,1210,0
59,19,3,0,0,1900000059,0,0,1,1888,1,64,0,33,6410,0
59,19,3,0,0,1900000059,1,0,1,1991,1,77,0,35,6700,0
60,20,4,1,1,1900000060,0,1,0,1521,1,0,55,26,5230,0
60,20,4,1,1,1900000060,1,1,1,2594,1,17,0,45,8410,0
61,21,5,2,2,1900000061,0,2,1,2700,3,124,51,48,8300,0
61,21,5,2,2,1900000061,1,2,1,2415,1,96,0,44,7510,0
62,22,6,3,0,1900000062,0,3,0,714,2,153,131,8,1870,0
62,22,6,3,0,1900000062,1,3,0,714,2,153,131,8,1870,0
63,23,7,4,1,1900000063,0,0,1,957,1,72,0,19,3370,0
63,23,7,4,1,1900000063,1,0,0,932,1,0,47,18,3200,0
64,24,8,5,2,1900000064,0,1,0,1890,2,95,53,15,3120,0
64,24,8,5,2,1900000064,1,1,0,943,2,98,53,10,2120,0
65,25,9,0,0,1900000065,0,2,0,1247,1,0,125,22,4260,0
65,25,9,0,0,1900000065,1,2,0,2143,1,0,98,37,7110,0
66,26,10,1,1,1900000066,0,3,0,1130,1,0,59,21,3790,0
66,26,10,1,1,1900000066,1,3,0,1172,1,0,33,22,3860,0
67,27,11,2,2,1900000067,0,0,0,2700,3,98,116,47,8550,0
67,27,11,2,2,1900000067,1,0,1,2675,1,74,0,48,8530,0
68,28,12,3,0,1900000068,0,1,1,532,1,12,0,9,2020,0
