case,species,opponent,arena,weather,seed,seat,style,score,ticks,reason,own_hp,enemy_hp,casts,energy_spent,overflow,personality,decisions,distance,objective_distance,mean_energy,stationary_fraction,retreat_fraction,low_hp_decisions,low_hp_retreats,casts_1,casts_2,casts_3,casts_4,casts_5,damage,damage_taken,healed,shielded,control,model_checksum,opponent_checksum
0,0,17,0,0,2100000000,0,0,1,719,1,64,0,15,2550,0,STEADY,240,3.88327,3.21601,0.32025,0.225,0.166667,0,0,2,12,0,1,0,116,49,0,0,28,4a424577,c79f418b
0,0,17,0,0,2100000000,1,0,1,751,1,113,0,16,2750,0,STEADY,251,3.93058,2.7852,0.227689,0.207171,0.155378,0,0,2,12,0,1,1,109,0,0,0,54,4a424577,c79f418b
1,1,18,1,0,2100000001,0,1,0,980,1,0,24,21,3090,0,STEADY,327,3.36835,3.89571,0.184281,0.275229,0,135,0,12,5,0,1,3,105,136,0,14,61,4a424577,c79f418b
1,1,18,1,0,2100000001,1,1,0,779,1,0,71,17,2690,0,STEADY,260,3.61805,2.77265,0.238538,0.246154,0.00384615,152,1,7,5,0,1,4,58,136,0,8,93,4a424577,c79f418b
2,2,19,2,0,2100000002,0,2,1,512,1,4,0,11,2040,0,STEADY,171,5.07344,3.53922,0.26155,0.444444,0.163743,41,8,2,8,0,0,1,132,90,0,0,72,4a424577,c79f418b
2,2,19,2,0,2100000002,1,2,1,565,1,49,0,12,2240,0,STEADY,189,5.34784,3.3513,0.233757,0.460317,0.100529,0,0,2,8,0,0,2,132,45,0,0,135,4a424577,c79f418b
3,3,20,3,0,2100000003,0,3,0,721,1,0,86,14,2530,0,STEADY,241,4.21889,3.41458,0.253112,0.40249,0.0995851,44,6,11,1,1,1,0,0,106,0,11,211,4a424577,c79f418b
3,3,20,3,0,2100000003,1,3,0,673,1,0,54,14,2510,0,STEADY,225,3.81902,5.26491,0.254511,0.275556,0,44,0,11,1,0,2,0,36,106,0,15,28,4a424577,c79f418b
4,4,21,4,0,2100000004,0,0,1,2124,1,33,0,44,7210,0,STEADY,708,3.87179,4.3814,0.124209,0.285311,0.0423729,46,0,11,26,1,0,6,124,90,0,0,244,4a424577,c79f418b
4,4,21,4,0,2100000004,1,0,0,2002,1,0,13,43,6660,0,STEADY,668,4.1805,3.61716,0.17568,0.303892,0.0434132,39,0,18,19,1,1,4,105,123,0,0,162,4a424577,c79f418b
5,5,22,5,0,2100000005,0,1,1,1843,1,101,0,37,5200,0,STEADY,615,2.94363,8.18682,0.193423,0.331707,0.121951,0,0,29,1,2,3,2,175,40,0,0,0,4a424577,c79f418b
5,5,22,5,0,2100000005,1,1,1,1732,1,101,0,36,5000,0,STEADY,578,2.64279,4.68844,0.143209,0.313149,0.0657439,0,0,29,2,1,2,2,175,40,0,0,1,4a424577,c79f418b
6,6,23,0,0,2100000006,0,2,0,1399,1,0,61,27,4750,0,STEADY,467,3.03232,4.09634,0.121049,0.0321199,0.235546,79,22,24,0,1,0,2,64,131,0,0,44,4a424577,c79f418b
6,6,23,0,0,2100000006,1,2,1,2161,1,107,0,40,6970,0,STEADY,721,3.12061,6.03543,0.0983148,0.0124827,0.224688,0,0,38,1,1,0,0,102,24,0,0,48,4a424577,c79f418b
7,7,24,1,0,2100000007,0,3,1,556,1,41,0,14,2170,0,STEADY,186,2.83992,5.29921,0.214167,0.112903,0,0,0,8,4,1,1,0,125,59,0,0,60,4a424577,c79f418b
7,7,24,1,0,2100000007,1,3,1,469,1,32,0,12,1880,0,STEADY,157,2.73664,4.00615,0.253025,0.0955414,0.0509554,15,0,7,3,1,1,0,125,68,0,0,38,4a424577,c79f418b
8,8,25,2,0,2100000008,0,0,1,879,1,84,0,19,3040,0,STEADY,293,4.56099,3.08496,0.19913,0.208191,0.228669,0,0,12,1,5,0,1,104,32,0,10,202,4a424577,c79f418b
8,8,25,2,0,2100000008,1,0,0,566,1,0,4,13,2170,0,STEADY,189,4.34441,2.53479,0.254788,0.227513,0.21164,67,13,6,2,4,1,0,100,116,0,10,208,4a424577,c79f418b
9,9,26,3,0,2100000009,0,1,1,1099,1,90,0,24,3520,0,STEADY,367,2.72459,6.36586,0.164591,0.0163488,0.0490463,0,0,3,18,0,1,2,108,59,0,0,76,4a424577,c79f418b
9,9,26,3,0,2100000009,1,1,1,1891,1,49,0,40,5590,0,STEADY,631,2.77617,5.35843,0.115412,0.0269414,0.175911,79,10,3,33,1,1,2,108,104,4,0,135,4a424577,c79f418b
10,10,27,4,0,2100000010,0,2,1,636,1,107,0,14,2450,0,STEADY,212,4.15549,5.12657,0.211604,0.0471698,0.0330189,0,0,11,2,0,0,1,145,17,0,0,46,4a424577,c79f418b
10,10,27,4,0,2100000010,1,2,1,596,1,107,0,13,2350,0,STEADY,199,4.02452,5.26115,0.216809,0.0854271,0.120603,0,0,10,2,1,0,0,145,17,0,0,31,4a424577,c79f418b
