case,species,opponent,arena,weather,seed,seat,style,score,ticks,reason,own_hp,enemy_hp,casts,energy_spent,overflow,personality,decisions,distance,objective_distance,mean_energy,stationary_fraction,retreat_fraction,low_hp_decisions,low_hp_retreats,casts_1,casts_2,casts_3,casts_4,casts_5,damage,damage_taken,healed,shielded,control,model_checksum,opponent_checksum
0,0,17,0,0,2100000000,0,0,1,480,1,13,0,12,1900,0,STEADY,160,3.17401,2.82706,0.298594,0.15625,0.2875,15,5,4,6,0,0,2,99,100,0,0,43,4a424577,0
0,0,17,0,0,2100000000,1,0,0,1037,1,0,97,22,3380,0,STEADY,346,3.03454,5.01901,0.201517,0.132948,0.534682,51,32,9,10,0,0,3,38,113,0,0,10,4a424577,0
1,1,18,1,0,2100000001,0,1,1,865,1,36,0,20,2790,0,STEADY,289,2.86001,2.0193,0.174567,0.280277,0.134948,29,7,14,3,0,1,2,129,100,0,32,85,4a424577,0
1,1,18,1,0,2100000001,1,1,0,1074,1,0,56,23,3400,0,STEADY,358,3.49612,3.10651,0.180768,0.304469,0.0418994,193,15,12,8,0,1,2,73,136,0,22,62,4a424577,0
2,2,19,2,0,2100000002,0,2,0,272,1,0,30,6,1230,0,STEADY,91,8.14419,5.539,0.406648,0.527473,0,23,0,3,3,0,0,0,102,94,0,0,0,4a424577,0
2,2,19,2,0,2100000002,1,2,0,381,1,0,23,8,1570,0,STEADY,127,6.92888,4.77436,0.308228,0.456693,0,59,0,3,5,0,0,0,109,94,0,0,0,4a424577,0
3,3,20,3,0,2100000003,0,3,0,703,1,0,72,14,2480,0,STEADY,235,4.07093,3.36126,0.286723,0.27234,0.0297872,58,2,12,1,0,1,0,22,106,0,15,0,4a424577,0
3,3,20,3,0,2100000003,1,3,0,541,1,0,46,12,2140,0,STEADY,181,4.09617,2.67587,0.291906,0.331492,0.00552486,61,0,10,1,0,1,0,44,106,0,7,0,4a424577,0
4,4,21,4,0,2100000004,0,0,0,514,1,0,32,13,2120,0,STEADY,172,3.31726,1.90767,0.239267,0.383721,0.0755814,31,0,5,5,1,0,2,92,123,0,0,101,4a424577,0
4,4,21,4,0,2100000004,1,0,0,838,1,0,56,20,3140,0,STEADY,280,3.70755,2.29846,0.1804,0.303571,0.0214286,66,1,9,7,1,0,3,68,123,0,0,179,4a424577,0
5,5,22,5,0,2100000005,0,1,1,973,1,25,0,18,2880,0,STEADY,325,4.7666,4.10819,0.377369,0.44,0.116923,35,0,11,1,3,2,1,175,116,0,0,25,4a424577,0
5,5,22,5,0,2100000005,1,1,0,1372,1,0,6,29,4040,0,STEADY,458,2.77021,3.69865,0.181954,0.427948,0.10262,115,41,23,1,1,2,2,169,141,0,20,149,4a424577,0
6,6,23,0,0,2100000006,0,2,0,2182,1,0,89,40,7000,0,STEADY,728,2.94064,5.33608,0.0983791,0.00686813,0.351648,88,7,37,1,1,0,1,32,131,0,0,28,4a424577,0
6,6,23,0,0,2100000006,1,2,1,1286,1,54,0,25,4420,0,STEADY,429,3.17226,2.59426,0.125198,0.00699301,0.312354,0,0,23,1,1,0,0,118,77,0,0,217,4a424577,0
