case,species,opponent,arena,weather,seed,seat,style,score,ticks,reason,own_hp,enemy_hp,casts,energy_spent,overflow,personality,decisions,distance,objective_distance,mean_energy,stationary_fraction,retreat_fraction,low_hp_decisions,low_hp_retreats,casts_1,casts_2,casts_3,casts_4,casts_5,damage,damage_taken,healed,shielded,control,model_checksum,opponent_checksum
0,0,17,0,0,2100000000,0,0,0,1615,1,0,18,30,5510,0,STEADY,539,3.34744,5.14789,0.247542,0.103896,0.673469,35,7,3,12,1,1,13,124,113,0,0,5,0,0
0,0,17,0,0,2100000000,1,0,1,1475,1,36,0,27,4870,0,STEADY,492,3.16722,7.84339,0.259126,0.176829,0.668699,171,117,2,16,1,1,7,124,77,0,0,14,0,0
1,1,18,1,0,2100000001,0,1,1,1741,1,38,0,33,5770,0,STEADY,581,3.98401,4.92078,0.256962,0.375215,0.142857,208,47,4,17,0,3,9,129,98,0,44,142,0,0
1,1,18,1,0,2100000001,1,1,1,863,1,44,0,18,3030,0,STEADY,288,4.0015,2.47531,0.256146,0.597222,0.114583,0,0,3,11,0,1,3,129,92,0,78,156,0,0
2,2,19,2,0,2100000002,0,2,0,269,1,0,30,6,1230,0,STEADY,90,8.17992,5.5072,0.410444,0.544444,0.0111111,23,0,3,3,0,0,0,102,94,0,0,0,0,0
2,2,19,2,0,2100000002,1,2,0,269,1,0,30,6,1230,0,STEADY,90,8.17992,5.5072,0.410444,0.544444,0.0111111,23,0,3,3,0,0,0,102,94,0,0,0,0,0
3,3,20,3,0,2100000003,0,3,0,659,1,0,80,12,2190,0,STEADY,220,5.90786,3.56443,0.329386,0.186364,0.431818,109,61,7,0,0,1,4,22,106,0,15,91,0,0
3,3,20,3,0,2100000003,1,3,0,659,1,0,80,12,2190,0,STEADY,220,5.90786,3.56443,0.329386,0.186364,0.431818,109,61,7,0,0,1,4,22,106,0,15,91,0,0
4,4,21,4,0,2100000004,0,0,1,2700,3,38,41,50,9670,0,STEADY,900,4.05647,4.22224,0.287978,0.296667,0.454444,107,32,0,18,3,6,23,83,150,65,0,169,0,0
4,4,21,4,0,2100000004,1,0,1,2700,3,59,45,51,9440,0,STEADY,900,3.85537,3.53936,0.307862,0.291111,0.471111,0,0,0,30,2,2,17,79,90,26,0,209,0,0
5,5,22,5,0,2100000005,0,1,1,1885,1,64,0,28,4760,0,STEADY,629,4.18674,4.59638,0.479777,0.213037,0.446741,0,0,12,2,1,6,7,175,77,0,19,0,0,0
5,5,22,5,0,2100000005,1,1,1,1981,1,64,0,30,5000,0,STEADY,661,4.08346,4.41328,0.475809,0.213313,0.459909,0,0,14,2,1,6,7,175,77,0,12,37,0,0
6,6,23,0,0,2100000006,0,2,1,2056,1,45,0,37,6800,0,STEADY,686,3.66961,6.43955,0.200685,0.412536,0.469388,141,13,25,0,1,4,7,119,86,0,0,52,0,0
6,6,23,0,0,2100000006,1,2,1,1939,1,23,0,34,6580,0,STEADY,647,3.75917,3.90989,0.180495,0.326121,0.465224,334,184,13,0,1,5,15,123,108,0,0,101,0,0
7,7,24,1,0,2100000007,0,3,1,2335,1,70,0,49,6870,0,STEADY,779,2.41553,1.87401,0.0894929,0.0590501,0.277279,0,0,35,10,2,1,1,125,30,0,0,31,0,0
7,7,24,1,0,2100000007,1,3,1,1036,1,32,0,23,3450,0,STEADY,346,2.69773,2.13573,0.147384,0.0809249,0.404624,224,81,13,8,1,1,0,125,68,0,0,70,0,0
8,8,25,2,0,2100000008,0,0,1,1785,1,51,0,31,5820,0,STEADY,595,3.65982,5.12854,0.210983,0.154622,0.660504,0,0,7,8,3,1,12,104,65,0,0,131,0,0
8,8,25,2,0,2100000008,1,0,0,663,1,0,20,13,2340,0,STEADY,221,4.2229,5.33528,0.378484,0.235294,0.488688,56,40,11,0,0,1,1,84,116,0,0,84,0,0
9,9,26,3,0,2100000009,0,1,0,2123,1,0,108,34,6910,0,STEADY,708,3.40358,2.33757,0.194647,0.29661,0.29096,340,70,3,1,1,0,29,0,155,6,0,38,0,0
9,9,26,3,0,2100000009,1,1,0,2123,1,0,108,34,6910,0,STEADY,708,3.40358,2.33757,0.194647,0.29661,0.29096,340,70,3,1,1,0,29,0,155,6,0,38,0,0
10,10,27,4,0,2100000010,0,2,1,804,1,73,0,16,2990,0,STEADY,268,5.62413,3.1613,0.296474,0.179104,0.496269,0,0,7,7,1,0,1,145,51,0,0,293,0,0
10,10,27,4,0,2100000010,1,2,1,804,1,73,0,16,2990,0,STEADY,268,5.62413,3.1613,0.296474,0.179104,0.496269,0,0,7,7,1,0,1,145,51,0,0,293,0,0
11,11,28,5,0,2100000011,0,3,0,937,1,0,54,11,2400,0,STEADY,313,5.93299,3.2985,0.677045,0.242812,0.28754,57,15,1,6,1,3,0,53,146,29,15,174,0,0
11,11,28,5,0,2100000011,1,3,0,1308,2,25,57,13,2800,0,STEADY,436,6.14278,3.65569,0.803108,0.172018,0.380734,76,35,0,5,0,5,3,54,145,53,25,0,0,0
12,12,29,0,0,2100000012,0,0,1,1318,1,70,0,24,4560,0,STEADY,440,3.12918,5.55739,0.221239,0.177273,0.288636,0,0,4,1,9,2,8,102,41,0,0,110,0,0
12,12,29,0,0,2100000012,1,0,1,1826,1,43,0,32,6380,0,STEADY,609,3.46223,4.27376,0.286437,0.190476,0.275862,18,1,5,3,13,6,5,102,68,0,0,137,0,0
13,13,30,1,0,2100000013,0,1,0,241,1,0,12,7,1400,0,STEADY,81,7.93525,5.53618,0.466975,0.530864,0,25,0,3,1,3,0,0,110,104,0,0,0,0,0
13,13,30,1,0,2100000013,1,1,0,241,1,0,9,7,1330,0,STEADY,81,7.76049,5.54502,0.466728,0.54321,0,25,0,3,2,2,0,0,110,104,0,0,0,0,0
14,14,31,2,0,2100000014,0,2,0,1810,1,0,103,32,5960,0,STEADY,604,2.81707,5.68214,0.260232,0.0397351,0.195364,214,66,1,7,5,4,15,38,113,0,32,31,0,0
14,14,31,2,0,2100000014,1,2,0,1756,1,0,125,31,5760,0,STEADY,586,2.82029,5.77848,0.259471,0.0392491,0.191126,196,60,1,7,5,4,14,16,113,0,32,31,0,0
15,15,32,3,0,2100000015,0,3,0,2700,3,106,112,1,200,0,STEADY,900,10.7861,5.57594,0.996917,0.0344444,0.487778,0,0,0,0,0,1,0,0,12,0,0,0,0,0
15,15,32,3,0,2100000015,1,3,0,2700,3,106,112,1,200,0,STEADY,900,10.7861,5.57594,0.996917,0.0344444,0.487778,0,0,0,0,0,1,0,0,12,0,0,0,0,0
16,16,33,4,0,2100000016,0,0,1,1368,1,40,0,22,4860,0,STEADY,456,4.22759,6.00689,0.311349,0.171053,0.697368,5,5,6,6,0,2,8,152,75,0,0,230,0,0
16,16,33,4,0,2100000016,1,0,1,1242,1,54,0,20,4500,0,STEADY,414,4.30149,6.28076,0.335592,0.263285,0.591787,0,0,6,6,1,2,5,152,61,0,0,225,0,0
17,17,34,5,0,2100000017,0,1,0.5,2700,3,120,140,0,0,0,STEADY,900,9.81294,4.87577,1,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17,34,5,0,2100000017,1,1,0.5,2700,3,120,140,0,0,0,STEADY,900,9.81294,4.87577,1,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18,35,0,0,2100000018,0,2,1,1355,1,87,0,23,4520,0,STEADY,452,4.62233,5.23678,0.238653,0.181416,0.329646,0,0,9,11,0,0,3,110,42,0,0,173,0,0
18,18,35,0,0,2100000018,1,2,1,1523,1,59,0,25,4610,0,STEADY,508,4.71432,7.94564,0.221496,0.124016,0.295276,0,0,12,9,0,0,4,119,70,0,0,72,0,0
19,19,36,1,0,2100000019,0,3,1,722,1,7,0,15,2740,0,STEADY,241,4.85653,3.88291,0.307116,0.551867,0.165975,49,0,10,1,0,0,4,93,125,0,0,0,0,0
19,19,36,1,0,2100000019,1,3,0,879,1,0,33,17,3070,0,STEADY,293,4.78808,3.5333,0.2893,0.604096,0.156997,60,0,11,0,0,0,6,60,132,0,0,0,0,0
20,20,37,2,0,2100000020,0,0,0,2063,1,0,28,36,6760,0,STEADY,688,4.2592,2.83948,0.21149,0.329942,0.508721,52,8,19,1,0,1,15,122,102,0,0,166,0,0
20,20,37,2,0,2100000020,1,0,1,2011,1,17,0,35,6620,0,STEADY,671,4.25031,4.53033,0.214441,0.271237,0.566319,30,0,17,1,0,1,16,150,85,0,0,4,0,0
21,21,38,3,0,2100000021,0,1,0,1366,1,0,44,22,4010,0,STEADY,456,4.96834,3.36213,0.36023,0.0307018,0.491228,77,31,13,0,0,0,9,60,124,0,0,259,0,0
21,21,38,3,0,2100000021,1,1,0,1366,1,0,44,22,4010,0,STEADY,456,4.96834,3.36213,0.36023,0.0307018,0.491228,77,31,13,0,0,0,9,60,124,0,0,259,0,0
22,22,39,4,0,2100000022,0,2,1,2700,3,142,88,38,9330,0,STEADY,900,3.68958,1.82568,0.193446,0.33,0.326667,0,0,1,19,11,0,7,26,33,0,104,364,0,0
22,22,39,4,0,2100000022,1,2,1,2700,3,109,88,37,8990,0,STEADY,900,3.6264,1.81911,0.177489,0.318889,0.344444,0,0,1,17,10,1,8,26,66,0,58,346,0,0
23,23,0,5,0,2100000023,0,3,1,2128,2,29,84,33,5810,0,STEADY,710,4.43346,2.76075,0.484317,0.176056,0.414085,142,62,2,23,1,1,6,29,81,5,0,600,0,0
23,23,0,5,0,2100000023,1,3,1,2660,2,36,41,41,7320,0,STEADY,887,4.65631,2.62782,0.410355,0.131905,0.440812,619,285,3,22,0,1,15,72,81,12,0,600,0,0
24,24,1,0,0,2100000024,0,0,0,658,1,0,54,14,2280,0,STEADY,220,3.40476,2.59895,0.345182,0.381818,0.304545,48,19,8,3,0,1,2,94,125,0,15,0,0,0
24,24,1,0,0,2100000024,1,0,0,1090,1,0,52,20,3920,0,STEADY,364,3.1424,2.36945,0.258723,0.365385,0.285714,47,18,4,6,0,4,6,96,125,0,36,0,0,0
25,25,2,1,0,2100000025,0,1,0,600,1,0,26,12,2350,0,STEADY,200,4.55814,2.91931,0.319275,0.21,0.165,45,6,0,3,3,2,4,68,104,0,59,118,0,0
