species,personality,decisions,changed_from_steady,approach_request,cast_requests,selectable_decisions,requested_cost,slot_1,slot_2,slot_3,slot_4,slot_5,model_checksum
0,STEADY,600,0,0.580055,122,268,19580,27,91,0,1,3,4a424577
0,AGGRESSIVE,600,600,0.581706,107,268,17010,26,77,0,0,4,4a424577
0,SKITTISH,600,600,0.565641,131,268,21360,20,108,0,0,3,4a424577
0,PATIENT,600,600,0.533993,63,268,10740,0,62,0,0,1,4a424577
0,TERRITORIAL,600,600,0.59693,174,268,28020,35,135,0,1,3,4a424577
1,STEADY,600,0,0.687311,73,337,13200,1,44,0,22,6,4a424577
1,AGGRESSIVE,600,600,0.72987,45,337,8430,0,19,0,20,6,4a424577
1,SKITTISH,600,600,0.634229,81,337,14380,4,50,0,20,7,4a424577
1,PATIENT,600,600,0.682942,10,337,1940,0,2,0,5,3,4a424577
1,TERRITORIAL,600,600,0.666417,67,337,12530,0,29,0,31,7,4a424577
2,STEADY,346,0,0.493832,57,61,11090,17,33,0,0,7,4a424577
2,AGGRESSIVE,346,346,0.616653,57,61,11150,17,31,0,0,9,4a424577
2,SKITTISH,346,346,0.396491,55,61,10690,17,33,0,0,5,4a424577
2,PATIENT,346,346,0.486832,40,61,8170,17,17,0,0,6,4a424577
2,TERRITORIAL,346,346,0.834779,53,61,10500,17,26,0,0,10,4a424577
3,STEADY,600,0,0.699436,105,230,18080,100,2,0,1,2,4a424577
3,AGGRESSIVE,600,600,0.71933,130,230,22260,126,1,0,1,2,4a424577
3,SKITTISH,600,600,0.682626,91,230,15700,86,2,0,1,2,4a424577
3,PATIENT,600,600,0.681984,69,230,11830,67,1,0,1,0,4a424577
3,TERRITORIAL,600,600,0.742482,200,230,34160,196,1,0,1,2,4a424577
4,STEADY,600,0,0.667698,115,297,19410,15,82,1,0,17,4a424577
4,AGGRESSIVE,600,600,0.709821,95,297,16130,10,69,0,0,16,4a424577
4,SKITTISH,600,600,0.62662,119,297,20420,9,91,1,0,18,4a424577
4,PATIENT,600,600,0.663948,53,297,9110,4,39,0,0,10,4a424577
4,TERRITORIAL,600,600,0.659878,108,297,18590,10,76,1,2,19,4a424577
5,STEADY,600,0,0.654798,202,420,42800,12,75,9,88,18,4a424577
5,AGGRESSIVE,600,600,0.631778,199,420,41720,12,39,33,94,21,4a424577
