case,species,opponent,arena,weather,seed,seat,style,score,ticks,reason,own_hp,enemy_hp,casts,energy_spent,overflow,personality,decisions,distance,objective_distance,mean_energy,stationary_fraction,retreat_fraction,low_hp_decisions,low_hp_retreats,casts_1,casts_2,casts_3,casts_4,casts_5,damage,damage_taken,healed,shielded,control,model_checksum,opponent_checksum
0,0,17,0,0,2100000000,0,0,0,2700,3,72,27,47,8490,0,STEADY,900,4.10531,6.32291,0.256322,0.218889,0.667778,0,0,0,35,0,2,10,92,41,0,0,95,c79f418b,0
0,0,17,0,0,2100000000,1,0,1,1560,1,15,0,29,5130,0,STEADY,520,3.40914,4.25685,0.199971,0.196154,0.744231,180,135,3,19,0,2,5,137,98,0,0,180,c79f418b,0
1,1,18,1,0,2100000001,0,1,1,1545,1,14,0,29,5060,0,STEADY,515,3.52921,2.11737,0.202777,0.549515,0.165049,380,84,1,22,0,6,0,129,122,0,172,213,c79f418b,0
1,1,18,1,0,2100000001,1,1,1,1430,1,40,0,27,4740,0,STEADY,477,3.45163,1.96867,0.217862,0.486373,0.201258,37,6,0,22,0,2,3,129,96,0,106,113,c79f418b,0
2,2,19,2,0,2100000002,0,2,1,262,1,17,0,6,1230,0,STEADY,88,9.27508,6.70361,0.40892,0.852273,0,27,0,3,3,0,0,0,132,77,0,0,0,c79f418b,0
2,2,19,2,0,2100000002,1,2,1,261,1,17,0,6,1230,0,STEADY,87,9.01993,6.4025,0.412586,0.758621,0,27,0,3,3,0,0,0,132,77,0,0,0,c79f418b,0
3,3,20,3,0,2100000003,0,3,0,955,1,0,102,18,3180,0,STEADY,319,4.58977,3.54701,0.221693,0.282132,0.188088,143,27,14,0,0,1,3,0,106,0,11,0,c79f418b,0
3,3,20,3,0,2100000003,1,3,0,481,1,0,91,11,1930,0,STEADY,161,7.90223,5.09717,0.333913,0.434783,0.236025,45,23,9,0,0,1,1,11,106,0,15,0,c79f418b,0
4,4,21,4,0,2100000004,0,0,0,1752,1,0,107,34,6100,0,STEADY,584,4.48777,7.43259,0.487709,0.460616,0.121575,20,3,0,28,2,3,1,17,162,39,0,0,c79f418b,0
4,4,21,4,0,2100000004,1,0,0,1097,1,0,40,23,4080,0,STEADY,366,4.22384,3.58371,0.254016,0.483607,0.188525,105,5,1,17,1,1,3,84,123,0,0,66,c79f418b,0
5,5,22,5,0,2100000005,0,1,0,2005,1,0,118,35,6240,0,STEADY,669,3.1777,6.96572,0.17367,0.375187,0.28849,109,14,15,9,2,8,1,57,141,0,11,59,c79f418b,0
5,5,22,5,0,2100000005,1,1,0,2700,3,50,175,42,8440,0,STEADY,900,2.55188,4.58603,0.197867,0.226667,0.321111,370,123,5,9,2,15,11,0,91,0,38,115,c79f418b,0
6,6,23,0,0,2100000006,0,2,0,987,1,0,56,19,3550,0,STEADY,329,4.19813,8.414,0.194362,0.12462,0.726444,75,62,12,0,1,2,4,65,131,0,0,0,c79f418b,0
6,6,23,0,0,2100000006,1,2,1,985,1,35,0,19,3530,0,STEADY,329,4.20176,8.15699,0.163116,0.100304,0.723404,21,21,12,0,1,1,5,121,96,0,0,1,c79f418b,0
7,7,24,1,0,2100000007,0,3,0,703,1,0,55,16,2470,0,STEADY,235,3.5675,2.20767,0.305213,0.204255,0.238298,151,40,5,11,0,0,0,70,100,0,0,20,c79f418b,0
7,7,24,1,0,2100000007,1,3,0,1321,1,0,75,26,4370,0,STEADY,441,2.97257,1.70338,0.268878,0.163265,0.258503,97,44,1,25,0,0,0,50,100,0,0,23,c79f418b,0
8,8,25,2,0,2100000008,0,0,0,1916,1,0,55,32,6550,0,STEADY,639,3.29275,5.22666,0.265509,0.197183,0.516432,379,208,4,10,1,5,12,49,116,0,80,78,c79f418b,0
8,8,25,2,0,2100000008,1,0,1,412,1,38,0,9,1790,0,STEADY,138,4.16408,2.68346,0.510906,0.347826,0.289855,19,0,5,2,0,2,0,104,78,0,20,107,c79f418b,0
9,9,26,3,0,2100000009,0,1,0,2700,3,99,90,43,8840,0,STEADY,900,3.22624,4.42568,0.317389,0.0288889,0.321111,0,0,6,0,0,0,37,18,50,0,0,44,c79f418b,0
9,9,26,3,0,2100000009,1,1,0,2111,1,0,90,35,6720,0,STEADY,704,3.52839,3.90912,0.243224,0.0511364,0.428977,223,87,5,6,0,0,24,18,159,10,0,129,c79f418b,0
10,10,27,4,0,2100000010,0,2,0,1817,2,34,75,33,5840,0,STEADY,606,5.15028,5.46065,0.157302,0.169967,0.176568,312,19,22,10,0,0,1,70,90,0,0,0,c79f418b,0
10,10,27,4,0,2100000010,1,2,1,1335,1,23,0,24,4540,0,STEADY,445,7.52207,7.61551,0.398933,0.208989,0.359551,163,29,10,10,2,0,2,145,101,0,0,0,c79f418b,0
11,11,28,5,0,2100000011,0,3,0,658,1,0,75,10,2240,0,STEADY,220,6.20823,4.71852,0.530841,0.322727,0.159091,74,21,0,6,0,2,2,36,129,12,15,0,c79f418b,0
11,11,28,5,0,2100000011,1,3,0,1111,1,0,85,19,3640,0,STEADY,371,5.23172,3.47212,0.280593,0.350404,0.274933,36,0,5,6,0,3,5,18,141,24,10,193,c79f418b,0
12,12,29,0,0,2100000012,0,0,1,1661,1,71,0,27,5840,0,STEADY,554,3.79824,6.0866,0.282049,0.305054,0.185921,0,0,1,7,15,1,3,102,40,0,0,43,c79f418b,0
12,12,29,0,0,2100000012,1,0,1,2120,1,111,0,34,7320,0,STEADY,707,3.10727,5.9185,0.222171,0.275813,0.268741,0,0,0,7,19,2,6,102,0,0,0,17,c79f418b,0
13,13,30,1,0,2100000013,0,1,0,280,1,0,60,6,1310,0,STEADY,94,5.84572,3.42295,0.47766,0.489362,0.308511,45,28,2,0,2,1,1,65,104,0,0,0,c79f418b,0
13,13,30,1,0,2100000013,1,1,0,290,1,0,67,7,1390,0,STEADY,97,6.82001,4.44186,0.464897,0.42268,0.103093,37,6,3,0,2,0,2,58,104,0,0,0,c79f418b,0
14,14,31,2,0,2100000014,0,2,0,2700,3,70,110,48,8400,0,STEADY,900,2.31685,4.03893,0.326294,0.04,0.141111,0,0,0,15,0,15,18,22,43,0,39,114,c79f418b,0
14,14,31,2,0,2100000014,1,2,0,1340,1,0,55,25,4360,0,STEADY,447,2.93921,4.69571,0.357103,0.0313199,0.221477,71,44,1,7,0,7,10,77,113,0,32,81,c79f418b,0
15,15,32,3,0,2100000015,0,3,0,710,1,0,121,11,1980,0,STEADY,237,9.16847,7.54027,0.496814,0.71308,0.0843882,37,0,1,7,1,1,1,0,130,12,24,0,c79f418b,0
15,15,32,3,0,2100000015,1,3,0,782,1,0,121,14,2290,0,STEADY,261,7.80804,6.74588,0.401724,0.517241,0.210728,36,0,3,9,0,1,1,0,118,0,10,0,c79f418b,0
16,16,33,4,0,2100000016,0,0,1,1353,1,63,0,24,4780,0,STEADY,451,4.31833,5.84457,0.185388,0.141907,0.75388,0,0,14,5,0,1,4,152,52,0,0,26,c79f418b,0
16,16,33,4,0,2100000016,1,0,1,1691,1,21,0,28,6010,0,STEADY,564,3.99556,6.52294,0.164433,0.248227,0.576241,182,124,9,12,0,1,6,152,94,0,0,58,c79f418b,0
17,17,34,5,0,2100000017,0,1,0,1002,1,0,140,15,2960,0,STEADY,334,4.32279,5.92352,0.460898,0.0928144,0.365269,35,32,1,1,2,2,9,0,106,6,0,0,c79f418b,0
17,17,34,5,0,2100000017,1,1,0,883,1,0,87,14,2760,0,STEADY,295,4.04031,5.75621,0.49939,0.118644,0.298305,193,75,1,1,1,2,9,53,108,3,0,0,c79f418b,0
18,18,35,0,0,2100000018,0,2,1,2565,1,17,0,41,6690,0,STEADY,855,4.06051,3.73722,0.15894,0.168421,0.403509,294,129,28,9,0,0,4,128,112,0,0,187,c79f418b,0
18,18,35,0,0,2100000018,1,2,0,1610,1,0,50,27,4920,0,STEADY,537,4.59858,4.85049,0.233384,0.18622,0.314711,143,82,14,10,0,0,3,60,129,0,0,62,c79f418b,0
