a,b,seed,weather,arena,style_a,style_b,winner,ticks,reason,hp_a,hp_b,control_a,control_b,overflow
0,1,2000,0,0,0,1,0,475,1,53,0,50,122,0
1,0,2000,0,0,1,0,1,475,1,0,53,122,50,0
0,1,2001,1,0,0,1,1,847,1,0,7,58,0,0
1,0,2001,1,0,1,0,1,684,1,0,20,111,80,0
0,1,2002,2,0,0,1,1,741,1,0,6,144,145,0
1,0,2002,2,0,1,0,0,556,1,39,0,17,31,0
0,1,2003,0,1,0,1,1,847,1,0,5,71,73,0
1,0,2003,0,1,1,0,0,847,1,5,0,73,71,0
0,1,2004,1,1,0,1,0,919,1,7,0,25,0,0
1,0,2004,1,1,1,0,0,995,1,25,0,142,57,0
0,1,2005,2,1,0,1,1,1172,1,0,95,26,0,0
1,0,2005,2,1,1,0,0,904,1,39,0,280,122,0
0,1,2006,0,2,0,1,1,509,1,0,43,0,10,0
1,0,2006,0,2,1,0,1,655,1,0,10,0,55,0
0,1,2007,1,2,0,1,1,615,1,0,4,70,101,0
1,0,2007,1,2,1,0,0,718,1,21,0,11,68,0
0,1,2008,2,2,0,1,0,750,1,9,0,7,0,0
1,0,2008,2,2,1,0,0,724,1,17,0,0,55,0
0,1,2009,0,0,1,2,1,675,1,0,26,22,74,0
1,0,2009,0,0,2,1,0,675,1,26,0,74,22,0
0,1,2010,1,0,1,2,1,766,1,0,40,188,138,0
1,0,2010,1,0,2,1,1,706,1,0,6,158,209,0
0,1,2011,2,0,1,2,1,1306,1,0,37,158,255,0
1,0,2011,2,0,2,1,0,1327,1,15,0,259,295,0
0,1,2012,0,1,1,2,0,883,1,27,0,82,121,0
1,0,2012,0,1,2,1,1,853,1,0,31,82,54,0
0,1,2013,1,1,1,2,1,928,1,0,52,25,0,0
1,0,2013,1,1,2,1,1,1099,1,0,1,85,30,0
0,1,2014,2,1,1,2,1,668,1,0,36,26,0,0
1,0,2014,2,1,2,1,1,690,1,0,1,43,15,0
0,1,2015,0,2,1,2,1,601,1,0,57,175,20,0
1,0,2015,0,2,2,1,1,565,1,0,13,124,57,0
0,1,2016,1,2,1,2,0,490,1,80,0,114,38,0
1,0,2016,1,2,2,1,0,571,1,23,0,52,99,0
0,1,2017,2,2,1,2,0,661,1,46,0,110,0,0
1,0,2017,2,2,2,1,1,676,1,0,35,17,221,0
0,1,2018,0,0,2,3,0,688,1,9,0,92,131,0
1,0,2018,0,0,3,2,1,688,1,0,9,131,92,0
0,1,2019,1,0,2,3,0,631,1,18,0,79,101,0
1,0,2019,1,0,3,2,1,601,1,0,17,131,50,0
0,1,2020,2,0,2,3,0,1141,1,16,0,197,84,0
1,0,2020,2,0,3,2,0,872,2,28,23,600,0,0
0,1,2021,0,1,2,3,0,735,1,87,0,42,319,0
1,0,2021,0,1,3,2,1,735,1,0,87,319,42,0
0,1,2022,1,1,2,3,0,1532,1,10,0,166,126,0
1,0,2022,1,1,3,2,0,589,1,39,0,191,15,0
0,1,2023,2,1,2,3,1,750,1,0,23,69,165,0
1,0,2023,2,1,3,2,0,793,1,30,0,87,151,0
0,1,2024,0,2,2,3,0,628,1,13,0,79,100,0
1,0,2024,0,2,3,2,0,713,1,3,0,76,1,0
0,1,2025,1,2,2,3,0,562,1,40,0,124,50,0
1,0,2025,1,2,3,2,0,703,1,30,0,135,147,0
0,1,2026,2,2,2,3,0,706,1,22,0,55,76,0
1,0,2026,2,2,3,2,0,739,1,55,0,180,26,0
0,1,2027,0,0,3,0,0,733,1,11,0,92,8,0
1,0,2027,0,0,0,3,1,733,1,0,11,8,92,0
0,1,2028,1,0,3,0,0,690,1,75,0,391,41,0
1,0,2028,1,0,0,3,1,933,1,0,14,84,299,0
0,1,2029,2,0,3,0,0,1211,1,43,0,285,92,0
1,0,2029,2,0,0,3,0,721,1,12,0,0,271,0
0,1,2030,0,1,3,0,1,841,1,0,25,54,157,0
1,0,2030,0,1,0,3,0,841,1,25,0,157,54,0
0,1,2031,1,1,3,0,0,690,1,25,0,183,0,0
1,0,2031,1,1,0,3,1,745,1,0,7,59,48,0
0,1,2032,2,1,3,0,0,1408,2,56,9,600,9,0
1,0,2032,2,1,0,3,0,1411,1,16,0,223,418,0
